Subject,1a,1b,1c,1d,1e,2a,2b,2c,2d,2e,3a,3b,3c,3d,3e,4a,4b,4c,4d,4e,5a,5b,5c,5d,5e
91,B,A,A,E,B,E,F,B,E,G,A,B,C,A,E,,,,,,,,,,
89,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,D,H,A,F,E,C,D,B
87,B,A,A,E,B,E,D,A,F,A,,,,,,,,,,,,,,,
86,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,,,,,B
85,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
80,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,F,A,F,E,C,D,B
79,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
76,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
73,B,A,A,E,C,E,B,A,F,A,A,B,C,D,E,A,B,G,E,F,,,,,
115,B,A,A,E,B,E,D,A,F,A,A,B,A,,,A,C,G,F,A,H,E,C,D,B
