Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,11,12,13,14,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10
59,B,C,B,D,E,B,D,B,F,C,B,,,BE,AE,AD,CE,BE,AD,BE,BE,AD,AD,BD,DC,AB,BE,E,E,E,B,C,D,E,E,A,A,,,,B,A,D,D,A,E,C,D,,
60,B,C,B,D,E,B,D,B,F,A,B,E,,BE,AE,AD,CE,AD,AD,BE,BE,AD,BD,AE,CD,BC,AD,E,E,E,B,F,B,E,E,B,A,A,,,B,A,D,D,A,B,C,D,C,
62,B,C,B,D,A,B,F,B,F,B,,,,BE,AE,AD,DA,AB,AD,AB,BD,EA,BC,CE,DE,AB,BD,B,D,E,C,D,D,E,B,D,A,D,,,B,A,D,C,C,D,B,D,B,A
63,B,C,B,D,E,B,D,B,F,B,F,,,BE,AE,AD,CE,BD,AD,AB,BE,BD,AD,BD,BC,AB,BE,E,E,E,B,F,D,E,E,D,B,,,,B,A,D,D,A,,,,,
61,B,C,B,D,E,B,D,D,F,,,,,BE,AE,AD,CE,BE,AD,DB,BE,AD,BD,BE,,,,E,E,E,B,D,,,,,,,,,B,A,D,D,A,B,C,D,,
70,B,C,B,D,E,B,D,E,F,C,A,C,,BE,AE,AD,CE,AC,AD,AB,BE,BD,BD,AE,AD,AB,AB,E,E,E,B,C,D,E,E,,,,,,B,A,D,D,A,A,B,D,A,
71,B,C,B,D,E,B,D,D,F,D,B,,,BE,AE,AD,CE,BE,AD,AB,BE,AD,BD,AE,CD,AE,BE,E,E,E,E,B,D,E,E,B,A,F,,,B,A,D,D,A,A,B,C,C,D
77,B,C,B,D,E,B,D,E,A,A,A,,,BD,AE,AD,CE,AC,AD,AB,BE,,BD,DE,,AC,,A,E,E,E,,D,B,E,,,,,,B,A,D,D,C,,B,C,,
78,B,C,B,D,E,B,D,D,F,,,,,BE,AE,AD,CE,AC,AD,BE,BE,AD,BD,,,,,E,E,E,B,D,D,E,E,D,,,,,B,A,D,D,D,A,C,,,
75,B,C,B,D,E,C,D,B,F,,B,,,BE,AE,AD,CE,BE,AD,BE,BE,AD,BD,AC,CD,BC,BC,E,E,E,B,F,D,E,E,,,,,,B,A,D,D,A,,C,A,,E
72,B,C,B,D,E,B,D,D,F,C,B,,,BE,AE,AD,BD,BE,BD,BE,BE,BD,BD,A,,,A,E,E,E,B,C,D,E,E,,,,,,A,A,D,D,C,E,,,A,A
153,B,C,B,D,E,B,A,B,A,C,F,E,D,BE,AE,AD,CE,AC,AD,BE,BE,AD,AD,AE,CD,AE,AB,C,E,E,B,B,D,E,E,D,B,,F,A,B,A,D,D,C,,A,A,C,A
152,B,C,B,D,E,C,A,B,B,F,A,F,,BE,AE,AD,CE,BE,AD,AB,CD,AD,AD,BD,AB,AC,CE,A,E,E,B,C,D,E,E,,A,,,,B,A,D,D,A,,C,E,A,
150,B,C,B,D,E,B,D,B,F,C,B,B,,BE,AE,AD,BD,BE,AD,CE,BE,AD,AD,AE,AD,BC,,E,E,E,B,A,D,E,E,A,,,,,B,A,D,D,A,B,C,D,C,A
144,B,C,B,D,E,B,D,D,F,,B,,,BE,AE,AD,CE,BE,AD,BE,BE,AD,BD,,CD,,,E,E,E,B,C,D,E,E,,,,,,B,A,D,D,A,D,C,D,C,
143,B,C,B,D,E,B,D,B,F,C,B,,,BE,AE,AD,BD,BE,AD,BE,BE,AD,BD,AD,,BC,,E,E,E,B,,D,E,E,,,,,,B,A,D,D,A,E,,D,,
142,B,C,B,D,E,B,D,B,F,A,B,A,,BE,AE,AD,CE,BE,AD,BE,BE,AD,BD,AE,AC,AB,AD,E,E,E,F,D,D,E,E,,,,,,B,A,D,D,A,B,B,D,C,D
141,B,C,B,D,E,B,D,B,F,C,A,B,,BE,AE,AD,BD,BE,BC,BE,BE,AD,AD,AD,DE,AC,,A,E,A,B,E,D,E,E,B,,,,,B,A,D,D,A,E,B,D,C,A
140,B,C,B,D,E,B,D,B,C,A,F,E,,BE,AE,AD,CE,AC,AD,BE,BE,AD,BD,BE,,,,E,E,E,B,F,D,E,A,D,,,,,B,A,D,D,C,,,,,
136,B,C,B,D,E,B,D,B,F,C,,,,BE,AE,AD,AB,BE,AE,AB,BE,AD,AD,DE,,,,E,E,E,B,D,D,E,E,,,,,,B,A,D,D,A,A,B,,,
135,B,C,B,D,E,B,D,B,F,,,,,BE,AE,AD,CE,AD,AD,BE,AE,AD,BD,DE,,,,E,E,E,B,E,D,E,,,,,,,B,A,D,D,A,,,,,
134,B,C,B,B,E,B,D,B,F,,,,,BE,AE,AD,CE,AC,AD,BE,BE,AD,BD,,,AB,,E,E,E,B,F,D,E,E,,,,,,B,A,D,D,A,E,B,C,,
133,B,C,B,D,E,B,D,B,F,C,B,,,BE,AE,AD,CE,AC,AE,BE,BE,AD,BD,AE,CA,DE,,E,E,E,B,E,D,E,E,,,,,,B,A,D,D,A,,C,D,C,
132,B,C,B,D,E,B,D,B,F,C,B,,,BE,AE,AD,CE,BE,AD,BE,BE,AD,BD,AE,CD,BC,BC,E,E,E,B,D,D,E,E,A,,,,,B,A,D,D,A,B,,D,C,
131,B,C,B,D,E,C,D,B,F,C,,,,BE,AE,AD,CE,BE,AD,BE,BE,AD,CD,AB,AC,BC,BE,E,E,E,B,C,D,E,E,E,A,,,,B,A,D,D,C,B,B,C,C,A
