TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	B	N	M	A	M	A	N	8	2	shapes	B	Practice	False	21	(-6.2638235208324264, -6.480887999948294)	(-0.19258640191829635, -6.9560505467544651)	(3.8819467670887189, 6.4788362284142913)	(-0.42900975911479122, 1.9840016163142131)	1.0	z	4.88563
2	N	A	N	B					B	4	3	shapes	B	Practice	True	21	(4.6619446060058749, 8.2260733737612561)	(2.550861437036291, -7.6580964997943584)	(-2.8186331564038483, -2.7534698347286648)	(-7.2775685145967248, 1.0939964402009608)	1.0	z	2.89491
3	N	B	M	A	A	N	M	B	N	8	0	shapes	N	Practice	True	21	(-3.2019387710552776, 1.5189633056656859)	(-8.147117730502174, -6.41873500697361)	(-1.4911387486042953, -6.9549962349916532)	(7.3654039054245466, -3.7084758225381211)	1.0	z	1.04831
4	M	A	B	M					A	4	3	shapes	M	Practice	False	21	(3.2456976098059798, 2.6965282711651604)	(-3.5670730348990167, -6.9359955459301865)	(-6.2864465716137659, 1.8237093197131689)	(7.1645655868706637, -4.8670043079121763)	1.0	slash	1.32801
5	M	A	M	B					N	4	0	shapes	M	Practice	False	21	(2.6499895393007655, -1.4213164516305721)	(-7.1159037850203513, -6.4072654849479784)	(-2.6477521676271101, 6.5828065722053033)	(6.4587802408858312, 6.0386107681958539)	1.0	slash	1.16764
6	N	B	B	M	N	A	A	M	A	8	3	shapes	M	Practice	False	21	(0.018131410463988473, -3.2163640317649689)	(5.6647328849982337, 0.45315476281357903)	(-1.2299550601262412, -8.4739783315607085)	(1.1841896781433938, 8.5359083127453914)	1.0	slash	1.59529
7	M	A	A	M	N	N	B	B	A	8	1	shapes	A	Practice	True	21	(-5.5942235433463967, 2.7542806763861112)	(5.7559354303435892, 0.43158681249571984)	(-0.6129996685888166, 1.3727536205241453)	(-0.60639498018081817, -7.4004003199193296)	1.0	z	1.21657
8	M	B	N	N					B	4	1	shapes	B	Practice	True	21	(8.013261625309088, 4.2336435771811143)	(3.4070144217405876, -0.71950806724518479)	(-3.1027328682119535, 0.50256950662193489)	(-7.3806374719652279, -4.6180094030844128)	1.0	z	1.09442
1	M	B	A	N	A	B	M	N	A	8	6	shapes	M	0	False	21	(1.8793593216024007, -7.6296049279772156)	(-1.9082169148472055, -0.96128894841890755)	(-8.3593239341196863, 5.2939854205736658)	(6.5744812663663499, -7.7736801053568199)	1.0	z	10.3788
2	M	A	A	M	B	N	B	N	A	8	7	shapes	N	0	False	21	(3.2805730785709546, -5.0936462411584085)	(-0.25062523999291209, -0.18946192026125885)	(3.3429824917121742, 7.4729758279167235)	(-4.954216202616009, -6.8458409466533308)	1.0	slash	1.27384
3	N	A	N	B					M	4	0	shapes	N	0	False	21	(-2.2723566868804079, -4.8434092450866393)	(8.0996312847727872, 4.1292817113029763)	(4.5503784902638724, -5.6205381830568495)	(-7.669939273495725, 4.0082136293786608)	1.0	z	1.28536
4	M	B	A	N					A	4	2	shapes	A	0	True	21	(6.4995045946507091, 0.038384020945377628)	(-5.5119831773684371, 8.1482912061006623)	(3.1737457231081443, -7.3809604608463673)	(-2.6491737578477208, -6.293865932175617)	1.0	z	2.07107
5	N	A	A	N	M	B	M	B	A	8	5	shapes	B	0	False	21	(1.3532403729866438, 2.0433811886225168)	(6.0571992876147274, 2.5496913574834252)	(-4.932655682583909, 7.0576699413670028)	(4.194534919693254, -7.8697402318817877)	1.0	z	1.54869
6	N	B	B	A	N	M	A	M	B	8	2	shapes	B	0	True	21	(5.0970786304109286, 2.2871735697671483)	(5.9700928882926636, -1.9095623767601202)	(-5.6085405528722889, 4.9894634076615105)	(-1.9837378837482449, 2.1141771747060361)	1.0	z	0.76427
