TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	B	N					A	4	2	shapes	B	Practice	False	89	(-1.5496161181510226, -1.7779038928947299)	(2.5339566232465991, 7.8484433996263583)	(-6.5034654460040153, 3.804716575273277)	(7.7218498677782605, -7.8693070704748518)	1.0	slash	10.6275
2	M	A	B	A	M	B	N	N	M	8	3	shapes	A	Practice	False	89	(6.3412783327167457, 0.22096336922917992)	(-7.6909334451384019, 4.9550038052068768)	(-3.2769124397633815, 3.3030000085553759)	(7.7807512455808556, 4.5228484823254256)	1.0	slash	4.50167
3	N	A	N	M	M	B	A	B	B	8	7	shapes	B	Practice	True	89	(6.7977151970097189, 2.006147440785746)	(-6.8483461106429395, -8.2253770901745842)	(1.4051341959504065, -5.9335878171946863)	(-0.2317198527293538, 2.0876147963722111)	1.0	slash	1.66906
4	N	B	B	A					A	4	0	shapes	N	Practice	False	89	(-4.2903298152259248, -3.4064735376775079)	(-3.1221667061159462, 3.8041466347623274)	(5.2165528430010912, 6.240773115437884)	(6.4172263307182327, -4.1383379193685235)	1.0	slash	1.56048
5	N	B	N	B	A	A	M	M	A	8	3	shapes	B	Practice	False	89	(2.8586379477226966, 4.5595984118439556)	(-7.0891806648616766, -4.4652950875383697)	(6.7018545177970967, 5.9373907621530684)	(-1.10232459777255, 0.28258971349079154)	1.0	z	1.15038
6	N	A	N	M					N	4	0	shapes	N	Practice	True	89	(6.8894986032458636, 4.1674346965155955)	(0.79808617871110243, -3.1652388332688641)	(-7.9976583796735632, -1.5050821980150815)	(-0.48240311608837594, 1.5393846517146486)	1.0	z	2.96975
7	N	B	B	A	M	N	A	M	N	8	0	shapes	N	Practice	True	89	(-6.8830687470062397, -0.60477020506349888)	(-2.7847964983979923, 8.0152780507915757)	(-1.7927568946680221, 3.3336546341511184)	(7.6113566242159436, 1.8132707357543545)	1.0	z	1.6675
8	M	A	M	N					M	4	2	shapes	M	Practice	True	89	(7.8637206081743152, -4.3293744795894566)	(-7.9196720300519647, 6.0491637704686134)	(7.8461386728569451, 3.7687648743801336)	(-4.8001343080838943, -5.7028223868684274)	1.0	z	1.20105
1	N	B	N	M					A	4	3	shapes	M	0	False	89	(-0.72039551360639464, 4.542312437037987)	(0.95344966478746507, -4.3706266197414614)	(3.6157965501770377, 0.51890555169754649)	(-6.7879549054168713, -4.9875272075052592)	1.0	z	1.96779
2	M	B	M	A	A	B	N	N	B	8	5	shapes	B	0	True	89	(2.9828118466757481, 2.4008181380969038)	(-6.7661837288590538, 7.5130652886332427)	(-5.5009096280562719, -7.2811517594926087)	(-1.9767661556478924, 8.412570159387009)	1.0	slash	0.755238
3	M	A	N	A	N	M	B	B	B	8	7	shapes	B	0	True	89	(1.466444768626106, 3.8235010372823819)	(7.7149262201160376, -5.1395784960520743)	(5.829728119423665, 0.51565480710272737)	(-0.19770697116718949, -5.1498942949952049)	1.0	z	0.953119
4	M	B	B	N	A	M	N	A	A	8	4	shapes	A	0	True	89	(-2.5937553107758866, -3.325782964900438)	(2.0377951546851101, 8.0726004449990008)	(8.5223262669329465, 2.9845787075939274)	(-6.4303677935203627, -6.4845166135881254)	1.0	z	0.702606
5	N	A	A	B					N	4	0	shapes	N	0	True	89	(-2.0748186881569355, -7.0066413691942877)	(-6.7465229252764054, 2.1588076901892315)	(8.3939026858231394, -7.0734229699656552)	(1.1418753888995923, 0.2571016516532687)	1.0	slash	1.02015
6	M	A	A	B	N	N	B	M	B	8	3	shapes	B	0	True	89	(-7.6391387697335897, 1.0072165687558936)	(-4.8339507492637477, -8.5574718183809786)	(7.1961554731559847, -5.9454911676143141)	(4.6280850485565548, 2.3633786514997208)	1.0	slash	1.42201
