TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	N	B	M	M	B	A	M	8	5	shapes	M	Practice	True	62	(4.1530172143753852, 4.7573258033217876)	(-6.8931606185719474, 6.148437754344787)	(-1.0600713756559461, -6.7384094697398478)	(-3.5511391521197426, -1.6056609855885924)	1.0	slash	1.49902
2	M	A	A	N	N	B	B	M	N	8	4	shapes	N	Practice	True	62	(4.6381660828219697, -8.0399699378774105)	(2.8363807651501478, 5.7833979866556788)	(8.4579331009553727, 5.9786230760411954)	(-7.3724756210246341, 4.4004264841950871)	1.0	slash	1.14047
3	N	B	M	N	M	A	A	B	N	8	7	shapes	B	Practice	False	62	(-1.2946260112325403, -3.2859126534162169)	(2.6360567610497139, -0.019359188509193714)	(-7.4879167271335136, 5.9625620178420498)	(4.0772625270715857, -3.7886878127673578)	1.0	z	1.24409
4	M	A	N	N					N	4	0	shapes	M	Practice	False	62	(-1.4670269724965381, 4.9545049678133495)	(6.8731182753145141, 2.1325848418024993)	(-4.6555197640973445, -1.3027005416635813)	(4.6289329680853761, -5.8711737177742069)	1.0	slash	1.67792
5	M	A	B	A	B	N	N	M	N	8	1	shapes	A	Practice	False	62	(2.9896537508767977, -4.5940216002897492)	(-8.1778422960239965, 5.026209340626469)	(-1.7819927783582337, 7.0966217212120331)	(4.6767078963633946, 8.346793813579918)	1.0	z	0.905215
6	N	B	A	N					A	4	2	shapes	A	Practice	True	62	(7.4174026997823113, 1.5039886911112621)	(-3.3958054424263109, 0.061403985241851089)	(7.181679846527576, -7.2136509892653899)	(-7.0429807825727906, -6.7612937322939803)	1.0	slash	1.90295
7	N	A	B	A					B	4	2	shapes	B	Practice	True	62	(-6.0531505946883239, -4.0823427610912262)	(5.5146309683902501, 3.1176612421056689)	(-6.4005092856100871, 1.266624675089659)	(1.8503583952290299, -6.5838647709510427)	1.0	z	1.05041
8	N	B	M	A					B	4	0	shapes	N	Practice	False	62	(8.1283922692591482, -3.7324932397475852)	(7.9903582003584539, 2.2187872401847315)	(-6.6910113853034074, 1.8786416581707837)	(-2.1063551009199184, -1.4422156173883804)	1.0	slash	1.19405
1	M	B	A	A					B	4	3	shapes	A	0	False	62	(-7.8613664093569966, -7.2137947999594312)	(6.8697973059412654, -0.7864445522751371)	(-7.0508997658201835, 6.852846877477635)	(2.2099835226066595, 3.5699555945697252)	1.0	slash	0.913543
2	N	B	M	M	A	N	A	B	M	8	2	shapes	M	0	True	62	(1.2857210379341364, -0.73915580510113976)	(3.9674597217455485, 6.4188244024349519)	(8.6713256436237138, -4.3357327326329118)	(-0.94564223390584967, -8.1571005900410025)	1.0	slash	0.877159
3	N	B	B	A					B	4	1	shapes	B	0	True	62	(-7.6814273367464558, -5.8531845766383075)	(0.91655401468246467, 0.76615469235825451)	(-6.739533722338102, 7.2845615707827349)	(5.0686371769557628, -3.6390197726391795)	1.0	slash	0.688812
4	M	A	B	M	N	B	A	N	N	8	6	shapes	A	0	False	62	(-4.3364854379425202, 0.087338351728456942)	(-2.5168690747487048, 7.1586489750924969)	(3.1596496854786533, -0.045608523553934077)	(-2.0083758766413684, -7.6990408135711439)	1.0	slash	0.698367
5	M	B	M	B	N	N	A	A	B	8	6	shapes	A	0	False	62	(5.3600429998549917, 5.6042209782329291)	(-6.6773916688477186, -5.2274561232109189)	(0.33683024876534162, 4.6670486758746463)	(0.20208501382446187, -0.60079613370414897)	1.0	slash	0.874085
6	M	A	M	N					N	4	1	shapes	A	0	False	62	(-6.2061699224496447, -7.5793895518579326)	(3.6939116223010693, 0.19484231670519847)	(8.2978414572234094, -7.900493422220209)	(-1.9414184441599884, 0.13870327430765528)	1.0	slash	0.635772
7	N	A	B	A	M	B	M	N	N	8	7	shapes	N	0	True	62	(-2.1202655026763235, -2.4402942259603471)	(6.5155416641913853, -4.6686479433076711)	(-1.841939837330008, 6.0032201232625315)	(7.6356111541309026, 4.2423818368231938)	1.0	slash	0.984914
8	N	B	M	A	B	M	A	N	M	8	1	shapes	B	0	False	62	(-6.9959287180271996, -7.9956987335622145)	(0.37480768887309068, 6.9794671646480229)	(-7.3287238276935662, -0.47967428215780039)	(2.8369422901745658, -8.366939550172857)	1.0	slash	0.864948
9	M	A	B	N	N	M	B	A	B	8	3	shapes	N	0	False	62	(-8.2647289531030363, 4.1551577475382651)	(8.1365413624309006, 5.4640896562523356)	(-2.3960139582398963, -3.861135657828358)	(3.7000333150976594, -7.6610588452786725)	1.0	slash	0.846861
10	N	B	A	B					N	4	3	shapes	B	0	False	62	(5.2019529683271895, 6.2810395183084466)	(3.2188846675676714, -4.1551649658458665)	(-8.1471077447651545, -0.12222708171857377)	(-4.7909080766313945, 4.0873261696149701)	1.0	z	0.720524
11	M	B	A	A	M	N	B	N	A	8	2	shapes	A	0	True	62	(-3.9904404142292105, 0.43666291778216682)	(5.0287516603019533, 3.0604348896489491)	(-1.641361087332819, -7.343359567840066)	(-8.444341744685115, -0.90429617907379267)	1.0	z	1.56561
