TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	A	M	N	N	A	B	B	B	8	6	shapes	B	Practice	True	142	(7.6880441641616635, 1.8083281757479472)	(-5.5861100059107862, 3.3530890812161793)	(0.13605060856863105, 2.6802137424680446)	(7.7600616153144664, -6.9754047779693575)	1.0	z	3.39669
2	N	B	M	N					M	4	1	shapes	B	Practice	False	142	(-3.6820540828799437, -3.6783231433811858)	(-2.673687227645388, 6.0200048572749498)	(1.6765573243862093, -3.6307231337969297)	(2.4496143357973637, 2.2895382082901357)	1.0	slash	1.27198
3	N	B	A	A	N	M	M	B	B	8	0	shapes	N	Practice	False	142	(-0.97523570149753525, 3.2858761526232865)	(3.6673069318853102, -7.4259626666346206)	(-2.6687649937752038, -1.5373536082555654)	(-7.4093374320566294, -4.8099954137671332)	1.0	slash	1.18739
4	N	A	B	M					M	4	2	shapes	B	Practice	False	142	(-4.1661262934812351, -4.3139798869283297)	(-5.917638678272465, 5.413416873364179)	(1.7773290957384074, 0.96770635611636635)	(0.37025944853159842, -3.3576541941638469)	1.0	slash	1.10293
5	N	A	M	A	B	M	N	B	N	8	0	shapes	N	Practice	True	142	(-5.8289453014209602, 6.3724324144387037)	(2.3621087823616982, -6.0805803474801774)	(-7.9544087182918934, -6.9895536605690749)	(-5.1752787573029977, -3.1639099947651754)	1.0	z	1.32501
6	M	A	B	N					A	4	1	shapes	A	Practice	True	142	(6.9673640853781098, 6.492232749445872)	(-7.7716803723732877, -0.014083160743625811)	(4.8415198966679558, -1.8269176612678635)	(-0.20416988688188908, 5.6352528381650036)	1.0	z	2.38863
7	M	B	M	B					M	4	0	shapes	M	Practice	True	142	(4.6035882855528918, -5.789481015125614)	(-2.8666105371369213, -5.8051909896224858)	(7.112599823878865, 3.5569087247732618)	(-0.37642306495866151, 2.7711663243557734)	1.0	z	1.27008
8	M	B	A	N	M	A	B	N	A	8	1	shapes	B	Practice	False	142	(-3.901367367743334, -3.0606898907739346)	(-8.5615375261503246, 8.1429482354798495)	(4.9895969474953823, -8.3170579208693685)	(0.13349073818310941, -4.5610806700909681)	1.0	z	1.53186
1	N	B	N	B					B	4	1	shapes	B	0	True	142	(-5.44226811610904, -6.8700691284301065)	(3.6267589827647164, -7.6652454403821046)	(0.46952588540966289, 4.9668813855580769)	(-4.1645583129807289, 4.8681155579138071)	1.0	z	1.35204
2	N	A	N	M					M	4	0	shapes	N	0	False	142	(-5.2401868553370878, 0.62278731121819852)	(3.5669462486482111, -1.72025216579393)	(-8.3080032656943512, -3.7482242858543637)	(0.22302428231185267, 5.3421871034345241)	1.0	z	1.26072
3	M	A	A	B	N	N	B	M	N	8	4	shapes	N	0	True	142	(0.39270926325077937, -0.21679419580111237)	(-8.2385215010070549, 6.1039538366607164)	(5.3633585195439082, 7.0576706599543488)	(-0.34123656879173403, 6.9973370233043859)	1.0	slash	1.14668
4	N	A	A	M					M	4	3	shapes	M	0	True	142	(6.1908254922536869, 4.3954091902753696)	(4.1304150769548862, -4.5038044049636436)	(-0.44796318650558931, 6.5216190239755161)	(-1.1474476785531946, -5.7184848543938021)	1.0	z	1.09678
5	N	B	M	M	N	B	A	A	M	8	2	shapes	M	0	True	142	(5.8672016810405907, 2.1627967623732012)	(0.75884511517005571, -2.6975420916349124)	(-8.2131190731707733, 4.6070410858403701)	(5.9014847109225244, -3.7928048403153465)	1.0	slash	1.46377
6	N	A	A	M	N	B	M	B	B	8	5	shapes	B	0	True	142	(-0.31788011916180992, 1.6948153312809513)	(-6.9240162934805234, 0.40173487069785985)	(7.2870103103802286, 1.6319879206198493)	(-8.0177259076699627, -7.5790422640980895)	1.0	slash	1.36531
7	N	A	M	B	M	A	N	B	M	8	1	shapes	A	0	False	142	(-8.5541296537093121, 3.8173046955675431)	(6.7889170376317161, 4.4867290788335232)	(-7.6438813860686121, 8.5386382407575141)	(1.2029658217157433, 8.2148379640888045)	1.0	slash	1.07922
8	N	A	M	A	B	N	B	M	M	8	3	shapes	A	0	False	142	(1.0431104425839219, -5.9127309843354929)	(7.737995828609332, 1.4601563350754851)	(-7.200072300138423, -2.5449310392955757)	(-0.73112943158327326, 6.1936784370970432)	1.0	slash	0.805269
9	N	A	B	A	N	B	M	M	B	8	2	shapes	B	0	True	142	(-7.805880678090654, -1.9601850889483341)	(-2.7150597748914356, 0.74409835732726215)	(6.3133883160670337, 3.0729318557955168)	(-3.2076269674704569, 4.8000864051866845)	1.0	slash	1.25494
10	M	B	M	A	B	A	N	N	B	8	6	shapes	N	0	False	142	(-4.5754813518106685, -7.7235493313773826)	(4.6599294806043385, 3.6998988553056833)	(6.2278810251821728, -5.960150193017272)	(-0.988769518361579, 3.9266870022910982)	1.0	slash	0.894464
11	M	B	A	M					N	4	0	shapes	M	0	False	142	(-2.6335525780044113, -1.7708672843357611)	(5.1681024761132086, 6.0042504685685234)	(-1.9448238548041994, 7.1640508722813241)	(7.3751466541968149, -0.13446742325047545)	1.0	z	1.1822
12	N	A	B	A	M	B	M	N	B	8	5	shapes	B	0	True	142	(-2.9559491176721391, 7.7556856117026243)	(3.6456459223347526, -2.5731751515357404)	(5.8331622974306168, 6.4966396636410764)	(1.4366570721851311, 4.763782343095464)	1.0	z	1.36379
13	N	A	A	M					B	4	3	shapes	M	0	False	142	(-5.9215323945440339, 7.9149139544219018)	(-5.604985987583202, -2.6213270310557242)	(7.0656876566429503, -8.4399913242139775)	(2.7890957755951167, 1.200523997357525)	1.0	slash	0.789546
14	N	B	A	A					N	4	1	shapes	B	0	False	142	(3.8523627408069316, -8.0053282669432235)	(-4.9143996374598498, -8.6830806364448776)	(-3.593060292151355, 0.78033031390079444)	(2.936905954570987, 0.0079456735543992352)	1.0	slash	0.967068
15	N	A	B	B					N	4	2	shapes	B	0	False	142	(6.656003638681657, 2.9765370126903363)	(-6.1222863007195185, 0.65078821821179389)	(-4.2404125534699197, -6.3258164196490121)	(4.2054544126593676, -6.9296620967874674)	1.0	slash	0.640773
