TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	N	A	B	A	M	M	A	8	3	shapes	A	Practice	True	57	(4.8502935205142474, -7.8355837676599496)	(3.7748506785020908, -0.77165530006864813)	(8.3533508079972307, 5.4325719032064974)	(-4.6186064103640021, 1.7190616175290234)	1.0	slash	1.88574
2	N	B	M	M					B	4	2	shapes	M	Practice	False	57	(-4.2082199127220168, 0.61333413833238914)	(4.8608017068749554, -5.5338525439383215)	(7.4958736664169336, 6.5751096223690055)	(-3.963180447471256, -3.5112417486411811)	1.0	slash	0.975135
3	M	B	M	A					M	4	0	shapes	M	Practice	True	57	(-0.78269612916446185, -6.3522813452269169)	(6.7666992919289974, -4.4412339543977328)	(-4.9756273812469347, 6.9235558019055929)	(6.2636663389780836, 6.6533257325506394)	1.0	z	0.734712
4	N	B	B	A					B	4	1	shapes	B	Practice	True	57	(-0.4798796735294939, 8.3709541803983214)	(-8.2861919143651885, -5.1201697714531988)	(6.8196857221971126, 3.8928125098786364)	(3.4270214674862345, -0.35761057643041383)	1.0	slash	0.72382
5	M	B	A	N	N	M	B	A	B	8	3	shapes	N	Practice	False	57	(2.6212167409987721, -3.4412395141529508)	(-6.4839769803491585, -6.1134899308320705)	(0.39876491135891179, -8.3837743934855204)	(7.7424242018656848, 5.4767589816824991)	1.0	z	0.925435
6	N	B	B	A					N	4	2	shapes	B	Practice	False	57	(-5.7904108054358669, 1.4359112543773573)	(-0.44382176948438889, -4.7726578850730927)	(6.5197867687770739, 0.69058036239412424)	(5.1564581763729258, -8.247346525638811)	1.0	slash	0.982931
7	N	A	A	M	B	M	N	B	N	8	7	shapes	B	Practice	False	57	(1.938090873378215, -1.2082127648899084)	(-5.9356481791690117, -3.8647472895799115)	(-8.0472544239139836, 8.5544318672773265)	(-7.3391261208956848, 3.5800549312118051)	1.0	slash	0.860874
8	M	A	M	N	B	A	B	N	A	8	1	shapes	A	Practice	True	57	(6.8968589197560917, 7.0963071010490779)	(0.58252705495832302, -6.3215886354682151)	(-7.9013726162600832, -8.0349691026396428)	(-3.4267829562773544, 8.143431215574509)	1.0	z	1.35052
1	N	B	N	B	M	M	A	A	M	8	6	shapes	A	0	False	57	(-8.3421009171467251, 3.7680408924551774)	(6.2552575976031441, -4.7426002192840135)	(5.2042345571228381, 8.5968049271136202)	(-1.2214003023819151, 0.56599423182900921)	1.0	slash	0.866624
2	M	B	M	B	A	N	A	N	A	8	6	shapes	A	0	True	57	(-2.0475972427468765, -2.0593127743504258)	(3.9740541072861166, -2.62675929392163)	(8.3663721551404464, -6.0162409679770246)	(3.7366503047086539, 6.2361504331475022)	1.0	z	0.968042
3	M	A	N	A					N	4	1	shapes	A	0	False	57	(-0.31905450454439688, 2.2467748834765029)	(4.2295670789496693, 7.2175184658123008)	(-7.0583467282963106, -0.12579107715346716)	(7.9686145565009667, -0.91947137738984264)	1.0	slash	0.638191
4	M	A	A	M	B	N	N	B	N	8	6	shapes	N	0	True	57	(-0.65764999058736784, 6.2892177455125982)	(6.0727606346296241, 7.0560015592637253)	(8.3936864966343769, 3.1507163892424437)	(-5.4488020403533746, 0.93091996672479915)	1.0	z	0.971408
