TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	B	N	N	4	3	shapes	N	Practice	True	10	(7.5606287490295117, 7.8276744570423631)	(-6.5886353126556898, 1.9923035813391632)	(7.5365509937902111, -2.2903223595470328)	(-5.399487742800428, -6.6867585701883918)	1.0	slash	2.59126
2	M	B	N	M	A	4	1	shapes	B	Practice	False	10	(-1.579171180349805, -0.30233115519339471)	(1.3082177118768623, -5.9331492279336793)	(5.2759012145035964, 7.7950380615864923)	(-1.9560865593790639, 5.6121851943007748)	1.0	z	1.4586
3	N	A	N	B	A	8	6	shapes	A	Practice	True	10	(6.9494490563101774, 5.056834818043713)	(-6.0164095671012126, 7.3010798777500838)	(-4.2680308996087923, -5.3851338606596979)	(-0.43217753245470014, 1.6123818621976813)	1.0	slash	2.01036
4	N	B	B	A	M	4	1	shapes	B	Practice	False	10	(6.5520165251686979, -1.9065318503778732)	(-2.8972234623401434, -6.0648654540402678)	(-8.5307525918887137, 5.6460587447241526)	(0.44282607233300375, 7.6968183596598543)	1.0	z	2.65777
5	M	B	M	A	M	8	3	shapes	A	Practice	False	10	(-6.3343925002659685, 0.10421060914326752)	(8.2965451631164129, 3.8063519391665679)	(1.8709771092467058, 6.0492247432075388)	(-2.7943195830038681, -4.897675781952552)	1.0	z	3.60334
6	M	B	B	N	M	8	5	shapes	M	Practice	True	10	(6.9582452213176094, -5.7135636205972862)	(1.0689702898767539, -4.9130424450343551)	(-4.2363924495130991, 2.7670783883081249)	(-8.0040241881734975, -6.4844097110624768)	1.0	slash	3.8567
7	M	A	A	A	B	8	2	shapes	A	Practice	False	10	(4.4234660941769217, 4.3757621043848776)	(-6.2921807389084474, -3.1466769588143544)	(-5.4691250517508498, 2.7430096966278992)	(-2.016202639480916, -5.2643740428941532)	1.0	slash	1.59409
8	M	A	B	B	B	4	2	shapes	B	Practice	True	10	(-5.692608344878904, -7.7822632411353068)	(6.1417700098045103, -3.4494278050590967)	(6.8562777237062065, 2.3284198854375937)	(-7.3913985281810675, 6.428708631631558)	1.0	slash	1.67773
1	M	A	N	N	N	8	2	shapes	N	0	True	10	(-7.1497099803586277, -5.0356918589384465)	(-7.7546125396775603, 7.3522354539986878)	(7.8855224888261084, 7.4397886511708222)	(-3.9860061964339817, 1.8581580670114271)	1.0	z	1.88179
2	M	A	M	N	N	8	3	shapes	N	0	True	10	(-5.5993973052080763, 7.2502996071507759)	(5.350129835272682, -0.80995274859760968)	(7.3522008790869613, 8.1642702594297027)	(-3.2539085056402968, 3.4518863352634135)	1.0	slash	1.86132
3	M	A	N	B	A	4	1	shapes	A	0	True	10	(8.0830271829843383, -3.8961152000145356)	(-2.6944935903983609, 8.0436830211383814)	(-8.6972406388395438, -5.6622671876419384)	(2.0825293958184456, 0.11661711097676175)	1.0	slash	3.09072
4	N	A	N	N	M	8	5	shapes	M	0	True	10	(6.298400316549408, -2.4793477207761878)	(3.6178025817597579, -7.7128833433454247)	(-4.6455097231167501, 5.3968382485743547)	(-3.7371990345539157, -4.9985453280068359)	1.0	slash	2.62237
