TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	N	M	A	M	B	B	M	8	1	shapes	A	Practice	False	123	(-6.6417752460033164, -3.1067444849503678)	(7.44900013977011, 3.0468408199141948)	(-5.0605580555145941, 7.7227270598134119)	(6.3399251756788466, -4.8733688922405953)	1.0	z	3.48288
2	N	A	N	M	M	B	B	A	B	8	7	shapes	A	Practice	False	123	(-3.1309705824986187, -0.30082212047439505)	(-3.7611109227560906, 5.4323975531649573)	(0.19330513805057414, 6.2187177901595287)	(-2.3317888971511422, -7.7971666507842317)	1.0	z	2.90819
3	M	A	B	N					A	4	3	shapes	N	Practice	False	123	(8.5997109555296944, 0.66459182332339672)	(-3.028282922904511, -7.041001671072066)	(0.6136689392884751, -2.6674660195006119)	(-8.7349177187232723, 4.5342431394553593)	1.0	slash	1.98218
4	M	B	N	B					B	4	1	shapes	B	Practice	True	123	(0.68082083253915648, -1.4530310900492864)	(-5.442504935792396, -5.3452853394428423)	(-8.091040080412883, 3.5520257299445817)	(0.22248724171410927, 7.6155030517933398)	1.0	z	2.69746
5	M	A	M	B					A	4	3	shapes	B	Practice	False	123	(8.7128500688418171, -2.7198900665317973)	(-5.2849380784626181, 1.8178604132883525)	(3.6943087639437575, 5.6362440544144707)	(-0.12353003231917725, -1.6355964477545788)	1.0	z	1.56534
6	M	A	A	N	M	N	B	B	M	8	0	shapes	M	Practice	True	123	(4.2999255873588336, 2.5763002484254027)	(-6.6549653516572107, -6.7439092384144033)	(-0.27224517150925287, -2.3781628651609088)	(-2.3129621403256939, 7.5255222624057012)	1.0	z	3.08625
7	M	B	M	A					M	4	0	shapes	M	Practice	True	123	(-5.5291080874898677, 5.4506483989099834)	(-4.2904938909748997, -7.4185701996512687)	(8.3328423978283972, -1.5405274163228118)	(0.87718908458194633, 2.3905820675227858)	1.0	z	1.6385
8	M	A	A	B	B	M	N	N	B	8	3	shapes	B	Practice	True	123	(-3.7082910239980151, -7.0077984482491384)	(2.093049334865249, -4.0923388466093646)	(-3.2443250553442313, -0.87041898303812193)	(4.1460925068198531, 1.3591276791710456)	1.0	z	4.64936
1	M	B	B	M	A	N	A	N	A	8	1	shapes	B	0	False	123	(-8.5335364192777234, -8.0160315006602332)	(-0.74259828354639978, -4.6681557452925402)	(-8.3133603788608816, 2.0571611866525288)	(3.8487457156750935, -6.4898763476108137)	1.0	slash	1.59578
2	N	A	A	B					M	4	1	shapes	A	0	False	123	(-7.2439284480756285, -5.930664459564829)	(-6.33836455605877, 6.390663447748052)	(5.8713268083982122, 8.1478595814161103)	(4.9034470537489874, -5.4491374414604987)	1.0	slash	1.06244
3	M	B	B	A	M	A	N	N	B	8	0	shapes	M	0	False	123	(6.1576976697741479, 3.2783986792823345)	(-7.3833755914610286, -0.5866921283401485)	(-7.0932150738447897, 7.722698551243429)	(5.6502134065358831, -8.0934067756236061)	1.0	slash	1.21382
4	N	B	A	N					N	4	3	shapes	N	0	True	123	(5.6982869056993621, -2.0409364387118796)	(-0.41719542322246461, 2.3673994257961368)	(-0.96238228176485041, -8.1758187140980745)	(8.2580257216873605, 3.14199460912684)	1.0	z	0.87548
5	M	A	M	B					A	4	0	shapes	M	0	False	123	(6.5332883691625678, 1.3210451445833247)	(-5.8419892620410323, -7.4267136251066086)	(5.0461285320431628, -3.5179763801903787)	(-4.4671125270871093, 7.5047478813658728)	1.0	slash	0.936913
6	N	B	N	M	B	M	A	A	M	8	1	shapes	B	0	False	123	(3.039714429487006, 8.6751498978626991)	(-4.1125326745783761, 8.2743288131224695)	(1.2641820696198121, 0.66366114058599734)	(-8.0519960162961901, 1.5422538626292717)	1.0	slash	1.1529
7	N	A	B	B					M	4	2	shapes	B	0	False	123	(-8.616173001797188, -6.280760464336586)	(0.17482923613821022, 3.3306491114198842)	(5.2187979353427334, -8.5309003352984512)	(-6.7822342832655842, 6.1026992264412616)	1.0	slash	1.25846
8	N	B	B	M	N	M	A	A	N	8	1	shapes	B	0	False	123	(5.0298201411877734, 2.1842929985917845)	(-8.542602527702007, -0.31454801119429376)	(-8.5802812994458826, -5.913613853143362)	(-1.400794541276726, 4.6062730390931161)	1.0	z	1.59891
9	N	A	M	N	B	A	M	B	M	8	6	shapes	M	0	True	123	(3.672106766311833, -0.14007726507007412)	(6.8528456793052968, 4.3979984630489479)	(1.895712490860852, 7.685063722380896)	(-3.4567661365567828, 2.3505535439149359)	1.0	z	1.36369
10	M	B	B	M	N	A	N	A	B	8	1	shapes	B	0	True	123	(-5.5650147980926867, -3.4723675591030041)	(-1.2013499089854198, -8.2364520869955324)	(3.2062350734794247, 1.3411683111908523)	(-2.5864848075632789, 3.863533442461776)	1.0	slash	2.99043
11	M	A	A	N					B	4	0	shapes	M	0	False	123	(7.4935967594336148, 8.511422371910907)	(-7.3399980344399607, 6.8564171561222853)	(-1.316140585160424, -4.3364536150089998)	(1.7202850845541828, -7.9383381251008647)	1.0	slash	0.929312
12	N	A	B	B					B	4	2	shapes	B	0	True	123	(8.6758234873316127, 1.592993013693274)	(-1.703251409193288, 4.222200250431456)	(-7.6038499449116053, -2.5197283770281445)	(4.2619071544403724, -0.64416941539058215)	1.0	z	1.19035
13	M	A	B	B					B	4	2	shapes	B	0	True	123	(8.3349762843735959, 3.2703336023855982)	(4.3804492988013433, -7.8455638879307656)	(-0.054998467997821265, -6.2179557355405963)	(-6.8844649271478646, 4.6379151246331212)	1.0	z	0.873285
