TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	A	N	A	8	2	shapes	A	Practice	True	5	(4.4508424388496124, 2.6066638284073598)	(-0.42964924891401957, -1.7508860186693065)	(3.0344223851397842, -5.8093279977614731)	(-8.1905957895476309, -3.4648727128968266)	1.0	slash	3.01473
2	N	B	A	N	B	8	3	shapes	N	Practice	False	5	(2.049540108572808, 5.7751005953524324)	(-7.9839005832671255, -8.4287325565458868)	(0.21961565390551385, 1.3203063521186866)	(5.3353436994520393, -2.5056871393499627)	1.0	slash	2.23193
3	N	A	N	N	M	8	1	shapes	A	Practice	False	5	(-1.367045100235349, -0.3276040022013138)	(-0.75177821296973679, -5.7843776064947408)	(4.6434993141850374, 1.6140051328073941)	(7.9545448508572392, -6.002455098656192)	1.0	z	1.45381
4	M	B	A	B	B	4	1	shapes	B	Practice	True	5	(7.6729599394763355, -5.8458235100838172)	(-5.1739922677578987, -1.04452699420853)	(-0.88757083509806023, 3.7059439585345668)	(7.9139780933346309, 7.6541324978139045)	1.0	z	1.02946
5	M	A	M	M	M	4	3	shapes	M	Practice	True	5	(-8.0008165346748292, 0.45889833329371044)	(4.4332914830424723, -7.9742058149709694)	(6.9017911716765745, 7.3037503166135522)	(-1.2564227170462274, -2.4901670810057883)	1.0	z	0.83312
6	N	A	B	A	A	8	3	shapes	A	Practice	True	5	(-0.82550203142903644, -4.7471622014943859)	(6.7480505663680699, 7.0177128485471485)	(-2.9785360540031141, 0.53152743820167636)	(-5.0303402302456401, -8.2454399779742769)	1.0	slash	0.790649
7	N	B	B	N	M	4	3	shapes	N	Practice	False	5	(-7.7199100642423648, 2.3132416900601314)	(5.8973410904533488, 2.6626078430342659)	(-0.79673153295219112, -5.0224277829345061)	(5.189084038471325, -7.6177413509583083)	1.0	z	0.84254
8	M	B	A	N	M	4	1	shapes	B	Practice	False	5	(-0.28234370138522635, 8.1825436364652333)	(0.80840844508960075, -7.1391768186359981)	(-7.2766061169253664, -5.6949187599834517)	(6.5486376710406695, 5.4758161757667985)	1.0	slash	1.43603
1	M	A	N	B	M	4	3	shapes	B	0	False	5	(0.084961663078527039, -5.6853494191836562)	(-2.5693512260392923, 2.0495954707523243)	(-4.585478202053265, -2.309518761989402)	(4.510385076140583, 4.6960031381050111)	1.0	slash	0.81923
2	N	B	A	B	N	4	0	shapes	N	0	True	5	(-7.2108166332203139, -8.6525063940481655)	(-0.15173935344318146, 3.7381198951892181)	(1.5979711510351677, -3.2479890723949092)	(5.080526207416062, 4.7586602731686156)	1.0	z	1.33633
3	M	B	B	N	B	4	3	shapes	N	0	False	5	(-0.52951825419932597, 8.1013684937869286)	(3.7169725995153158, -2.2928557968470713)	(6.4082784575980725, 2.142490866439033)	(-2.7327098753518584, -4.3960653267659096)	1.0	slash	0.864139
4	M	B	B	M	M	8	0	shapes	M	0	True	5	(6.1652781861477717, -1.1050689101879936)	(3.6193227907203465, 3.1142831152681509)	(-7.659119437101392, 8.4445700649507849)	(-3.499428134736756, 4.8874444872783318)	1.0	z	0.583552
5	M	B	M	B	A	8	4	shapes	A	0	True	5	(-8.1732461587699223, 4.5697299425636579)	(-6.7474756548316019, -5.1048983005860382)	(5.8578252158845601, -4.2003276767103275)	(-3.0855270556803411, -7.0220591463819826)	1.0	z	1.36715
6	N	B	N	M	B	8	6	shapes	N	0	False	5	(5.3860413866198318, -0.21988325470747583)	(-3.9656957424753898, -1.5535779261364508)	(0.085048938892564152, -3.4316561163790045)	(1.7847681279618204, 3.7245368149338152)	1.0	slash	0.466761
7	M	A	N	A	B	8	7	shapes	B	0	True	5	(-1.9322215960577616, -2.351684458285547)	(0.78039410764982264, 5.7592397172028065)	(-6.9485233159997266, 0.35448068667241373)	(-7.0214574060763582, 6.1768457857225982)	1.0	slash	1.98652
8	N	B	B	A	M	8	5	shapes	A	0	False	5	(4.1088495086469283, 7.3501601367335319)	(-6.17020476883269, -3.0773950055137735)	(2.921123627144171, -1.9603963584331261)	(1.0988309685488993, 1.7155670112010064)	1.0	slash	1.26604
9	M	A	B	B	B	8	3	shapes	B	0	True	5	(0.071015652044849276, 7.330820207326191)	(-4.3015352007218706, 4.1255218484544951)	(2.337681238673424, -1.2177386462708606)	(-6.2680758103582042, -4.2241516999661624)	1.0	z	0.55166
10	N	B	M	N	B	4	1	shapes	B	0	True	5	(-5.2563556136085037, 1.7166602712975862)	(-5.322493691406299, -3.9432735280550633)	(5.618076899229159, -0.17249671819768331)	(2.3779971390755374, 8.6840329328783632)	1.0	slash	1.15526
11	M	A	A	B	B	8	1	shapes	A	0	False	5	(0.31128470417415421, -0.13169260360034407)	(-1.3902778048911806, 3.8634197558374765)	(-4.9397473068965301, 7.0171468478254297)	(6.415090223560254, 0.42451478173979851)	1.0	slash	1.56873
12	N	A	B	A	B	8	1	shapes	A	0	False	5	(8.1541535173255255, 0.78628447896608478)	(-5.9138176725203619, 6.43334531965575)	(-1.1685739548480649, -5.0434320971019631)	(2.8751904886879345, 1.8996748855499188)	1.0	z	1.58848
13	M	A	A	M	M	4	3	shapes	M	0	True	5	(-1.6451925024573786, 0.019926877522861375)	(1.8583367640183592, -4.3496328199894627)	(1.3120042987744291, 6.7346440417422073)	(-3.8924837388660931, -3.9411716904604868)	1.0	z	0.616046
14	N	A	N	B	M	4	0	shapes	N	0	False	5	(-0.19473500983430547, 0.26101527733713326)	(-1.9423310098529338, -8.3108611458077402)	(8.0714894988076082, -0.73069639949169307)	(7.415538484990666, 6.9120758395434656)	1.0	slash	0.687875
15	N	B	B	A	N	4	0	shapes	N	0	True	5	(-0.72446457214881477, 0.67579477704716062)	(3.5739629964669213, 4.306621860079396)	(0.64456768235590189, -3.3246166297027386)	(-3.2667716750120421, -8.3611936509598177)	1.0	z	0.67147
16	N	B	M	N	N	4	3	shapes	N	0	True	5	(7.8142300236636295, -8.2433374549940979)	(-8.6967295149971484, 7.248393220369632)	(-3.2285324131471773, -6.0351062187904247)	(7.1538628825435158, 7.0208758728255045)	1.0	z	0.739045
