TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	N	M	A	B	A	N	B	8	0	shapes	M	Practice	False	25	(-7.6935198840210912, -7.6966705321503586)	(-0.17006673513961701, -6.4736582623047472)	(-4.5950445915332896, 6.5979728227208714)	(-5.5384402158271229, 1.0271116754645231)	1.0	slash	1.46679
2	N	A	M	A	N	B	M	B	B	8	5	shapes	B	Practice	True	25	(-5.3166732823925793, -6.7810231816736311)	(-1.0564171383819962, 4.475178129462785)	(-4.2593990915361086, -2.4678714399142319)	(0.055732118984771262, -7.8846648957392187)	1.0	slash	2.9063
3	N	A	A	M					B	4	2	shapes	A	Practice	False	25	(0.45429844154601717, 2.2996633588441426)	(2.5636888962791655, -2.1907952414439977)	(-7.3677527536859735, -1.5239374160545811)	(-8.1422780704487892, 6.5817462909069082)	1.0	slash	1.16759
4	N	A	B	B	N	A	M	M	N	8	0	shapes	N	Practice	True	25	(-7.6154111125633328, -6.3499587878124926)	(-1.3526911910776613, -0.55942478066526924)	(6.6006309586786429, 4.4073537722438392)	(-1.9658726235856561, 7.3969407336078383)	1.0	z	1.75524
5	M	A	A	B	B	N	M	N	A	8	3	shapes	B	Practice	False	25	(2.5171259019957883, 1.107640830394292)	(-1.2817164892865192, 2.9783732559034277)	(7.2755978836976567, 5.3615210595972016)	(4.5438771104774389, -7.9351566272270029)	1.0	z	1.65692
6	N	A	A	B					A	4	1	shapes	A	Practice	True	25	(-5.5696500058149558, -7.8550819331229373)	(0.45075431282886314, 1.5989378261695464)	(-3.7601461397533447, 0.49513164722498004)	(0.74503002731225365, -8.5700551601643795)	1.0	z	1.48863
7	N	B	A	N					N	4	2	shapes	A	Practice	False	25	(1.3503936582659186, -7.4839729721410251)	(-3.9998820892119591, -0.092419194168483543)	(-5.6484346675051365, 5.214488131484968)	(0.7467503608504753, 5.5806848482227149)	1.0	slash	1.35215
8	M	B	N	M					B	4	1	shapes	B	Practice	True	25	(-1.2868301805505702, -0.03605630768761614)	(-5.1340996382800901, 3.5438980094366457)	(8.5614597462402848, 6.3863104866192231)	(5.9261345232882974, -4.2675015932663092)	1.0	z	1.14769
1	N	A	A	M	B	N	M	B	N	8	4	shapes	B	0	False	25	(2.8698577663624469, 0.38487414973032585)	(-4.2241634206066223, -0.94666890098857248)	(-8.2734398454859495, 2.2453280668660032)	(6.6504245881191544, 6.3756104357266246)	1.0	slash	0.82651
2	M	B	A	A					A	4	3	shapes	A	0	True	25	(4.2641735949837045, 5.8324793264277464)	(-0.56704546272546175, -0.68643467335681763)	(6.1570055774294534, -7.7770851524879063)	(-6.2551683652342867, 8.6155572072337492)	1.0	z	1.7281
3	N	A	B	M					N	4	2	shapes	B	0	False	25	(1.4173092339410047, -4.0930486874116303)	(-3.7245505013846492, 3.4144989853058849)	(2.8045712515779275, 2.1797323729594318)	(-3.2196129343510487, -4.8694492713702946)	1.0	slash	1.71975
4	M	B	A	A	N	M	B	N	B	8	1	shapes	B	0	True	25	(6.2286275682617642, 2.5030630684806354)	(-3.729770266080517, 4.2374989223451287)	(4.3368418040982846, -8.5019605933856823)	(-4.2362781814522403, 8.4441294624720129)	1.0	slash	1.52535
5	N	B	M	M					M	4	0	shapes	N	0	False	25	(2.0753293822032539, -2.3468566478412525)	(1.2873602896268448, 8.4002193596121302)	(-4.792047576134971, 1.5850446587425928)	(-6.7162208414473481, -8.5616988707198338)	1.0	slash	1.68682
6	M	A	M	B	B	N	A	N	N	8	4	shapes	B	0	False	25	(-5.7696979446585752, 1.1207065644491259)	(4.8128083180531167, 3.8279555627224404)	(-7.7958355673209878, 4.7947498959231005)	(-3.0783752250013503, -6.9338042357122616)	1.0	slash	2.15455
7	N	B	B	N	M	M	A	A	A	8	7	shapes	A	0	True	25	(-2.8224653874660124, 7.0974378246322285)	(1.7432935505680884, -8.5308695643992696)	(5.2361005796993521, 0.2994481398807789)	(1.7390367381686289, 6.7828196791340325)	1.0	z	1.96795
8	N	B	A	M	N	B	A	M	A	8	4	shapes	N	0	False	25	(7.2527066849461441, 1.8245928865832646)	(2.883309547761538, 0.36158969650537465)	(3.0494337549452215, -8.6845412946312042)	(-6.0716688299055406, -2.6273190374694648)	1.0	slash	1.02773
9	N	B	B	A					M	4	0	shapes	N	0	False	25	(-4.4561490789527483, -5.3317492850726929)	(3.5146863618652961, -0.80759607565060509)	(-5.1615154073877321, 1.5978843048556577)	(8.0461644636866403, 7.6666505614839195)	1.0	z	1.57324
10	N	A	M	M	B	N	B	A	N	8	7	shapes	A	0	False	25	(2.8716418541135358, 4.3350968256166258)	(2.8963600675570191, -3.6021239956040993)	(-6.7786629797333413, 8.0181745832445905)	(-1.8543607683170551, -1.7485701686186559)	1.0	slash	1.05478
11	N	A	A	B					M	4	2	shapes	A	0	False	25	(0.10003473737946855, 1.0113706535177673)	(6.6905641490578116, -4.4230224224419992)	(-7.2167315361525652, 0.63255277277316502)	(-3.1625892487623766, -8.4020506171588654)	1.0	slash	0.97452
12	M	A	A	N	B	N	M	B	M	8	0	shapes	M	0	True	25	(7.9534026603086261, 7.2641864694894807)	(7.0477451021252779, -6.437513516463067)	(1.2216784393488744, -7.8071598160061271)	(-2.8105610284397775, 5.1244376273317549)	1.0	z	1.06008
