TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	M	B					B	4	3	shapes	B	Practice	True	8	(2.2308123195909015, 2.6355035379307203)	(7.0496038969909236, -8.2956269046978033)	(-5.4129605186193519, 6.4512874362124872)	(-8.6327966016849533, -7.2506725192491075)	1.0	z	1.97168
2	N	B	M	A	N	M	A	B	A	8	3	shapes	A	Practice	True	8	(0.67935220121129447, 4.2413993622493997)	(-7.5157155753952001, 6.8061958208193669)	(6.3278381678957381, 8.6575905088399914)	(-0.73011594739623575, -0.86894900594048163)	1.0	z	4.00525
3	M	A	M	A					A	4	2	shapes	M	Practice	False	8	(3.6852233122446147, -4.5791028685864772)	(5.2380546919050204, 2.4081293156191954)	(-2.2272393433134088, -3.3160594476459853)	(-3.2294172480040322, 3.4534287752652091)	1.0	z	1.53462
4	N	B	B	N					B	4	2	shapes	B	Practice	True	8	(-5.8610323069569095, 0.99605272795060706)	(2.6391160969495822, 3.6004369725135454)	(8.491242013047902, -7.6003265417704871)	(-1.2684732794050868, -0.41227477833243498)	1.0	z	1.4703
5	N	A	M	N	M	A	B	B	N	8	4	shapes	M	Practice	False	8	(-8.0001502867542928, 1.360278713802451)	(7.1629848639617517, -5.6667187849166769)	(-1.1604407116804358, 6.1417058890452498)	(-5.5607964100698091, -5.36196863960628)	1.0	slash	4.58179
6	M	A	A	N	N	B	M	B	A	8	3	shapes	N	Practice	False	8	(-6.2494110896457524, -0.75697786692676416)	(-5.4784728259135598, -8.3816276037384316)	(6.1184990726552684, 7.0576240282976421)	(2.0498575847606215, -4.339859991962653)	1.0	z	1.54915
7	M	A	M	N					B	4	2	shapes	M	Practice	False	8	(-4.9519448367027321, -7.3022817273082206)	(6.9109246560258732, 1.502254418732889)	(-8.4382808883861635, 1.1031898797174922)	(3.7824142555034843, -8.3895989998831855)	1.0	slash	2.20085
8	M	A	N	M	A	B	B	N	M	8	0	shapes	M	Practice	True	8	(5.5861058659751706, 6.519276751525414)	(-1.6000709454764204, 6.1357230289734712)	(-3.1400544959911523, -6.516877375342025)	(-8.0905545433776496, -5.0496235196063957)	1.0	z	1.39836
1	M	A	B	A					M	4	0	shapes	M	0	True	8	(-8.3145687629028942, 7.3596452665425396)	(-6.2803320977062551, -2.3104842779958306)	(2.8148548849377999, -3.5581329074893171)	(7.3506782107246025, 0.7001190723141697)	1.0	z	0.958831
2	M	A	M	A	B	N	N	B	N	8	2	shapes	M	0	False	8	(6.524296996640393, 1.5897769030957178)	(5.6217339916284583, -7.7746815274179824)	(1.0937040675840812, 1.1624442313908947)	(-7.6741608225081368, 4.9672422371305913)	1.0	z	0.532578
3	M	A	N	A	B	N	B	M	N	8	4	shapes	B	0	False	8	(1.2959640193028594, -4.8315751343522582)	(2.6657540893242118, 0.78706471398385069)	(-4.5888823978882636, 1.606878357993299)	(7.5617499125019521, 5.1101373772668701)	1.0	z	0.222211
4	M	B	A	B					B	4	1	shapes	B	0	True	8	(7.7133957282030394, -6.1677004515240466)	(-8.7187443033337715, -1.4814872168687536)	(3.4021624161727306, 1.7093206909336303)	(-3.3202720715540996, 0.34431516816841423)	1.0	slash	1.10775
5	N	B	B	M	M	A	A	N	N	8	4	shapes	M	0	False	8	(4.6356286351234886, 7.3300974650205077)	(2.3307294491661494, -8.6906490057027295)	(1.0807719504317159, 0.34377797596588167)	(-7.8542116131020485, 6.252083347594894)	1.0	slash	1.29957
6	N	A	B	B					B	4	3	shapes	B	0	True	8	(8.6097812425542983, -8.6254712261031052)	(-6.8242294994527848, 7.8151048833538397)	(2.9451576771822126, 5.5547503582474622)	(-4.4868255922595619, -8.5235715545789876)	1.0	z	0.793115
7	N	B	N	B	M	M	A	A	B	8	3	shapes	B	0	True	8	(-7.540666897516429, 8.1161657865573567)	(3.9576656434422777, 0.93865648860227857)	(-1.876445207326249, -3.8202592708192569)	(7.8686303174029, -2.3945561288728001)	1.0	z	0.838812
8	M	A	N	N					N	4	2	shapes	N	0	True	8	(2.6231685680182064, 8.5400485557430521)	(7.2196380671522427, -3.884911343618394)	(-8.4301745228174347, 6.7907626814976716)	(-7.3982883706311506, -6.5501416823837264)	1.0	slash	0.984458
9	N	A	B	M	A	B	M	N	B	8	4	shapes	A	0	False	8	(4.2011725005778722, -0.68732756703705888)	(-4.320775282733142, -4.6316245854913456)	(-1.9516770160329573, 6.9663782186835714)	(-6.3502621257146004, 4.8522666862157777)	1.0	slash	0.912164
10	N	B	M	A					B	4	2	shapes	M	0	False	8	(-8.3785842841824518, -1.3097346671546992)	(2.3596961032648185, 6.3367585659329286)	(0.75279363955261225, -1.6430823707592568)	(-3.3472612919687768, 6.5481282023977272)	1.0	slash	0.883835
11	N	A	B	N	A	M	B	M	A	8	2	shapes	B	0	False	8	(0.36228941825727112, 6.4150771846311869)	(-2.4051128441467391, -5.9840824512575246)	(3.8589353907915065, -7.2513979404538187)	(-7.8970763729888098, -6.0572635346133712)	1.0	slash	0.88746
12	N	B	A	B					B	4	3	shapes	B	0	True	8	(-0.85975772574519382, -7.0962285419965792)	(7.5128088926687617, 2.0167089490207992)	(4.8427474156758912, -8.0087842954510631)	(-6.7902710445186685, 5.3647979540493171)	1.0	z	1.23909
13	N	A	M	M					N	4	1	shapes	A	0	False	8	(4.6302436790572905, 4.5902763639957058)	(-1.6645320712936043, -6.2106067125225159)	(-7.939227833446882, 2.4993256248330518)	(7.9137523760685973, -1.3362255837823991)	1.0	slash	2.56062
14	N	A	M	M					N	4	2	shapes	M	0	False	8	(3.185856554490897, 3.4383165470858756)	(-5.9732122219746842, 6.6768971666273877)	(-5.7483369315213633, -0.050532725770397136)	(7.4748330049926359, -7.3304794826190056)	1.0	slash	0.850062
15	M	A	N	M	A	B	N	B	M	8	3	shapes	M	0	True	8	(4.7762428495055254, 7.8217344617940441)	(-0.59998853216946557, -8.4031330623879441)	(2.2914412619783562, -3.2679278830970295)	(1.8127812358430582, 0.88793845625868073)	1.0	slash	1.50995
16	N	A	M	N	M	B	B	A	B	8	5	shapes	B	0	True	8	(-3.425992983179218, 6.3911848653859469)	(0.45653855008720967, -8.71021888106654)	(5.91401183904064, -7.8639811392994163)	(3.766984398222526, 7.5438007101971714)	1.0	z	1.22149
17	N	B	N	M					B	4	0	shapes	N	0	False	8	(-2.8750888617448682, -8.1429664546738074)	(6.9445292495546003, 5.5990945336196649)	(7.9061440163284651, -5.8241925623137831)	(-7.1144234158185551, 0.95125698196628683)	1.0	z	0.995055
18	M	A	B	B					M	4	1	shapes	A	0	False	8	(6.7740360323000619, 7.5509988261895948)	(5.7289504823684005, -2.3047467714939316)	(-8.3195567114443172, 1.3052546195997348)	(-3.7191715895473685, -4.0787581250352511)	1.0	slash	1.74262
19	N	B	A	B					A	4	0	shapes	N	0	False	8	(-2.5268740352238686, 6.8678518894307992)	(-2.4035483545354257, -2.1004307279389627)	(4.6627218813279647, -8.3270073831714235)	(6.4299019346782345, 4.1505864819152585)	1.0	z	0.380252
20	M	B	N	N	B	A	M	A	M	8	3	shapes	N	0	False	8	(4.7303193403950985, -8.1048682423029739)	(-7.3394318372693448, 0.35393842224025462)	(-1.6032933645598657, 4.6454594691145914)	(-8.0486959906368831, -3.7993566463053936)	1.0	slash	0.941816
