TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	A	A	N	B	M	M	M	8	4	shapes	N	Practice	False	132	(7.9026218275459215, 1.1392592202322938)	(-1.762159285737976, 8.1766084675773527)	(6.949578292751065, -8.5019846976115954)	(1.8154732149419726, -4.5602951482576701)	1.0	slash	3.31245
2	M	B	A	B					B	4	3	shapes	B	Practice	True	132	(-5.2407223688600304, 7.225913737852574)	(-4.3549016897610358, -4.270889811606529)	(8.0135165945850737, 2.1103519159518704)	(5.6871205494874246, -4.9069497985164219)	1.0	slash	3.01875
3	N	A	N	A					B	4	3	shapes	A	Practice	False	132	(-6.457960960831544, -3.3956670307007029)	(-1.428834428236442, 2.3687600160134608)	(4.8161901736505417, -4.8749979412539712)	(1.0937111424479067, 6.2687659946561318)	1.0	slash	1.48017
4	M	B	B	A					M	4	2	shapes	B	Practice	False	132	(-3.9153763926365048, -7.1424133776011605)	(8.5204944607747848, -7.5243566911838933)	(6.2225734126911441, 4.7355141021837479)	(-4.247393704737715, 1.4693334905640612)	1.0	slash	1.17754
5	M	B	B	A					M	4	0	shapes	M	Practice	True	132	(-3.8711984672106539, 5.0518135416727539)	(-6.9514722607629107, -3.5558550114727687)	(2.6830930097194177, 5.6844145603887757)	(4.6294932867017025, -3.8163408402774417)	1.0	z	0.958856
6	N	A	N	M	A	B	M	B	A	8	1	shapes	A	Practice	True	132	(7.4368985087715487, -5.3129311115293492)	(-5.453627617007653, -3.0678237958697592)	(-0.60717232300401136, -7.8074238143385326)	(3.1422662645524007, -1.1868441356657895)	1.0	z	1.41001
7	M	B	M	B	A	N	N	A	B	8	1	shapes	B	Practice	True	132	(-3.1064013795117962, -2.5685700253855304)	(3.2037692269731224, 5.4988784375645299)	(3.3946023730430053, -7.7732209214699148)	(4.8763170337401398, -3.1426941699232493)	1.0	slash	1.74802
8	M	B	B	A	N	N	A	M	N	8	2	shapes	B	Practice	False	132	(5.1438566065203535, -7.1860129418930292)	(-7.7884831133907575, 6.476894214425311)	(-0.80003778206259124, 6.426725402893787)	(7.9163639247765332, 2.3027301256055566)	1.0	slash	1.46551
1	M	A	A	M	N	N	B	B	N	8	5	shapes	N	0	True	132	(-2.1771237644609522, -0.93435353515697628)	(-8.3710698564166925, -2.1056230471728998)	(7.0069388998916509, 7.0418977349581908)	(7.1731797435258322, -5.4662394082844159)	1.0	slash	11.4509
2	N	B	A	A					A	4	2	shapes	A	0	True	132	(-6.3625688069384383, -5.201994865672388)	(1.8329658604212788, 7.5968272918410698)	(0.98888305227915119, -4.8095858558327578)	(-7.1529067676830138, 8.105628359262429)	1.0	slash	1.8576
