TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	M	A	M	N	B	A	M	8	2	shapes	M	Practice	True	85	(-7.3527508813676592, 0.98361597667040357)	(2.0043607584679517, -7.3568992708912884)	(6.8723596117820804, 5.4766821907680185)	(-0.94725877109976864, 5.1674462609665959)	1.0	z	3.29666
2	M	A	N	N					N	4	2	shapes	N	Practice	True	85	(-7.3441154009395868, 1.7207590319967867)	(6.8984826970583626, 1.3151988384959452)	(5.4921770311392208, -3.1153401674023389)	(-3.3363129641592284, -7.8562813585938018)	1.0	z	1.93647
3	M	A	N	B	B	M	A	N	N	8	1	shapes	A	Practice	False	85	(-5.4144294762753766, 8.4832227466057475)	(-2.2992293662421837, -7.5451648040528294)	(7.2573788083836632, 7.9100702952738793)	(4.910836152602414, 3.5115083680003831)	1.0	slash	1.75461
4	M	A	M	B					B	4	3	shapes	B	Practice	True	85	(3.5188421183107792, -1.5176547418004924)	(-1.4943626695922889, 2.7854411442617746)	(-5.2508938521701083, -2.8019096786211497)	(3.8480117276238346, 8.1623451015097785)	1.0	slash	1.83745
5	M	B	M	B	N	N	A	A	N	8	5	shapes	N	Practice	True	85	(-5.9201987515092123, 8.4693470366855514)	(-1.5898782528362121, 5.2376162783639195)	(7.2955469014603906, 4.1514860493293071)	(-8.5063705661560292, -5.0145633854944052)	1.0	slash	1.60328
6	N	B	B	M					N	4	3	shapes	M	Practice	False	85	(-2.8299751343381487, 0.58632095991207223)	(-0.57581552997030272, -3.1968865566250697)	(3.3970893379036404, 2.9078409457586734)	(7.9735704783821895, -4.2376759014463454)	1.0	slash	1.23716
7	M	A	M	N	A	B	B	N	M	8	4	shapes	A	Practice	False	85	(-5.9923126386857701, -5.6582698500999529)	(0.56597717092691724, 4.1722696241458177)	(8.5806047101294816, 4.2356627866188568)	(0.50701273684103398, -1.5878415284401575)	1.0	z	2.6981
8	M	B	A	N					A	4	1	shapes	B	Practice	False	85	(2.4919256312470282, 1.3791885050710793)	(-0.98511985414776682, -6.708874232684793)	(-7.3907011186349463, 8.3359819086121831)	(6.9570609945147233, -6.4132499183037055)	1.0	z	1.26442
1	N	A	B	M	A	B	M	N	N	8	0	shapes	N	0	True	85	(-1.6653729107689328, -5.9094701222311059)	(5.618163919524493, -2.1745161528766426)	(-1.0376712068590681, -1.7824838641612484)	(-1.5283237637200537, 4.228545596566736)	1.0	slash	1.05423
2	M	A	B	A					M	4	3	shapes	A	0	False	85	(1.3072490414781122, -7.9849596094683495)	(2.4356400405860317, 6.4600930775268921)	(-2.3350553466914334, 5.1255944380238496)	(-8.2625444439553632, -3.7943969932820032)	1.0	slash	1.06183
3	N	A	N	A	B	M	B	M	N	8	2	shapes	N	0	True	85	(5.9431489969545535, 4.874061991615859)	(-3.9026057780927115, -1.2813163056350714)	(-6.1817912025070694, 8.4377196938131434)	(-4.4153254521715786, 3.046986760914244)	1.0	z	0.885796
4	N	B	B	N	A	A	M	M	M	8	2	shapes	B	0	False	85	(-1.188122732357952, 3.8906715423801455)	(-7.1824356677132641, -0.19670602339118659)	(5.5240954073523021, -1.0887380270371265)	(-1.3204084751324068, 8.2853717114497201)	1.0	slash	1.93681
5	M	A	M	B					A	4	1	shapes	A	0	True	85	(-5.0144906926209121, -1.240467430240404)	(2.1796383134076045, 3.6959788148937758)	(7.9425806698564081, -0.60745285430827423)	(-2.8981780655635161, 4.7546419487545588)	1.0	z	1.42278
6	M	A	B	B	M	A	N	N	B	8	3	shapes	B	0	True	85	(-8.0318609252485249, 4.1642018760919086)	(5.8382715166686552, -2.6377738659674685)	(-1.8406166991627746, 0.56524386414138839)	(6.547127681076514, 1.3994332497044759)	1.0	z	0.942088
7	N	A	M	N	M	A	B	B	M	8	7	shapes	B	0	False	85	(-1.6320864037347889, -5.4574777691022138)	(4.3186521108927778, -2.7576032069220622)	(8.0343145794338611, 7.8911734236189588)	(-3.1289382019905982, 4.7257308729995646)	1.0	z	1.36562
8	N	A	B	A					A	4	3	shapes	A	0	True	85	(-6.942759683623029, -7.3074153209059975)	(2.6839240513737703, -3.257870385787295)	(6.6158740679004673, 2.4632240837320296)	(-5.9520212157403298, 7.3156063039223511)	1.0	z	1.24719
9	N	B	A	B	A	M	M	N	N	8	7	shapes	N	0	True	85	(3.5800394000201035, -8.2331154801530175)	(0.62276133776122933, -1.3335803557757435)	(-8.4602700809634701, 4.2096176036144488)	(5.5833432062378439, 6.1709127337394793)	1.0	slash	2.53831
10	N	A	B	M	M	N	A	B	N	8	7	shapes	B	0	False	85	(-4.2415132127848389, 0.3785436418097472)	(7.5737032760571736, -7.8659850520959136)	(4.1605300098230735, 5.9402087752157211)	(0.43614030733012221, -3.7384146760650312)	1.0	slash	1.14848
11	M	B	A	N					B	4	1	shapes	B	0	True	85	(-7.8633497884599848, 7.3165254746798212)	(-1.1877781099609139, -0.86580823086491598)	(6.035221969683473, 2.3217108048207908)	(2.6827166498994206, -7.1073258308688514)	1.0	z	0.960426
12	M	A	M	A					M	4	2	shapes	M	0	True	85	(-2.1714708872852393, -6.6769563785390886)	(-4.6937839161448727, 8.3054327913452219)	(2.542375261172646, -0.14633851785328744)	(2.5069420480462394, 6.6410720965993768)	1.0	z	1.20217
13	N	A	M	M	A	B	B	N	N	8	6	shapes	B	0	False	85	(7.904553916047746, -1.7791907894746126)	(-2.6800430014177392, 2.8077931647035825)	(-6.7318175198085317, -0.70436247565544186)	(-7.7668070536322151, 3.4253046129650837)	1.0	z	0.941934
14	N	A	B	M					A	4	1	shapes	A	0	True	85	(-7.3189253337942448, 3.5948740909078154)	(8.6782689637142276, 7.5147962444866678)	(-7.5863478068102808, -0.76054748531199223)	(1.3663498409584776, -1.2001282743859658)	1.0	slash	1.57055
15	M	A	B	M					N	4	2	shapes	B	0	False	85	(4.2370520812900025, -5.1043212403173612)	(-6.4193937781477004, -3.6427790372335007)	(1.8443674765585616, 2.7098361062291776)	(-2.9912444101054341, 6.0001356429697204)	1.0	slash	1.45844
16	M	A	A	M	B	B	N	N	B	8	4	shapes	B	0	True	85	(-2.0452892619284366, 3.3519735926244287)	(7.1181259243270194, -4.3947924299728633)	(-2.3221242177585584, -6.3027241770378186)	(-8.2368911691620035, -3.8527859234227293)	1.0	slash	1.02051
17	M	A	B	B					N	4	0	shapes	M	0	False	85	(-3.7233781375528006, -1.1653131987950109)	(2.5562521546148709, -8.3300579200020497)	(-4.0456701280544713, 7.410893160424898)	(6.934950875528326, 8.2153550448310675)	1.0	z	0.954136
18	N	B	A	B	N	A	M	M	M	8	7	shapes	M	0	True	85	(-5.3480548544480886, -6.8592542825563054)	(2.6885403550350091, -8.710855762524762)	(3.7715899832152058, 3.6156331745062111)	(-8.0616246463448924, -0.78315024159586422)	1.0	z	1.59981
19	N	A	A	B					M	4	0	shapes	N	0	False	85	(1.5139201875916246, -7.128484172876723)	(-2.5426464343677626, 0.7895029397013289)	(6.7813320112584154, 5.0716571673455899)	(-3.8241263547556015, -7.4586129310644083)	1.0	z	1.01746
20	M	B	A	B					M	4	0	shapes	M	0	True	85	(2.0746007666373227, 4.2850036037451478)	(-2.0521105846831036, -0.22251429553823954)	(8.4173556011951902, -4.4891268118752476)	(-5.7230781132056219, 3.3280849815815703)	1.0	z	0.839063
21	N	B	M	A					B	4	2	shapes	M	0	False	85	(1.9781658985904755, 0.073140822521677862)	(6.8487571292498792, -2.0794313022513018)	(-3.1874254675645588, 4.1048741539624878)	(-6.7275965732920531, -1.8049214703976837)	1.0	z	0.800743
22	N	A	N	A					N	4	3	shapes	A	0	False	85	(-3.5432978394480514, -7.0749996892954528)	(1.3611981348354405, 8.7139502527871393)	(-0.077970559632589698, 4.0566538531373251)	(3.0465238646374999, -0.20862552213703189)	1.0	slash	0.730324
23	M	A	B	M					B	4	1	shapes	A	0	False	85	(5.1202599358875318, -8.1399837777068509)	(-5.145491801089408, -5.1309404883150931)	(-4.3430280093345344, 4.6109577182181809)	(5.5291833616354271, 6.3331753115238101)	1.0	z	0.938341
24	N	B	B	N	A	A	M	M	M	8	1	shapes	B	0	False	85	(0.088132932644450435, 5.2876086502120998)	(0.10062384525559942, -3.952965709377632)	(6.9135029374527655, 2.6991678211966068)	(-6.9793708084958102, 2.7990208306309299)	1.0	z	1.80323
25	M	B	M	B	N	N	A	A	N	8	4	shapes	N	0	True	85	(-7.8665767913707763, 0.94322302455908336)	(7.3589604058055329, 5.2957465438078355)	(3.9605530600657026, -3.6246817325719354)	(0.76457274617697557, 3.1410585338180841)	1.0	z	0.86372
26	M	A	N	A					M	4	0	shapes	M	0	True	85	(-7.4759278479351465, 4.2817732038811371)	(5.1880890708531275, 0.93134737979945115)	(-5.3535773034382981, -3.7593692368107865)	(0.88365864818867834, -3.6164780298966361)	1.0	z	0.812876
27	M	A	B	B	A	M	N	N	M	8	5	shapes	M	0	True	85	(6.7280289324888738, -7.3837854784891164)	(3.632702799082848, -1.9429710947217176)	(-0.2929404264224118, -4.4959236828273932)	(3.1315640612079854, 5.3518273744020846)	1.0	slash	1.26235
28	N	B	N	M					M	4	3	shapes	M	0	True	85	(7.7473580249213327, -1.3264953610752945)	(-1.5591938717247134, 0.16568598087336461)	(6.9276429447193095, 3.9402596407665733)	(-6.8933742558134981, -3.5243055525846829)	1.0	z	0.787818
29	N	A	M	N	M	A	B	B	B	8	2	shapes	M	0	False	85	(-6.2812588677278054, 0.90806997205938522)	(-4.6379089386808072, 7.4775921651005852)	(6.6403980622536025, 0.92494525592370636)	(-7.2746781346459439, -3.7035467001505467)	1.0	slash	0.851717
30	N	B	A	M	N	M	B	A	A	8	6	shapes	B	0	False	85	(-0.95714564844301453, 4.1390658461704479)	(-4.8865571821742693, -6.4824943647327427)	(-4.3574185630220068, 8.0365056006071534)	(7.1765955116248517, -6.0461850115541669)	1.0	slash	1.45297
31	N	A	M	A	M	B	N	B	M	8	3	shapes	A	0	False	85	(1.4535111624858423, 6.5024932696491664)	(2.5414568570091376, -7.8162630567068598)	(-5.3635773587692004, -0.0006057617096182355)	(-5.9611806680644666, 6.9380769501691919)	1.0	slash	1.31852
32	N	A	N	A					N	4	1	shapes	A	0	False	85	(8.7116868767230606, -8.6769155399517182)	(3.6039886106454357, 4.7900073287315834)	(-5.1534007960859487, -5.8826680889176739)	(-8.5270377423200596, 7.493273330347634)	1.0	slash	0.912603
1	M	B	A	M					M	4	3	shapes	M	1	True	85	(1.874672033324968, -3.5424548241092735)	(-1.6601489504529203, 0.44745311213004868)	(8.2166198018794745, 8.704219642443789)	(-6.3669940027446756, -7.3728767830975706)	1.0	z	0.766338
2	M	A	A	B	B	M	N	N	N	8	1	shapes	A	1	False	85	(-6.4212040207409569, -5.2435359489340474)	(-2.3944999953583492, 7.3646401989345165)	(7.8236928281562435, 4.3684394885393782)	(-1.2998131756206259, -7.03999933685468)	1.0	slash	1.12201
3	M	B	M	N	A	B	A	N	N	8	7	shapes	N	1	True	85	(-2.6197496219292074, -2.5662254477466337)	(-8.3282300985182367, 8.0514618524776047)	(-5.1110612341074386, -5.7222753608562194)	(6.6031101260220595, 7.9829869986057531)	1.0	slash	1.38967
4	N	A	M	N					B	4	3	shapes	N	1	False	85	(-0.3384959800635432, -1.1638829452946302)	(1.7951502528727694, -5.081672461991225)	(-5.9122103030496742, 1.4244000194852706)	(6.6834545382819233, 0.22319999778102506)	1.0	slash	0.953252
5	N	B	N	M					M	4	0	shapes	N	1	False	85	(-1.1422213895921844, -6.0102448292146402)	(-4.4185082504693227, 1.4331906067983393)	(0.84330405267637687, 6.4122646452348206)	(1.0047749244511266, -2.3746515661898018)	1.0	slash	2.18833
6	M	B	M	N	A	N	B	A	B	8	1	shapes	B	1	True	85	(1.0666472469837984, -6.1479911404573162)	(-1.5553480086264067, 1.6619851135005312)	(0.64865937051922273, 6.7380571109053253)	(-3.225179924798347, -6.1823528989423489)	1.0	z	0.860292
7	M	A	M	A					B	4	3	shapes	A	1	False	85	(-6.7187539592273797, 8.5686997918312287)	(-3.9052788368530305, -3.516659168840321)	(0.74693861656101213, -6.6199231592388212)	(6.6685746012995644, 2.8020972160522337)	1.0	z	1.24213
8	N	A	M	B					A	4	3	shapes	B	1	False	85	(5.1115609728093823, 4.1953506892224404)	(8.1149488681799298, -4.0472334679228048)	(-2.3550214439183375, -2.4915049665635847)	(-0.60207094885928925, 7.8556238348349012)	1.0	slash	1.89115
9	N	A	A	M	M	B	B	N	M	8	2	shapes	A	1	False	85	(-2.0155356605433203, -8.6715263301576524)	(-0.37325793135459584, -1.3023932150903876)	(5.6848368036810957, 3.2150066555661443)	(5.2772404171577989, -2.491230720569094)	1.0	slash	0.861287
10	M	B	B	N					B	4	1	shapes	B	1	True	85	(-6.9950558955835005, 4.4105427700236817)	(4.7875189876490847, 0.037273919747216055)	(8.4933699389643031, -3.9514423202541291)	(-1.9245290464883587, -0.60296566130033291)	1.0	slash	1.06682
11	N	A	B	M					A	4	1	shapes	A	1	True	85	(-0.3046651775318594, 6.8685147584941806)	(-6.2343152207476065, -4.6597962196844875)	(4.5902787101560651, -4.7084706097487343)	(3.769034048853797, 0.33571589127434187)	1.0	z	0.800559
