TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	A	A	B	N	M	N	B	N	8	6	shapes	N	Practice	True	131	(0.59004576604330161, -1.1924039549382996)	(-6.6683194511281396, 7.6436098617126547)	(-4.2047059667451787, 0.9008965117543255)	(-1.2738258093366568, -7.9728466117744663)	1.0	slash	3.33244
2	M	A	A	B					A	4	2	shapes	A	Practice	True	131	(-1.3766446186638142, 2.4719386190182906)	(-7.1390329260566361, -3.3940708681851524)	(4.8348488199053534, -5.2661982457603322)	(8.5846035485584231, 3.1323580768157502)	1.0	z	2.82664
3	N	A	N	B					N	4	0	shapes	N	Practice	True	131	(2.6802339757365186, 2.6674680780702804)	(-1.024364294724168, 0.19723915033279837)	(-5.0017786882793924, -3.5214157162185362)	(2.6110207331975666, -7.6952072761860633)	1.0	z	1.05419
4	M	B	A	N	A	M	N	B	A	8	6	shapes	N	Practice	False	131	(3.7333652483540671, 5.0325155943331215)	(-1.173410862656449, -5.7255322681325698)	(-6.0815717143778638, -8.5031592364410731)	(-6.8088877090771547, 3.495830710751159)	1.0	slash	1.25325
5	M	B	M	A	B	N	A	N	N	8	7	shapes	N	Practice	True	131	(5.2095630332305785, -2.4055743354699528)	(1.4058018757861266, 4.9105002087560656)	(-5.0804963935129166, 2.2022071219571639)	(-8.365379277807607, 7.1024925601301661)	1.0	z	1.12693
6	M	A	M	N	A	N	B	B	N	8	6	shapes	B	Practice	False	131	(-7.7481889310134919, -2.2176108824298053)	(-2.6472519003189081, -5.5779292452249383)	(0.73392365825636574, 1.9860241616624492)	(2.8139908442155637, 8.0996130808974485)	1.0	slash	1.16106
7	N	B	B	N					A	4	2	shapes	B	Practice	False	131	(-6.1054958892575746, -1.9383967501675734)	(2.7442289186802533, -6.4185026028908183)	(-4.077667330253834, 7.7340864376948844)	(0.62214575794284421, 8.0022979265103622)	1.0	z	0.928869
8	N	B	M	M					A	4	1	shapes	B	Practice	False	131	(-0.35611266358699289, -4.5293112397424409)	(-7.4665846577827644, 5.7097901380938723)	(2.2942296970320957, 6.0851540646531852)	(2.3624175345426544, -0.89567272460574365)	1.0	z	0.952358
1	N	A	A	M	B	B	N	M	M	8	7	shapes	M	0	True	131	(6.5148521174395508, 7.0559484332006956)	(-4.5449321267423963, 0.20642560284712452)	(-8.06987073786072, 5.6487816856070143)	(-0.53526343758347927, -1.9045827851328792)	1.0	z	1.20104
2	N	A	A	B					A	4	2	shapes	A	0	True	131	(7.1570070696789259, 5.2042454806256693)	(-1.6766573826071376, -0.60458212197660188)	(-2.2377193287898338, 6.6564134330181162)	(5.515723723195336, -4.2925358857127263)	1.0	z	1.25728
