TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	A	M	B	N	A	N	M	8	3	shapes	M	Practice	True	46	(6.0694523772527642, -6.5413309453885446)	(-1.3724516027441576, -0.2628988336564948)	(0.59044777634376544, 4.9158645762445303)	(7.3527021063976008, 5.2384004615240123)	1.0	slash	3.57377
2	M	B	B	N					M	4	0	shapes	M	Practice	True	46	(-2.560812787887043, 4.4587087906507765)	(-5.7086485367964697, -4.7229670732881628)	(0.15767493902213481, 1.2075692114312613)	(8.5731955784370584, -8.3640193454005676)	1.0	z	2.03527
3	M	B	B	A					M	4	2	shapes	B	Practice	False	46	(-4.7697846877767063, 0.53006150540946173)	(8.0233611828330389, 4.2546542157811054)	(8.6996303997500952, -3.8716099884507402)	(-4.6222084326816351, -5.9401011391609693)	1.0	slash	1.68653
4	N	A	A	B	M	N	M	B	N	8	2	shapes	A	Practice	False	46	(-3.1095105001495025, 3.8782956151475076)	(3.009397663629656, -7.1507145221766795)	(-4.2956219135690867, -1.9123217640654717)	(8.0360774803585926, -8.6912387526711612)	1.0	slash	1.41041
5	M	B	A	A					M	4	0	shapes	M	Practice	True	46	(-3.2651404027282229, 0.98105081597157273)	(-4.608937497384975, -7.7040619219039259)	(0.9391365942276888, -7.8656600051546217)	(4.1684364491623853, 1.7838388734793202)	1.0	z	1.27393
6	M	A	N	N	B	B	A	M	M	8	3	shapes	N	Practice	False	46	(-4.4321954122460392, -7.9569954305455228)	(-6.1028076907186168, -4.2448121399681966)	(-8.6071015946346829, 7.8449664477317569)	(6.4056126376865059, -2.0255074510408573)	1.0	slash	1.24752
7	M	A	N	N	A	M	B	B	M	8	0	shapes	M	Practice	True	46	(0.4773526357110871, 1.5480532315849285)	(5.1913085584732883, 0.64984880134796796)	(-8.0465763677585187, 2.5789433957061227)	(-2.2765861229563686, 5.9589191254012022)	1.0	slash	1.75538
8	N	B	M	A					M	4	1	shapes	B	Practice	False	46	(1.4976143368710506, -4.8970500554567131)	(-1.3268403525425203, 3.8966410522194632)	(-8.2491806702612678, -0.6064262392100499)	(7.2678219778920479, 1.8469933195642252)	1.0	slash	1.59074
1	M	A	A	N					A	4	3	shapes	N	0	False	46	(-7.8940159802463041, -3.0181707613495679)	(-1.22252890578583, 2.1779517399336257)	(3.6051566037204594, -0.93916827299833905)	(1.638518322883856, 7.1579644768780906)	1.0	z	1.72195
2	N	B	M	N	A	B	A	M	N	8	6	shapes	A	0	False	46	(-0.86374451679159225, -3.6782910651774392)	(4.7494599551416794, -2.6204772878706724)	(-4.7219590469098911, -4.8587805165710094)	(-3.0391995409099488, 7.0416388999567125)	1.0	slash	1.70165
3	M	B	B	M	A	A	N	N	M	8	4	shapes	A	0	False	46	(0.68431874254875957, -1.8560219476020574)	(-1.4882552488248582, -5.7098104733681758)	(-0.24821544049236088, 5.1424472524906566)	(-7.3843291214547335, -1.2236382487940762)	1.0	z	0.57905
4	N	A	A	M					A	4	1	shapes	A	0	True	46	(3.6107016090388715, 2.6098684864156816)	(4.7920821446634143, -6.3561572644033104)	(-3.0048598554013868, 7.2303863975296174)	(-8.2440224416011993, -5.2477490233546789)	1.0	slash	1.42468
5	N	B	B	A	A	M	N	M	B	8	0	shapes	N	0	False	46	(3.2290815350887101, 6.3367251471693233)	(6.1997029033854147, -2.3263701416930838)	(8.1463413567801268, 8.2786298596251591)	(-2.1106639340608488, -2.6141551691167466)	1.0	slash	2.06422
6	M	B	B	N					B	4	0	shapes	M	0	False	46	(-4.0283153294816847, -0.23196118659284082)	(8.2155420368763927, -3.9443578549678522)	(3.8559191949308467, 4.9280741637960634)	(-4.2332876072627785, 5.6091831131115768)	1.0	slash	1.046
7	M	A	M	B	B	A	N	N	B	8	4	shapes	B	0	True	46	(-6.3016009460897395, 8.2090274802773422)	(1.3280285973168287, -2.5184485104378238)	(8.2116709940759343, -1.5239732234070571)	(-6.2029407632835287, -2.8625253017734984)	1.0	z	0.985593
8	M	B	A	N					A	4	0	shapes	M	0	False	46	(0.66080320928756464, 0.034311659742478184)	(8.2415241156056496, -7.1920673064486262)	(-7.216538299912072, -2.6155841883317059)	(-6.372636495408087, 1.913997287422248)	1.0	slash	1.3932
9	M	A	B	B					N	4	2	shapes	B	0	False	46	(4.9606884229173112, 1.8905416853134405)	(-2.3053200976738299, 1.4758297574497252)	(-8.6766620546153419, -8.3588892825510133)	(8.1693987693420134, -0.99194220875936789)	1.0	slash	2.11476
10	M	A	N	A	N	M	B	B	B	8	1	shapes	A	0	False	46	(-2.2462648746182889, 8.2232114408029631)	(-8.297153060426492, -2.8587784824788098)	(1.2777405347896664, 4.701847733060875)	(1.728591100733464, -6.7932963033499121)	1.0	z	0.976425
11	N	B	M	A					N	4	0	shapes	N	0	True	46	(4.768623446853745, -0.91188715048701674)	(5.5230411979599037, 7.1812145525857964)	(-3.1051902509406872, -6.2018159294008655)	(-3.0501486605958563, 5.0716622958768607)	1.0	z	1.7281
12	M	B	N	A					N	4	2	shapes	N	0	True	46	(3.5334223914030662, -0.3815059655969204)	(-4.8812691825267471, 5.7747086907448377)	(6.5240745117756713, 6.474384620733467)	(-8.3807284134725553, -4.4434783828443765)	1.0	slash	1.20761
13	M	A	A	N					B	4	1	shapes	A	0	False	46	(6.2122177577258508, 7.5866693546840125)	(7.657662314875143, -7.35319605188183)	(-2.5642816982885011, 4.1816894540532221)	(-6.9092693199510791, -1.6567105005241958)	1.0	slash	4.047
14	M	A	N	N	A	M	B	B	M	8	6	shapes	B	0	False	46	(-7.6229342263361843, -1.8992357777764628)	(-2.8645563080697585, -7.5814491516218228)	(4.3305886689562048, 2.1120241737256116)	(3.8621062734800784, -8.5437119624348838)	1.0	z	2.13261
15	M	B	M	A					A	4	1	shapes	B	0	False	46	(8.0907389639313436, 8.6467198091336179)	(6.4536672323135651, -8.6392892706593649)	(-7.8211637354235481, 5.9183624187285542)	(-2.4440049203476377, -8.5250216233034219)	1.0	slash	0.788231
16	M	B	A	B	M	N	A	N	A	8	2	shapes	A	0	True	46	(2.931984699828261, 3.8229338584283603)	(-8.4066375804914326, 6.2450848350852866)	(7.0907295235324153, 8.4861952841245056)	(-5.1390123580410467, -5.952013397311644)	1.0	z	3.02746
17	M	B	B	N	M	N	A	A	A	8	2	shapes	B	0	False	46	(8.6040378715298083, -4.5944992878490005)	(-5.5308137564018427, 5.432135253090193)	(-0.10282006001131805, 1.0940052709918042)	(4.5290695883353429, -1.5308669639143719)	1.0	slash	1.59546
18	N	A	A	M	M	B	N	B	N	8	0	shapes	N	0	True	46	(-3.0744892756609827, -6.17548169845176)	(5.3491884294975449, -8.7257244130155769)	(-8.314484575680277, -4.6326665909913496)	(6.5715577226399926, 3.0662748328808149)	1.0	z	3.80907
19	M	A	A	M	N	N	B	B	B	8	7	shapes	B	0	True	46	(-7.1374421097183749, 8.0734926990633227)	(5.1356393002684548, -0.98857272547707531)	(-0.18519297968581405, -1.3371032440765962)	(3.257318529577331, 6.3226763857118655)	1.0	slash	0.962295
20	N	B	M	N	M	B	A	A	M	8	4	shapes	M	0	True	46	(1.2657863897392865, 4.8822188449938135)	(-8.2149483485105765, 2.9318716115875603)	(-3.69601566929797, 6.3276284030210821)	(7.7040596661743272, 0.61865446477971453)	1.0	z	1.14802
21	N	A	A	N	B	M	B	M	N	8	7	shapes	M	0	False	46	(3.0185456313152947, 0.088923928659680129)	(6.6647722493139074, -4.573492044386815)	(-6.9861433159811703, -3.2773793090755623)	(1.6229243972978313, -3.9328937349894408)	1.0	slash	1.13952
22	N	A	A	B	B	M	M	N	A	8	2	shapes	A	0	True	46	(6.8515236476853598, -3.6697818240381137)	(-2.849754093346184, 6.2189670966499246)	(2.7472628923689495, -1.9964170340510465)	(4.72156306144125, 2.7308454006756993)	1.0	slash	0.237128
23	N	B	N	A					M	4	1	shapes	B	0	False	46	(8.3488325627347137, 0.15273941417009063)	(-4.3596590909638584, -0.8666328173332456)	(2.8841913144416864, -6.9649847680504884)	(-6.1687023068742022, 5.7707610300618857)	1.0	z	0.920928
24	N	B	A	M	A	B	N	M	B	8	7	shapes	M	0	False	46	(0.28689416055487804, -4.6070940864313368)	(1.4662631254581449, 2.1446052995641089)	(-8.4209622000474429, -6.3880364924651989)	(-2.8531327497541019, -2.0260256437469568)	1.0	slash	1.01452
