TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	N	B	M	4	0	shapes	M	Practice	True	6	(-6.674162715366414, 7.30821067708575)	(-5.2036919384991087, -3.8057505979877728)	(7.512411174783221, 8.5093819486479667)	(3.2711687585868532, -7.6675710510473225)	1.0	z	3.78804
2	M	A	N	A	N	8	7	shapes	N	Practice	True	6	(-5.2259040505007963, -1.0571698167692745)	(2.0118513447841284, 5.9641799348872571)	(4.1885011547957163, 1.4437034099723594)	(6.1009545809754844, -3.4437888429874874)	1.0	z	1.05122
3	M	B	N	A	M	4	3	shapes	A	Practice	False	6	(6.69882941053514, -8.2293753016603084)	(-0.88812416086606483, -8.0104024509162048)	(4.3694876126764797, 7.3354508621105872)	(-2.5044471953627259, 6.2268471361707558)	1.0	slash	1.77706
4	M	A	A	B	N	8	3	shapes	B	Practice	False	6	(-4.4523206432795748, -4.5171676474994671)	(6.3482554367951014, 6.4746110505866152)	(4.804386340214954, 2.5591961162335988)	(2.0370894753823929, -5.0872874163744415)	1.0	z	2.36273
5	M	A	B	B	A	8	5	shapes	A	Practice	True	6	(-8.7145007944786794, -7.6296743245620977)	(-2.155440521534894, 5.6797354165152587)	(-4.2375799848234816, -2.0317075419707633)	(8.7437851099934321, 4.4482586644963718)	1.0	z	1.6543
6	N	B	M	B	A	8	2	shapes	M	Practice	False	6	(7.5475083039941495, 4.9745633993015641)	(4.1896349613530397, 0.60228051922819859)	(8.5957519535235178, -5.1640624765485565)	(-0.76126771817740391, -6.2732989451317165)	1.0	slash	1.73581
7	N	A	N	A	A	4	3	shapes	A	Practice	True	6	(8.5583072669183728, 0.3398339729421167)	(-5.8045467137724618, 2.9393992706926522)	(0.38524281105249791, -4.7597042935507741)	(-4.2651755182488129, -4.225806595368514)	1.0	z	1.20741
8	M	B	A	N	A	4	0	shapes	M	Practice	False	6	(-4.980904097171484, 3.6233935179448409)	(5.0598810403018657, -3.0859411013734857)	(2.7656226784843394, 0.38289236990465625)	(-3.6488982493707525, -0.31551208043102008)	1.0	slash	1.20088
1	M	B	A	M	A	4	1	shapes	B	0	False	6	(-3.8391285210873072, -2.2660356866734563)	(3.8331658180322261, 1.7854414109248449)	(-0.66074966728093898, 7.5089908277833679)	(4.982085982417507, -4.6401244868261875)	1.0	z	2.17752
2	N	A	A	M	N	4	2	shapes	A	0	False	6	(4.4034644362953674, -4.9126684830571321)	(-3.6167091300705785, 6.5761451532819102)	(6.92757615804571, 7.4153236306411152)	(-4.2187219418244188, -5.3452188729671768)	1.0	slash	1.71106
3	M	A	M	M	A	4	1	shapes	A	0	True	6	(3.2476138398838597, -6.7795050154732452)	(-2.3331243074246437, -5.1836689087240133)	(6.9822501174082383, 0.44015467391805529)	(-6.2529353168120112, 4.055391703908219)	1.0	z	1.38677
4	N	A	N	A	B	8	5	shapes	N	0	False	6	(7.0407932361605088, -4.6134453179469421)	(2.6101057515078345, -4.8531376129067327)	(2.4691812977383218, 7.3063450893380519)	(-1.3692746251027366, 8.5983873353230074)	1.0	z	1.89837
5	N	A	A	A	A	8	3	shapes	A	0	True	6	(-4.2031875983648179, -1.4980932055842278)	(-4.7263486561218135, 2.6424736975946139)	(8.2153599612633919, 3.8592700028268556)	(3.403004640403184, 5.2585231678081534)	1.0	slash	0.963684
6	M	A	M	M	M	4	0	shapes	M	0	True	6	(-5.2015661580189825, -1.3766201167276124)	(0.23333160799863428, -0.73696327550768714)	(-6.1895376210306399, 8.392646383807719)	(4.8697469101299973, 3.8553912092539395)	1.0	z	1.46135
7	N	B	M	M	N	8	4	shapes	N	0	True	6	(2.5276156019391358, 1.4051941093072777)	(6.2382903557409275, -5.2573146897313059)	(-6.868023483043908, 4.6258872620496394)	(-4.3700903629881829, -3.5069394009152948)	1.0	z	1.04522
8	M	A	B	B	N	8	0	shapes	M	0	False	6	(5.2558463972581517, -1.2995986601049561)	(-4.9049325342972949, 5.3334576858228537)	(-3.0306590988049367, -8.2319843150715517)	(-0.075348887217858262, 6.3054707719653518)	1.0	z	0.880727
9	N	A	B	N	M	8	0	shapes	N	0	False	6	(-8.7076029777034147, 4.3538063192241232)	(-0.71116166274564563, 5.4056866733167332)	(4.8627153301096993, 7.3668673637187041)	(4.5429596351244346, 3.2154305809842061)	1.0	z	0.844408
10	M	B	A	N	M	4	0	shapes	M	0	True	6	(5.7537865043052143, 7.814975429479027)	(-2.9531253153650532, 7.7438259944059311)	(2.7335934033817786, -3.1090252773255012)	(-4.0202147716808705, -4.327407756562585)	1.0	z	0.870084
11	M	B	N	A	B	8	0	shapes	M	0	False	6	(3.0633081659749379, -2.0371490756554467)	(5.0591942528600597, 6.8907311369980349)	(-6.3723093023316144, -3.1266334261881941)	(6.5877459936797695, -6.3246199872646667)	1.0	z	1.04559
12	M	A	B	N	M	4	3	shapes	N	0	False	6	(-6.8027438182097422, 4.6956765494465085)	(-3.050363730937109, -0.91204474775677102)	(1.4247245446039756, 3.7232958863293231)	(4.6714013408269182, -0.18759451804135097)	1.0	z	1.03935
13	N	A	B	N	M	8	5	shapes	M	0	True	6	(-3.9902966809176723, 6.572151722728071)	(-8.3058476739119946, -0.91175993224358454)	(2.3425133625092407, -7.7493592741411357)	(3.7171089060261693, 5.8389936413822223)	1.0	slash	1.25283
14	N	A	B	B	A	8	2	shapes	B	0	False	6	(-1.1687711339713589, -7.1573025258821215)	(-1.5801835970022609, -2.2567206478693098)	(6.9284129698283348, 1.7776990876058818)	(-6.8777502448107235, 4.860661444090832)	1.0	z	0.726576
15	N	B	N	M	B	4	1	shapes	B	0	True	6	(1.9065798178373754, -7.0715532567897128)	(-6.3475230135930492, 7.3895913520226166)	(0.084609034341063705, 7.6813597654968859)	(-2.0888037252705098, -1.9288058489520159)	1.0	z	0.672204
16	N	A	M	M	A	8	1	shapes	A	0	True	6	(2.2853186341884211, 8.6244775167663654)	(-5.3341367085120019, -4.83820808148774)	(-7.3993183016382362, 7.5304946784041391)	(3.6823590563797541, -5.6805354013881537)	1.0	slash	0.813731
17	N	A	A	M	B	8	1	shapes	A	0	False	6	(7.3654689099212156, 5.9478052291652705)	(-5.3805756981676751, 7.9857759417061871)	(5.0014933941190858, 0.28734344171026294)	(-5.3399834568125542, -6.4505067594362533)	1.0	z	0.911482
18	M	B	M	B	M	8	2	shapes	M	0	True	6	(3.171396655934986, -6.7844689324812233)	(-6.2150310901576518, 4.2290873335835535)	(-1.9870079344696485, 4.6778870540310677)	(-3.0750389052827662, -3.0813409682569066)	1.0	z	1.17329
19	M	B	A	A	A	4	3	shapes	A	0	True	6	(-7.5609551832660191, -0.75094625977872465)	(-5.0414916732208379, 5.5846069472658932)	(6.0112027737964357, -4.4668754740280558)	(5.9021880829010218, 3.4160563045026802)	1.0	z	0.804698
