TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	M	B	M	A	A	N	M	8	5	shapes	A	Practice	False	53	(5.9806849612484534, 7.9777814847206159)	(3.5810560879492872, 1.8680483181800209)	(-1.2236762872975353, 8.3478233262787391)	(0.97264362019469175, -2.0680838896345568)	1.0	z	5.38495
2	M	B	B	A	M	N	A	N	A	8	3	shapes	A	Practice	True	53	(4.2368150895505643, -4.8806332315027987)	(8.6775507887174896, 0.34372537296224515)	(-6.0436334205087734, -3.5872963127735673)	(-1.3058072859887293, 6.8318156484882397)	1.0	z	4.31225
3	M	A	M	B					M	4	2	shapes	M	Practice	True	53	(-8.1294698437572368, -8.2221316598217129)	(-7.1055658710451812, 4.0482950413504053)	(3.4318205238250741, 1.6647414490554571)	(5.0653202170521237, -5.3341460102689897)	1.0	slash	3.33958
4	M	A	B	B					N	4	1	shapes	A	Practice	False	53	(-1.1012862225508062, -7.0587598065750097)	(5.1837429753115103, 2.8588060463652063)	(-4.2422618056867751, 1.3607122546170789)	(4.8137657670337468, -4.9837144632965522)	1.0	slash	2.473
5	N	A	A	B					B	4	2	shapes	A	Practice	False	53	(6.0779939456700944, 6.3015747299183644)	(-3.4749548456550885, -3.4038815354611565)	(-4.322277303388951, 6.327932137416564)	(6.7284277672154555, -0.20916569259597395)	1.0	z	2.47479
6	M	B	N	M					M	4	0	shapes	M	Practice	True	53	(3.716009901700188, -6.9626509621632575)	(0.077745853136812926, 6.3602048461067913)	(-3.7673539474003848, 5.184185586853598)	(-3.6023896328603717, -7.013545238415805)	1.0	slash	2.70208
7	M	A	M	A	N	B	B	N	A	8	0	shapes	M	Practice	False	53	(-0.21698933256125486, -3.5462837787700678)	(-5.5310109687479674, 5.6287419827030387)	(0.37864680698523934, 3.835202071630853)	(4.4011601972312953, -3.6386468212536993)	1.0	slash	2.21936
8	N	B	N	B	A	M	A	M	M	8	7	shapes	M	Practice	True	53	(5.0566618003814714, 5.9469188841184515)	(1.615150574076738, 3.706597115597658)	(-2.9594854270699829, -0.88965969598103989)	(1.1843438489212446, -2.6151092460551357)	1.0	slash	3.72493
1	M	B	N	B	A	M	A	N	A	8	5	shapes	M	0	False	53	(-4.2972354185889614, -7.5990439354623973)	(3.9069947105162868, -2.8764575706094142)	(-8.3876111608989472, 4.7560985330804151)	(0.0034890951911403789, 3.5854272483238638)	1.0	slash	1.91472
2	M	A	N	A	M	B	B	N	N	8	2	shapes	N	0	True	53	(-4.7165046318799986, 8.0291050110498681)	(8.7482839302679665, 8.3156998485611666)	(-2.1993552568738028, -4.5119963012514246)	(-4.3748133179325661, 0.11422530137382481)	1.0	slash	3.43803
3	M	B	M	B					B	4	3	shapes	B	0	True	53	(7.6729821033743448, 7.6308239564974691)	(-6.2594970040073408, -8.0875180137334901)	(2.7807732364020126, -0.41399184116789556)	(-0.10263944751373266, 8.2282693113014211)	1.0	slash	1.66376
4	M	A	N	B	A	B	M	N	M	8	5	shapes	B	0	False	53	(-2.2754233234682504, -0.038528593679332701)	(0.65419019519502442, 3.0148786867062061)	(-1.3195059007861412, -7.0857576077890672)	(3.3173300258736784, 8.1426042070878246)	1.0	slash	1.68507
5	N	B	B	N					N	4	3	shapes	N	0	True	53	(-7.883248207088319, -8.0990051489902335)	(-5.5082125549001049, 3.70834306203969)	(4.8670918764844533, -0.23550248060985624)	(8.6754321704574764, 3.7844295464549642)	1.0	slash	1.78072
6	N	B	B	A					N	4	0	shapes	N	0	True	53	(1.9401240206445944, -8.4587269005248942)	(-2.6236714087812443, 0.45059999487282454)	(6.0482278225993316, 6.6992604612767792)	(-6.3487197220849581, -5.9390126353611619)	1.0	slash	2.53836
7	N	A	N	A	B	B	M	M	N	8	2	shapes	N	0	True	53	(5.0865130860072583, 0.02388184820334871)	(-6.324573632717664, 7.9828383485584276)	(0.6645528609185174, -4.0162163058298725)	(-4.1609886536629599, -2.6095837788176963)	1.0	slash	1.42596
8	N	B	M	A					A	4	3	shapes	A	0	True	53	(-0.056629427997615167, 1.4385286081234039)	(0.79150672820061629, -4.9274122438429071)	(2.9542432178183926, 6.7347092465370668)	(-2.2276791161530189, -8.7432995346219577)	1.0	z	1.55962
9	M	B	N	B					N	4	1	shapes	B	0	False	53	(0.61517818540514924, 0.83294620753891557)	(-0.92463049112836426, -7.631683131322192)	(-5.1208990029575192, 3.8613007397061239)	(8.6659237266249249, -0.77387250305932564)	1.0	slash	1.56119
10	M	B	A	A					M	4	2	shapes	A	0	False	53	(-0.90028273508244361, -2.2709560620479454)	(1.3816887784565282, 2.5979940725462409)	(5.7823183028062974, -6.9296432017878828)	(-8.1205242836987193, 6.3467028333631124)	1.0	slash	1.291
11	M	A	B	A					A	4	1	shapes	A	0	True	53	(6.2341327038876226, -5.2984552848901272)	(-5.0276301890089092, 6.1862078236793376)	(3.6808033395927495, 8.4154318085280693)	(-5.4240240405221671, -5.7641369694027542)	1.0	z	1.26635
