TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	A	A	M	N	N	B	B	A	8	1	shapes	A	Practice	True	13	(7.1498950242159953, -1.2974008423617178)	(2.6038788894481453, -4.2294793682827914)	(-2.9630677095689499, 0.38941745856143584)	(8.6429314694621482, 2.8240118255723026)	1.0	slash	7.78545
2	M	B	B	M					A	4	3	shapes	M	Practice	False	13	(-1.5289876784167795, -6.3210386175693944)	(-3.0479946581305937, 3.8663293124911604)	(4.0711063567182642, 5.7911348539567946)	(3.3964254880820928, -4.8378412203379284)	1.0	slash	1.84651
3	M	A	M	A					A	4	1	shapes	A	Practice	True	13	(1.9492329374334147, 3.8576447337547126)	(3.9510712877519882, -1.2792014008742809)	(-3.2388598660963606, 3.4182185668511487)	(-7.2902144160503628, -0.5737103090468576)	1.0	z	1.71209
4	N	A	N	A	M	M	B	B	N	8	2	shapes	N	Practice	True	13	(0.23394907766816786, -1.0834494626745803)	(-5.0119408022924086, 1.5026333913281782)	(6.7097659182396434, 3.4101528909123822)	(1.9891179241063579, 8.2773560776347317)	1.0	z	2.16567
5	N	B	A	A					N	4	3	shapes	A	Practice	False	13	(-6.3073321823104491, 5.4001470816215686)	(-1.8728327625254675, -1.9583296420118348)	(7.515272431365041, 8.5840622468137795)	(2.1370435802241055, -2.2004649905257976)	1.0	slash	2.08731
6	M	B	M	N	N	B	A	A	B	8	3	shapes	N	Practice	False	13	(7.4776690154018866, 5.4368172591423214)	(-1.1302076426768384, -6.4533606410060802)	(-0.50652564136994194, 1.6520053427033652)	(-8.3090117057096027, 7.3964851522288484)	1.0	slash	1.76279
7	N	B	A	B	A	M	N	M	M	8	4	shapes	A	Practice	False	13	(0.66601199960962632, 6.8327277027761824)	(8.6421621104176651, 5.5676529131233785)	(-6.7936525533243701, 8.3933683514045327)	(8.7427974935313593, -3.7803651952225392)	1.0	slash	2.59042
8	N	A	M	A					A	4	1	shapes	A	Practice	True	13	(-7.7542384934579882, -8.6541564456351168)	(1.3523510928639961, 3.6070283359020738)	(-4.3928870602702288, 1.8788342365466839)	(3.4536362028565026, -0.43035025943837368)	1.0	z	1.55405
1	M	A	B	B					A	4	1	shapes	A	0	True	13	(-1.0628195373807126, -1.1046742131743628)	(7.7443417479654464, 2.2340343593410115)	(3.199233749576381, -8.5583567411899697)	(-1.2220612692239801, 6.3833105436751705)	1.0	z	1.61521
2	N	B	M	M	B	A	A	N	A	8	0	shapes	N	0	False	13	(-1.908766264495271, -6.2420408219423944)	(-4.2920769809456161, -2.1309203440970101)	(1.1747071359224499, 7.9664907155728244)	(3.6992336294155237, -5.1191409833361989)	1.0	slash	2.33743
3	M	A	A	N	N	M	B	B	B	8	2	shapes	A	0	False	13	(3.970033030649887, 4.0462508088601439)	(-3.7524823235975058, 5.34917493316315)	(6.7527556353401739, -0.020807101387507743)	(-5.9793849194865523, 0.86498795319676347)	1.0	slash	1.88222
4	M	A	M	A					B	4	1	shapes	A	0	False	13	(-5.7726592041200302, 6.8216327523579334)	(3.6834068506045341, -8.0123688493905281)	(2.303914432067236, 6.5043209918209239)	(-5.384661066293468, -6.338809301759845)	1.0	z	0.867778
