TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	A	M	M	B	A	N	N	8	0	shapes	N	Practice	True	80	(-1.6742171891095934, 3.7873902454155672)	(-5.3845355457818105, -1.3550070623197117)	(-7.3089748410709339, 7.4898907372122601)	(-2.2355796633731968, -7.4524155341154898)	1.0	z	2.68927
2	M	A	B	N	M	A	B	N	N	8	0	shapes	M	Practice	False	80	(0.55007638689219363, -3.6261252739892615)	(5.1992371681100416, 7.0607897962976303)	(7.0625219105787345, 1.1534322637551337)	(-3.8926103635184965, 2.7216696978277586)	1.0	slash	1.21268
3	N	B	A	N					N	4	0	shapes	N	Practice	True	80	(-8.582612989183465, 8.7377238065674234)	(-0.76975333863775486, -7.3040038175452073)	(4.9811953943604212, -7.9719485611036447)	(2.3628841104101213, 2.1019426587623826)	1.0	z	0.884349
4	M	A	N	B					B	4	0	shapes	M	Practice	False	80	(-2.4109101069676981, -1.6517419093350094)	(6.7140155043725436, 4.9047797163707543)	(6.4315583920413815, -3.4693740718651354)	(-7.0095484890003625, 1.7476527061971741)	1.0	slash	0.822063
5	M	B	N	A					B	4	1	shapes	B	Practice	True	80	(0.4193484790832045, -6.304519342270785)	(-7.58322875314746, 2.0992416283094837)	(-5.2563915918014654, -4.1491367311405103)	(8.1842548411007918, 0.7969321902532247)	1.0	z	1.02769
6	M	B	M	N					N	4	0	shapes	M	Practice	False	80	(6.4647778555955391, 2.4862649887202011)	(4.2773999531335534, -8.5496865211611741)	(-1.9569504064617504, -2.8280828542073992)	(-3.407706440891257, 1.5783294816443298)	1.0	slash	0.937173
7	M	B	N	A	A	M	N	B	N	8	7	shapes	B	Practice	False	80	(5.3962606380943168, 1.1130968667549848)	(-3.9701527807656385, -6.6162647957801521)	(-7.467275497523751, -2.7142280057137729)	(1.174031480229198, -1.4926823916506908)	1.0	slash	1.6349
8	N	B	M	N	M	B	A	A	M	8	4	shapes	M	Practice	True	80	(4.7128548612083705, -8.2831930719491744)	(-6.3664038391733584, -2.2779983700543518)	(6.2896549367805683, 0.107397608709773)	(-5.6718217561022808, 4.526586487838923)	1.0	slash	1.70431
1	N	A	A	M	M	N	B	B	B	8	6	shapes	B	0	True	80	(-2.1019575900139396, -1.0111019694172603)	(4.3526193787131113, 0.25517485211000057)	(4.754344628346086, -7.7911575253438006)	(5.6654794575128928, 4.2811341541630998)	1.0	z	0.748705
2	N	A	B	B	A	M	N	M	B	8	1	shapes	A	0	False	80	(6.9821721549664861, 2.5195248878999656)	(0.95565219905589949, 1.9986813489026964)	(8.36911470489731, -3.8031518189869047)	(-6.9558559428367648, 2.7746724704522254)	1.0	slash	0.836411
