TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	M	M					M	4	3	shapes	M	Practice	True	60	(-1.836866642749972, -6.0814864534435191)	(6.5893817211300227, -1.9884202515429585)	(-8.5491935814164215, 2.3391207754985928)	(1.8181170645807985, 4.0512562348154901)	1.0	z	1.28786
2	M	A	A	N					B	4	3	shapes	N	Practice	False	60	(-7.0745997563327911, 3.7961226979330256)	(5.7755767270066229, 7.9061437245279649)	(8.6221616706549078, -5.3211794548435085)	(-0.69630777877361538, -3.2312075784430787)	1.0	slash	1.72728
3	N	A	B	N	B	M	A	M	M	8	5	shapes	M	Practice	True	60	(-8.2518292188206424, 2.2227380531632388)	(2.1608994060672373, -1.1991276412720211)	(-3.5870288449737942, 2.2018150757272696)	(0.61124506152703262, -7.9116632797562838)	1.0	z	1.0429
4	N	B	M	N					N	4	2	shapes	M	Practice	False	60	(-6.9325129617632246, -2.0372789511896103)	(8.4262684094736358, 6.2119194246416107)	(-5.8734033028782804, 3.0083173462593589)	(3.8965583164426043, -7.3530925711765827)	1.0	slash	1.292
5	N	B	A	A	N	B	M	M	A	8	0	shapes	N	Practice	False	60	(-0.69853841759487167, -6.4239826995037221)	(-7.5030007518429951, -6.554071842267212)	(2.8093745164365593, 4.032820716712056)	(-2.1894278807047147, 2.7567363052291771)	1.0	slash	1.31816
6	M	B	A	N	B	A	M	N	N	8	0	shapes	M	Practice	False	60	(8.0729961343612366, -2.3030412100394759)	(-8.1871361882121771, 8.0871062778147262)	(4.0941619839362975, -3.0358805990031668)	(-2.1802627583066982, 1.8611622973179163)	1.0	z	1.29985
7	N	B	N	M	A	M	B	A	A	8	7	shapes	A	Practice	True	60	(-1.2765934211871741, -0.57815912789074098)	(3.470078297184779, 0.89814349245836489)	(5.8885051686524204, -5.6752236642102538)	(-2.4579616642554782, -6.3703960066227898)	1.0	z	1.49933
8	M	B	A	M					B	4	1	shapes	B	Practice	True	60	(-3.1781564860444993, -0.52362379162114259)	(4.9200808025738709, 8.7078005718020854)	(-4.606275154023237, 7.1243533793176308)	(6.8929844785947552, -3.378186198786624)	1.0	z	1.38495
1	M	A	A	B	N	B	N	M	M	8	5	shapes	B	0	False	60	(8.6259072269354817, 1.3427753708297772)	(-6.0272930891010521, 3.866510285203212)	(7.2764324766282762, -6.6604247655371704)	(2.6116049940895039, -8.018213461400773)	1.0	z	0.983282
2	M	A	M	A	N	N	B	B	M	8	0	shapes	M	0	True	60	(8.5057910525985285, -7.7339407502705715)	(0.51494367525457108, -2.5676321087113019)	(-2.1710132152138035, -7.0983938103157778)	(5.697751015758131, 7.0628810904448009)	1.0	z	1.90881
3	N	B	A	B					N	4	2	shapes	A	0	False	60	(8.1100481301398233, -0.32204117384257103)	(-3.7864215649284576, -5.4236822612294837)	(-4.7190943985286342, 6.3521740991592601)	(3.719402850969491, 5.549114011448415)	1.0	slash	0.664293
4	N	A	B	M					N	4	1	shapes	A	0	False	60	(6.7946436494474245, -0.70350609257961239)	(-5.7959207877544401, 7.542781455421963)	(-5.0307872659735429, -8.2481692391504815)	(3.9204989373126562, 8.1353312920692566)	1.0	slash	0.526135
5	N	B	M	N	A	A	B	M	B	8	5	shapes	A	0	False	60	(-0.82182276289353418, 0.17967044288099387)	(-4.9105500816971768, -0.83243687897846019)	(4.2136661504873576, 7.4347620211701901)	(-8.6471927385432945, -6.6732459629147698)	1.0	z	1.04175
6	M	A	M	A					A	4	3	shapes	A	0	True	60	(8.0567973202724161, -3.4459741596124323)	(-6.1074463292374475, 7.7404844558605426)	(6.394788469156353, 8.3730281985058106)	(-2.6171303894123223, -2.249390645666284)	1.0	z	0.483251
7	N	B	A	N	M	M	B	A	N	8	7	shapes	A	0	False	60	(-1.8771167751945894, -0.83946521883558933)	(4.4881453358558918, 3.6280798190600123)	(-7.0260107111631331, -5.0466023163169851)	(-1.7396137456071381, 3.475960835561601)	1.0	slash	1.31096
8	N	B	B	A	A	N	M	M	M	8	6	shapes	M	0	True	60	(6.155268934094881, -0.58526979716875438)	(-8.2276132072716806, 7.4223508444082498)	(0.33940883186668103, 0.17815129324529444)	(-3.4957242356870655, 8.6886886517392696)	1.0	slash	1.02056
9	N	B	A	B					N	4	0	shapes	N	0	True	60	(-5.5348919935872267, 8.3688618654484657)	(1.0703542852362062, -7.9233469079815793)	(5.9370709664732093, 4.2427114562661465)	(-3.3486512295259194, -0.97441712813868797)	1.0	slash	0.666263
10	N	A	M	A					M	4	3	shapes	A	0	False	60	(-0.05477257215403597, 3.7237471245124159)	(7.7903478168890175, 1.8583480118587872)	(6.0566673734263752, -6.2954961371916376)	(-2.8569648235027953, -1.78706957223595)	1.0	slash	0.599953
11	M	A	M	N					M	4	0	shapes	M	0	True	60	(-0.15448487822928847, -8.3316864408251323)	(8.3759447515384409, -8.1871345507722246)	(8.120226033226416, 3.28702278210387)	(-8.5054394931096375, 4.2846147947234137)	1.0	z	1.03368
12	N	B	B	M					N	4	0	shapes	N	0	True	60	(5.7024133808754964, 8.7022845320796094)	(-4.8309047215163581, -8.5018422030643421)	(-6.149409972359158, 6.3113060695985439)	(5.2995464886204733, -0.68844939073577827)	1.0	z	0.901051
13	N	B	A	B	M	N	A	M	A	8	2	shapes	A	0	True	60	(7.2045180392381756, 8.268314785122449)	(-7.1823323940307624, 6.0170506849493712)	(6.3777704414012657, -0.004852390291997466)	(2.9775861189312813, -3.5244770266065233)	1.0	z	0.869154
14	M	A	M	A	N	N	B	B	B	8	7	shapes	B	0	True	60	(-7.9504103189988031, -7.3887788172481823)	(-0.31681875966283357, 8.3290051351470886)	(-0.081775411536826326, -7.8214621456257278)	(1.5454279353702365, 0.34723754617133906)	1.0	slash	1.25248
15	N	A	M	B					N	4	0	shapes	N	0	True	60	(5.3354723506875406, -4.0850872377601419)	(6.692677675398631, 1.4926553210824132)	(-2.1200940731939433, 0.71076044319577392)	(-4.5781410542608505, -5.6754029627686435)	1.0	slash	0.716261
16	N	B	N	M					M	4	1	shapes	B	0	False	60	(-1.5827417097394862, 2.8928720446105256)	(-1.9733761368638625, -8.170538479293203)	(4.0882224733170442, 8.6804599176532591)	(8.5757460189140176, -4.9248489928661314)	1.0	slash	0.559713
17	N	B	B	N					B	4	1	shapes	B	0	True	60	(-8.4914476735150988, 2.4699050024752989)	(-5.3843212657866069, -0.76430298103211314)	(8.1198625425371986, 1.4705571127349657)	(1.063587136641102, -7.0964084902786446)	1.0	z	0.905401
18	N	A	A	M	B	B	M	N	N	8	2	shapes	A	0	False	60	(-2.2260717325221151, -3.7399903589462538)	(3.2191788814682152, -4.3025006405699777)	(2.8382538130903274, 6.1504093250392984)	(-6.7974185724600957, -3.0549833086812841)	1.0	slash	0.817124
19	N	A	B	A	M	B	N	M	A	8	4	shapes	M	0	False	60	(-5.3269154684015279, -0.98556979475690731)	(3.6853900632494394, 2.0334843415397685)	(-3.6128924414362569, 5.0051568298050757)	(4.2160396227792258, -7.2760247630870083)	1.0	slash	1.03489
20	N	B	A	N	A	M	B	M	M	8	1	shapes	B	0	False	60	(4.7219971982973412, -8.3579406409349186)	(-3.1093709570626675, 2.221338466003516)	(-7.2368802399540098, 1.3529589233064492)	(2.3369205909881554, 7.0473605542905808)	1.0	slash	0.776685
21	N	A	N	B	M	B	M	A	M	8	6	shapes	M	0	True	60	(4.2935743541051128, 5.867136088618258)	(3.8619853515195981, -6.6277244377166236)	(4.4988115856380055, 1.5155004337451246)	(7.7024955656238738, -4.5605662822106199)	1.0	z	0.817967
22	N	B	A	B					N	4	0	shapes	N	0	True	60	(-6.1624944920640159, 5.0061211506075605)	(-8.1229665215898557, -6.8448806778469304)	(4.9479568572610653, -5.84456611033605)	(5.6745269413447996, 4.4056492797297526)	1.0	slash	0.631978
23	M	A	B	A	N	B	M	N	N	8	6	shapes	M	0	False	60	(5.6937824206763104, -0.97558918237591818)	(-5.997669647462363, 3.5280413847077998)	(-2.8811193357743576, -0.51269292014571022)	(-7.0654978008755318, -6.9414556819862394)	1.0	z	1.07752
