TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	N	B	M	A	M	B	A	8	1	shapes	A	Practice	True	22	(5.3591639515106149, 3.3236904229720921)	(-1.2403178053836355, 5.6643868677707108)	(5.5260342287280189, -5.4460055766136506)	(3.2298530641823451, 6.8337778780730574)	1.0	z	3.81009
2	M	B	B	M	N	N	A	A	B	8	1	shapes	B	Practice	True	22	(-8.4752135568521165, -6.6711440317569632)	(-4.9291504647174467, 0.7144432008368522)	(3.7088795371624812, 6.1693197684028824)	(-2.0779006682389509, -4.3373715752861424)	1.0	slash	1.42156
3	M	A	A	N	M	N	B	B	A	8	3	shapes	N	Practice	False	22	(-5.0334085561002073, 2.7788101144266886)	(-2.4100249483273348, -1.4716208578076966)	(2.3503210380145045, -4.7524579539187695)	(5.7078150764617579, -2.3479122908263248)	1.0	z	2.10925
4	N	B	N	M					B	4	1	shapes	B	Practice	True	22	(-7.3418688660538294, -0.71120031760182201)	(0.33413481607871098, 1.8943156702677122)	(-3.7295645520193181, 6.7465129508741573)	(8.1878057702460865, -8.6401590390031267)	1.0	z	1.45676
5	M	B	A	A					A	4	3	shapes	A	Practice	True	22	(-0.51011289617776612, 7.2468392585032504)	(7.8983007497325488, 6.9993739484139379)	(5.4890354325683948, -0.37919566390884718)	(-6.5479548813792841, -3.8083634818952223)	1.0	z	1.02421
6	N	B	A	A					M	4	0	shapes	N	Practice	False	22	(-2.1905672474289659, -8.4371672533162183)	(-7.0526715754755305, 8.3670987761257756)	(4.7050937795570658, 1.1068545525334468)	(1.3163892898077503, -3.1578188066351123)	1.0	slash	2.04586
7	M	A	M	N	A	N	B	B	N	8	0	shapes	M	Practice	False	22	(-5.3162636438805571, -5.0797935055273706)	(-1.0608467087730338, -6.084581600537871)	(-6.373095082398895, 8.0756252274822842)	(-6.5759193328291801, 1.8080270695870979)	1.0	slash	1.15347
8	M	B	A	B					M	4	1	shapes	B	Practice	False	22	(-5.7099761441835897, -5.2098906068628157)	(3.4396850945201702, 5.5578455291543758)	(-6.1646708475566063, 4.7816845537633093)	(8.205934374231866, -5.0290069917077043)	1.0	slash	0.932715
1	N	B	N	B	A	A	M	M	A	8	5	shapes	A	0	True	22	(1.329514127573157, -0.70432836243387875)	(6.1836741339927119, -6.8148251691532522)	(7.9230976067572598, 8.2926329378763981)	(-8.1224035622033313, 3.4808240062180484)	1.0	slash	1.62965
2	M	A	M	B	B	A	N	N	B	8	1	shapes	A	0	False	22	(-3.2554381626647615, 1.8091895432983875)	(7.2741960875266223, -4.6013037726873964)	(7.0939109949242756, 6.0264069360551549)	(-7.5148341326361434, -7.6055084195392411)	1.0	slash	2.06131
3	N	B	A	N	M	M	B	A	M	8	1	shapes	B	0	False	22	(6.9564804026695537, 1.6631361946098906)	(1.3450999616178692, -7.8623009388549576)	(-8.1039623869746418, -2.1471843159060171)	(1.0670891152829682, -0.22353785595382369)	1.0	slash	1.26084
4	M	A	M	N					A	4	3	shapes	N	0	False	22	(4.6939128362732205, 5.275725365973793)	(-0.41567306316941988, -4.0994778280618229)	(-7.4527741099938245, 7.9843500142221551)	(5.8838214908569277, -5.3585903566645428)	1.0	slash	1.06649
5	N	A	B	A	M	B	M	N	N	8	3	shapes	A	0	False	22	(-6.2209287288786204, -3.0003986160720535)	(-8.598679234668019, 7.6216836773452279)	(-5.5019048843615916, -7.2492982121302392)	(-3.4857670408505417, 7.1832691234328969)	1.0	slash	0.874235
6	N	A	N	M					N	4	0	shapes	N	0	True	22	(-1.2695336688111718, 7.8323213802802272)	(-8.6444134208580117, -7.5162352459812283)	(5.913055274666247, 6.0747695291101831)	(0.43994963998163605, -7.4205135985884496)	1.0	z	0.493796
7	M	A	A	M	N	B	N	B	A	8	4	shapes	N	0	False	22	(0.14319433724936559, -6.099186133435186)	(4.7856318077514288, -2.6318190316590924)	(2.3956307180787206, 4.7289776198497613)	(-4.3411860368271853, 0.25540224492374897)	1.0	slash	0.655456
8	M	A	M	N	B	A	B	N	B	8	7	shapes	N	0	False	22	(-6.1674162313790468, -2.3029552319364468)	(-1.8242671653150833, -1.5105285267431849)	(3.9188027920228379, 4.9185904661282223)	(1.665686745919702, -5.0037088425611564)	1.0	slash	0.777051
9	N	A	M	A	B	N	M	B	M	8	6	shapes	M	0	True	22	(-3.033683376760246, 6.6786986971476452)	(8.3710200434587883, -3.5306234993793035)	(0.41775742395373427, -0.88440371935723139)	(-6.4062676746590146, -2.6903784584004846)	1.0	slash	1.04884
10	M	A	M	N	B	N	B	A	A	8	1	shapes	A	0	True	22	(8.0612929554724637, 8.2522763407388062)	(1.5912610883083307, 0.95095530753993884)	(0.92860924257900201, -5.2020226070926103)	(-4.6329908951108072, -1.3536312052458532)	1.0	z	1.85234
11	M	B	M	N	N	A	B	A	M	8	7	shapes	A	0	False	22	(2.9822716530744735, 4.8156710745052358)	(-1.9917051390089773, -2.7758227818021846)	(-5.1402753071355534, -7.9687627475137184)	(0.87772259721810464, 1.1859329812689197)	1.0	slash	1.07004
12	M	A	M	A	N	N	B	B	N	8	2	shapes	M	0	False	22	(5.8024331563563081, 5.4541371745371805)	(-5.1368819238220702, 5.5302449189876572)	(-5.2291912744974294, -8.0881494713590776)	(6.4767449232758363, -6.5282886120505772)	1.0	z	1.73349
13	M	B	A	A					M	4	0	shapes	M	0	True	22	(-7.8728490396952351, -6.04326455327414)	(5.6470273701193801, -2.0108763823418858)	(2.6638287587084442, 2.0986915418240883)	(-5.1292585032067137, 6.3956621521079988)	1.0	z	0.829204
14	M	A	A	B	N	N	B	M	N	8	5	shapes	N	0	True	22	(8.3636706368733407, 2.019989250787539)	(-6.8067763080177626, 2.7653622182681978)	(5.7175277943758882, -4.7951648073818998)	(1.120872129408788, -3.6430444848360848)	1.0	slash	3.43688
15	M	B	B	A					M	4	0	shapes	M	0	True	22	(-4.5247470288114044, 0.95745004329105399)	(0.9585264393792059, -0.43360392402653503)	(4.6565346966506773, 2.2566731869346093)	(-7.4026018809090317, -2.895291570444221)	1.0	z	0.800236
16	M	B	M	N					M	4	2	shapes	M	0	True	22	(-2.6921278873255963, 0.53666554489025664)	(2.6375724974025587, -3.0703947833838807)	(8.522972832600729, 1.1508135133552617)	(-3.6119498049942225, -4.6685625261624688)	1.0	z	0.762097
17	M	B	B	N					B	4	2	shapes	B	0	True	22	(3.6936037555202077, 5.2122501241445178)	(-4.8883803383043913, 0.62623328076113083)	(4.1053188414110693, -5.5770461160547047)	(-7.1707716554077026, -8.3505772484694809)	1.0	z	0.955592
18	M	A	N	M					B	4	3	shapes	M	0	False	22	(-1.8141645778132354, -8.3520996699578429)	(-2.1742523587298024, 0.33395353011452755)	(0.19432233521941633, 3.9017815475770394)	(6.5816731894377067, -7.65535145556386)	1.0	slash	1.24718
19	M	A	B	A					A	4	3	shapes	A	0	True	22	(-7.302436287323987, 0.44116446601059245)	(8.236366979777447, 5.9201204035887702)	(-5.2677288425680331, -5.7651498594904265)	(0.51532921339370574, -5.0945989588871603)	1.0	slash	1.57481
20	M	A	M	B					N	4	2	shapes	M	0	False	22	(-4.9576634971072213, -8.0014382717670589)	(5.0132507276199547, 4.8050182189986188)	(7.3123526643311507, -6.7570887862125124)	(-5.2163356848788158, 5.3371227313158816)	1.0	slash	1.33455
21	N	B	A	N	M	M	A	B	A	8	6	shapes	A	0	True	22	(8.0218620055054046, 3.1514837391599055)	(-7.4658241378936836, 5.2241528303461102)	(-2.9353844059393275, -3.6399476472669301)	(6.1491361971321457, -4.3952436320443358)	1.0	z	1.92013
22	N	A	M	A					A	4	1	shapes	A	0	True	22	(7.9267046283596088, -5.452253961999916)	(-1.2712871843236799, -1.9874722813876033)	(-8.5857132901902968, 4.4672282211453282)	(0.017029541105898716, 5.0151155952246533)	1.0	z	0.665588
23	N	B	A	A	B	N	M	M	A	8	2	shapes	A	0	True	22	(-7.6909086040561592, 3.2893847076291109)	(-3.1541415874511207, 6.2141301053245108)	(4.2803747119887277, -5.5333234270821077)	(5.5489711547401495, 4.4684820631338695)	1.0	z	1.1449
24	M	A	B	A	M	B	N	N	B	8	7	shapes	N	0	False	22	(-6.8687999250628167, 4.7843994720812049)	(8.4905984238610479, 2.4480005596984142)	(7.3324893954215149, 6.6561313792309953)	(4.5495420621226046, -0.55182226456557437)	1.0	slash	0.81688
25	M	A	B	B					M	4	3	shapes	B	0	False	22	(0.23776250159865775, 6.837880776944802)	(-2.5586039919540342, 0.53583625425143744)	(8.3470201872790106, -2.0285281049686326)	(-3.0329167630654572, -7.8005462879257683)	1.0	slash	1.4564
26	N	A	M	N					A	4	3	shapes	N	0	False	22	(-6.677100270215238, -6.881307328109787)	(-8.1944916074332159, 3.2097080652804539)	(6.2812169393146746, 8.4995391373959883)	(4.9706175316471573, -4.8909333919335714)	1.0	slash	0.648264
27	M	B	B	M	A	N	A	N	B	8	1	shapes	B	0	True	22	(-5.9011297577577206, -0.85761708827758465)	(4.1098412902380996, 5.9203266572952469)	(0.60439317653064251, 1.134725733561238)	(-0.65892445348481843, -4.8540467892291961)	1.0	z	1.20379
28	N	B	N	A					N	4	2	shapes	N	0	True	22	(-7.198064901699941, 5.3348489076659966)	(0.38670793240916268, -1.6418729723582919)	(-5.607079732361365, -3.1422169521176242)	(8.671434150114596, 6.2485644392513073)	1.0	z	0.693446
29	M	A	N	M					N	4	0	shapes	M	0	False	22	(6.7959592647556573, 2.9788050470150296)	(7.7845757343048554, -3.5398391799275783)	(-4.4931834100642325, -4.0146166700360446)	(-3.8720349660519773, 2.8545741267342617)	1.0	slash	0.629167
30	N	A	A	B					B	4	1	shapes	A	0	False	22	(0.47660889677179874, -1.124159422001421)	(-3.7173443191936402, -1.1263184614555648)	(-6.412286292748294, 4.196473206868033)	(6.8690351830557059, 0.58002401997396547)	1.0	slash	1.80883
31	M	B	B	M					B	4	3	shapes	M	0	False	22	(3.7270517409337192, 3.0501809578843613)	(-7.5699429448322029, 4.2746157507048412)	(0.10496037096932298, -1.6045980908826847)	(-8.6284652292116029, -8.4825342413838705)	1.0	slash	0.768352
32	N	B	A	A	N	B	M	M	N	8	4	shapes	N	0	True	22	(2.0897995647974721, 1.8656705902908239)	(-1.6436175328726748, -7.7605887409844181)	(6.9970845331699536, 4.6053740202229125)	(-8.3844992685151549, -0.93640878783172887)	1.0	z	0.595943
1	M	B	M	N					M	4	0	shapes	M	1	True	22	(-1.4852716332268381, -3.0596239021911016)	(-7.4297700218570117, 4.0943227365961281)	(8.6701876269074845, 2.390638878356075)	(3.6625865693647022, -7.4355490940007893)	1.0	z	1.33161
2	M	A	M	B					B	4	3	shapes	B	1	True	22	(-4.5430806595774689, -1.9392614471675715)	(-2.9620670569597696, 6.354002320692743)	(3.2245362339172861, 6.6326945662127024)	(4.6165946259306345, -4.2698492511424675)	1.0	z	0.587353
3	N	A	N	A	M	M	B	B	M	8	5	shapes	M	1	True	22	(7.4381729271666366, -3.216528890358469)	(-4.9915769894953339, -8.139266174099717)	(-2.0085465057573062, 0.36229625751391481)	(5.9327894491848419, 3.3249552947435248)	1.0	z	1.69095
4	M	A	N	N					B	4	0	shapes	M	1	False	22	(6.6504973374275629, 1.4227183749810184)	(-2.169421868152515, 6.5796926036217904)	(-4.6261700864530582, -2.999202876525783)	(2.2020712072791344, -0.13336430857226667)	1.0	slash	0.722678
