TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	N	A	N	B	A	M	B	8	1	shapes	B	Practice	True	133	(6.3266809253117415, -8.5069659816253811)	(3.3844959048224652, -1.199426199891561)	(-6.7468468235795225, -6.4229223043383783)	(-7.3639286517527331, 5.9744385505244235)	1.0	slash	2.72919
2	M	B	B	A					M	4	2	shapes	B	Practice	False	133	(-2.5907544805161598, 5.0162078349407349)	(8.6793424728387016, 7.6591178387254146)	(2.4188748850178747, -5.520643465600191)	(-6.5514851632980218, -3.40177492948657)	1.0	slash	2.36968
3	M	B	A	M	B	A	N	N	A	8	6	shapes	N	Practice	False	133	(5.3554086752665011, -3.9679382844227016)	(2.9061732933973161, 5.911187674308751)	(2.5150931400006833, -7.5578601835190975)	(-5.81113715822692, -6.5936264753143892)	1.0	slash	1.41777
4	N	B	A	B					A	4	2	shapes	A	Practice	True	133	(1.9700518490879482, 6.0820396100927478)	(-7.577626406010749, -2.795695877261922)	(5.4233689317540446, -1.1811414153941557)	(-7.6134303400464942, 6.6951363862724591)	1.0	z	1.99159
5	N	A	N	A					B	4	3	shapes	A	Practice	False	133	(-5.6797445359335139, 5.820409046706061)	(0.36464537021591603, -6.8348454834297856)	(-8.2493351974869711, -5.5604955054561351)	(2.0834241077882414, 7.6890776625262731)	1.0	z	2.67517
6	N	B	B	N	A	A	M	M	B	8	2	shapes	B	Practice	True	133	(8.4950757861827313, -5.7592974980201843)	(0.15880323281929698, -0.28026607803731807)	(-7.20040047046, 8.6926928112605921)	(-8.592287689058173, -3.432488790449562)	1.0	z	3.31818
7	N	A	N	M					M	4	3	shapes	M	Practice	True	133	(8.5200590626996515, 1.5027340386305976)	(3.9205466701129694, -7.593757454242489)	(-3.807659459295027, -2.2161020401040732)	(-0.71053401904086044, 4.1236356056367462)	1.0	z	1.56842
8	M	B	N	M	A	N	A	B	A	8	1	shapes	B	Practice	False	133	(-6.6348138021227019, 5.4058858711536644)	(2.6357575084249518, 6.1789064040436941)	(7.6160630230742967, 1.3175073011709255)	(-4.0707894156706379, 2.0055557886256459)	1.0	z	1.24711
1	M	A	M	A					B	4	0	shapes	M	0	False	133	(-0.34125077913882684, 8.7160171650632456)	(3.6693945886557664, -5.7974255965924897)	(7.5145758223677639, 8.7436347245082828)	(-8.2202561488947197, -6.3010752100923142)	1.0	slash	2.35296
2	M	A	A	N					A	4	1	shapes	A	0	True	133	(-6.0428401811124406, 1.2212360225456447)	(3.0953049586140242, -7.2266690387350643)	(5.8630350326947287, 7.2091408836985273)	(-6.6500100150541401, -8.4401602969938825)	1.0	z	1.94637
3	M	A	M	A	N	B	N	B	N	8	6	shapes	N	0	True	133	(-8.2930503324622009, -5.2272898771898717)	(-2.7440086412183806, 1.4945710868372313)	(4.2588688111045165, 3.7605419638796711)	(5.77302012602693, -1.9749197840326556)	1.0	z	5.80778
4	N	B	M	N	A	B	M	A	B	8	5	shapes	B	0	True	133	(6.3390432863535437, 1.9771646499014786)	(-2.9981002818263969, 7.4281802487124615)	(-7.24604935972833, -0.16700572265670388)	(3.6730471176716506, 6.6472451388647276)	1.0	z	2.02544
5	N	B	B	M	M	A	N	A	N	8	6	shapes	N	0	True	133	(-8.3151729590495975, -2.9553416919316193)	(3.3971571870944679, 5.2163856585613271)	(0.097942727727513557, 1.2753960139369269)	(3.3396216198850048, -8.5068841239325632)	1.0	z	1.51452
6	M	B	N	N	B	A	M	A	M	8	4	shapes	B	0	False	133	(1.3252614136837284, 0.062747470270778649)	(-6.569323445148612, 3.0930225930168334)	(7.3050178805756047, -4.7637055042705123)	(7.3298306425422552, 5.932216096161568)	1.0	slash	1.73415
7	M	A	A	N					A	4	1	shapes	A	0	True	133	(-6.5571423586853506, -2.1709870161028508)	(6.9649285096090967, -3.1423251217327408)	(-7.0877959830661972, 5.9310004088915225)	(5.7643690511227224, 5.3425586042317477)	1.0	z	1.14212
8	M	B	A	N	A	B	N	M	M	8	1	shapes	B	0	False	133	(-7.1721762487210832, -5.1085948810562645)	(3.7622532732274241, -1.7397649509501347)	(5.3448736759229831, -8.0883830761865596)	(-2.8622398968891156, -0.76146380912800193)	1.0	slash	1.42129
9	N	B	B	N					M	4	3	shapes	N	0	False	133	(7.2598713780558946, -3.6684604055754875)	(-7.8573594810755001, 1.2027413908957385)	(6.5933034893148488, 7.2683823786469794)	(-1.5512433049295282, -4.1836667588685845)	1.0	slash	4.13867
10	N	B	B	M	N	M	A	A	B	8	7	shapes	A	0	False	133	(2.0880797745722894, 7.7958169124363863)	(-1.3286138642750585, -0.31531850752053003)	(4.9540658562198523, -7.3285358814287243)	(-3.4458723894258592, -7.5752238531190423)	1.0	z	1.48271
11	M	B	M	A					N	4	1	shapes	B	0	False	133	(2.3262362193273241, 0.44596702919418085)	(-7.5923110453436751, -0.70031253699900731)	(5.3925880939701329, -6.5445942590579795)	(-5.5304026510437234, 8.4986076014615612)	1.0	slash	1.27481
12	M	B	B	M					A	4	1	shapes	B	0	False	133	(3.3400557982250483, 2.7609855498585674)	(4.7983384011580217, -3.2052799413161441)	(-3.6150703435914764, -3.3573257242939061)	(-7.8974731810598104, 1.8092999469612003)	1.0	slash	2.23991
13	N	A	N	A					A	4	1	shapes	A	0	True	133	(2.8009900429766788, 4.8562475698126821)	(3.2731048098766102, -3.8351096231755317)	(-6.0448767774369863, 7.567225511831591)	(-8.4487426755269084, -3.4647993489315718)	1.0	z	1.08961
14	N	A	A	M	M	N	B	B	A	8	1	shapes	A	0	True	133	(1.6338607531842175, -8.0376983570922604)	(-0.88061937614843533, 1.4025715499495508)	(4.1445513029257111, 3.4160175931054031)	(-3.6795358675754199, 7.5442646666676367)	1.0	slash	2.42646
15	N	A	A	N	B	M	B	M	N	8	1	shapes	A	0	False	133	(-2.6831031668845817, -2.1786905858075896)	(-0.78219421937760814, 3.3186636172800394)	(3.4396942678961651, 1.2031027435296391)	(8.0031186019167677, -2.8785255949299451)	1.0	slash	1.44082
16	N	A	A	B	M	M	B	N	A	8	0	shapes	N	0	False	133	(-4.3181424367446164, 5.6740323153058281)	(-8.640148699581669, -3.7689948731872747)	(-3.403652331275083, -0.81617672493479088)	(5.2345951665924844, -5.0508393194148127)	1.0	z	1.8598
17	N	B	N	M					B	4	2	shapes	N	0	False	133	(-4.5377788589100714, 3.0595336455165079)	(-2.0765482715040235, -3.2327805221544299)	(8.2968750466858339, -3.8439800575144716)	(4.9291307816439378, 7.8931783968106473)	1.0	slash	1.16195
18	N	A	N	A					B	4	2	shapes	N	0	False	133	(2.0648309695873586, -3.7652300689514648)	(-4.9497856037462817, 1.9454797666897132)	(-3.865572467887076, -4.6999689281775465)	(7.8240819697349941, 6.7260795523025454)	1.0	slash	1.78945
19	N	A	A	M					N	4	0	shapes	N	0	True	133	(7.2735555782350758, -7.5477218002995601)	(0.0088547927590827413, 0.08967308014840647)	(-8.0218351237014893, 7.6335282780425473)	(-5.9325326497202067, -2.5345239536752207)	1.0	slash	1.52892
20	M	B	M	B	A	A	N	N	A	8	2	shapes	M	0	False	133	(-8.496527409020457, -6.2097534902723037)	(-8.4539273989634669, -0.13256066836334846)	(-6.1133192266123473, 8.3256210354781821)	(4.3097916479223546, -8.1373734790575334)	1.0	z	1.36009
21	N	B	A	A					B	4	1	shapes	B	0	True	133	(6.8425991095545271, -1.0070284322043008)	(-2.0894144364605101, -6.7540992217600975)	(-0.93587882136892997, 1.0407971098743207)	(4.2131498489481398, 3.1995825095117265)	1.0	z	1.33405
22	N	A	N	B					N	4	0	shapes	N	0	True	133	(8.3681879832049155, 5.4832388639087508)	(-1.0650813641707746, -5.8878250433211257)	(-5.4175862160962094, 8.1208060492409047)	(5.5490458740162154, -3.2196376562016624)	1.0	slash	1.79788
23	M	A	A	N					M	4	2	shapes	A	0	False	133	(-4.5464348965311716, -2.9960406390732883)	(7.9784010102464791, -6.1755963308774922)	(-8.2436995237650024, 4.1059030485934986)	(0.90914138239030962, 4.8969033924889693)	1.0	slash	1.2474
24	M	A	A	B	B	M	N	N	B	8	0	shapes	M	0	False	133	(-4.2614336592077571, 7.32320161655419)	(-0.93848198704000296, 1.9765267847028518)	(7.2173036474977259, 4.0146354162058966)	(4.589477196720253, 7.202219314086646)	1.0	slash	1.28901
25	N	B	M	B	A	M	A	N	A	8	6	shapes	A	0	True	133	(-5.2448111311040435, 5.5989414711557366)	(1.7957618700450801, 1.7423129113768763)	(3.0982404928667098, -2.1054638907767433)	(8.293414927469577, 4.8270898176043744)	1.0	z	1.86609
26	M	B	A	N	A	N	B	M	M	8	0	shapes	M	0	True	133	(-3.1973510214021417, 5.7101744521134545)	(0.28105129469137324, 2.8650881557055712)	(4.144345316197743, 5.4114963064542128)	(3.8186004288022382, -1.6220038287348357)	1.0	z	1.48817
27	N	B	A	M					M	4	3	shapes	M	0	True	133	(-8.2024123264232731, -7.3061822632619204)	(0.13483838057997133, -8.1034266469307425)	(7.6662661359695861, 4.9607967155409565)	(-3.4751233881857599, 4.1399436257554481)	1.0	slash	1.36585
28	N	A	A	B					N	4	0	shapes	N	0	True	133	(5.1093274402902509, 7.8403348239305259)	(-5.8642527936349707, 2.0912702202022224)	(0.62100229289400666, -3.3702615390989799)	(-1.7323464691999364, -8.2121920144841436)	1.0	z	1.27936
29	N	B	B	A					N	4	2	shapes	B	0	False	133	(-2.4826623369351903, -4.8586883700243764)	(3.2040806334988226, 3.9280811150832022)	(-0.8438780461425246, 3.5863401509179553)	(8.5595864459618873, -3.2627120702568702)	1.0	slash	0.913088
30	M	B	N	A	M	A	N	B	M	8	0	shapes	M	0	True	133	(-0.4052470060494695, 0.66024514616485419)	(7.7234911652187819, 8.3027971152720426)	(-6.9953797230310988, -7.997680515221111)	(-5.8402507076890995, -3.6087008406284786)	1.0	slash	2.76513
31	M	A	M	B	B	A	N	N	M	8	2	shapes	M	0	True	133	(7.4581975354364971, 4.1262941024585444)	(6.9516964419357432, -8.3262388215376877)	(-7.1081429030375478, 0.12370006563150859)	(1.706432232013773, 6.5026512647630916)	1.0	slash	2.14169
32	M	A	M	A	B	N	N	B	N	8	2	shapes	M	0	False	133	(1.7230922773123787, -0.59878908714368073)	(-3.5653166599787651, 3.830924640006856)	(5.3284737772625324, -8.7212043167584437)	(7.2696514971667412, 2.6019273497329429)	1.0	z	1.22927
1	M	A	N	A	B	M	N	B	B	8	0	shapes	M	1	False	133	(4.4598945252141675, -0.6736499199431023)	(7.5772142883551687, 6.2763213458712777)	(-4.4562045216095107, -0.5650804425296716)	(-8.5893951069690893, 5.1381115066906897)	1.0	slash	1.07477
