TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	A	N					N	4	0	shapes	N	Practice	True	76	(6.6470392966616298, -7.8442405363997425)	(-0.33062839993259452, 1.9259075784221373)	(7.5053528699628238, 4.7573721418476307)	(-8.7249963433706306, -6.2323882594802242)	1.0	z	18.1499
2	N	B	M	M	B	A	A	N	B	8	1	shapes	B	Practice	True	76	(-5.8674733170976126, -3.7850519001408713)	(3.524500821939494, -4.6294087649093285)	(-0.81562716177338945, -6.5788637166285646)	(-8.2535960013134435, 1.9151154518001761)	1.0	z	1.70889
3	N	B	N	B					A	4	0	shapes	N	Practice	False	76	(5.173337290263806, 6.8059767015980484)	(-6.5902315738745472, 1.4595346278821246)	(3.9308680632284645, -0.68327636089512289)	(-0.83706568198596099, -7.9923681928765458)	1.0	slash	2.14436
4	N	A	A	N	M	M	B	B	M	8	2	shapes	A	Practice	False	76	(-7.0353216544571282, 3.9656656009351767)	(-3.5340439980760854, -5.2815707075659208)	(-2.2823831566960191, 1.884187683487065)	(1.0869831931465246, 5.4603693409869436)	1.0	slash	1.0001
5	N	B	A	N					N	4	2	shapes	A	Practice	False	76	(1.5052219174369128, -1.1649995899039425)	(-4.8859748615903609, -7.4222574406983366)	(-3.3820943958108449, 5.1154943462574813)	(6.8606825219923451, 3.1005772885532004)	1.0	slash	0.697771
6	M	A	N	A	B	N	B	M	A	8	6	shapes	B	Practice	False	76	(-3.8734999358200914, 2.0859989776436834)	(-1.920251629518253, -7.6116153677917833)	(-7.7168103310821827, 6.4137569923336102)	(5.8522736634317987, 1.5031754889645121)	1.0	slash	11.683
7	M	B	B	N	M	A	A	N	A	8	5	shapes	A	Practice	True	76	(3.2498592681182483, 0.32280256673065466)	(-1.5225957726864028, 4.9636679192140409)	(6.0109119108394271, -5.4315748995274777)	(-5.2340287553121243, 7.7249720587167552)	1.0	z	1.22804
8	M	B	N	A					M	4	0	shapes	M	Practice	True	76	(-4.5429268559780445, 3.3423746726686208)	(-7.8755293489122788, -4.6113516147770195)	(2.9877500135734874, -8.4473490944091996)	(2.7118138276853827, 5.2573101614482063)	1.0	z	1.17587
1	M	B	N	M	B	A	N	A	B	8	2	shapes	N	0	False	76	(-6.9872247536660144, -6.528029955686911)	(5.4569485471387971, -3.7216378894381839)	(-2.3293696702556463, 1.8147472868328567)	(5.7865948103449405, 2.419420929165037)	1.0	slash	0.750077
2	N	A	N	B	M	B	M	A	N	8	0	shapes	N	0	True	76	(6.0186375000133019, 7.4811769578352596)	(2.0104772727557574, 1.9207486333942061)	(7.1809007382616645, -2.5847422806072888)	(-8.4383637383250854, -2.0703407381858474)	1.0	slash	0.942001
3	N	B	B	M					B	4	3	shapes	M	0	False	76	(2.0494845866565008, -7.007690231777433)	(-6.5998520919086658, 3.232005397249047)	(2.9868578062474285, 7.5007167336698011)	(-8.649203070306827, -4.194828545494472)	1.0	slash	0.891523
4	N	A	B	B					B	4	3	shapes	B	0	True	76	(-5.0562367271152659, -1.4192825246245366)	(-4.9476396506654456, 7.5354555329463047)	(6.525463056301696, -0.78849207194742021)	(2.9899657992612045, 3.8829717052730235)	1.0	z	0.835214
5	M	A	A	B	B	N	N	M	M	8	0	shapes	M	0	True	76	(-7.6474407841165295, -3.9816431617483934)	(8.5725914188333086, 7.9430684146949844)	(-2.2183848464849847, 3.6058779801750234)	(3.7647596853425611, 6.6889976730520733)	1.0	z	1.18489
6	N	B	B	A	N	A	M	M	B	8	0	shapes	N	0	False	76	(-2.9495656321825123, 0.014873106409831749)	(7.4345416930243857, 7.0661875657446238)	(7.2079876613440277, -2.0497509222120742)	(-6.8725981614761888, -2.5328500608284381)	1.0	z	0.992471
7	M	A	A	B	N	M	B	N	B	8	2	shapes	A	0	False	76	(-1.0987256063391655, 7.689343561148668)	(7.508377567962853, 7.2472174042439015)	(2.95341491402983, 1.3891761335909489)	(-4.9977295941915774, 0.36958688129777784)	1.0	z	0.832073
8	M	A	A	B					M	4	0	shapes	M	0	True	76	(2.7099584471369411, -3.0395484738946559)	(6.8751228155290107, 1.2771748136018584)	(-5.2198814452103148, -2.5422575969636654)	(-1.9246850210119781, 7.5341314223724609)	1.0	z	0.579825
9	N	B	M	B	A	M	N	A	B	8	1	shapes	B	0	True	76	(1.9374155851603767, -4.8964017360633232)	(-4.1010120541383159, 4.017585960062382)	(3.1964289171955418, 6.5783620279630703)	(-2.6717370953123218, -0.92036396528895636)	1.0	z	0.675349
10	N	A	N	A	M	B	M	B	N	8	7	shapes	B	0	False	76	(-2.7284796211559463, -6.3793069388826469)	(6.473574331774838, 2.1615565297245229)	(2.0463102516469256, -7.6139282098690675)	(-7.7840537578040276, -3.1217335755302722)	1.0	slash	0.673197
11	N	B	A	M					N	4	1	shapes	B	0	False	76	(-7.9879692321482088, -2.1517906992754048)	(8.4062697871287213, -7.9567187770282146)	(4.4868399284502658, 5.2874172822822256)	(-3.3738538380503336, 0.80787428581973231)	1.0	slash	0.69282
12	M	B	M	N					M	4	0	shapes	M	0	True	76	(-8.3159568809867466, 1.6575145804548015)	(8.1703572178148534, -6.1301579356912761)	(-1.4091200891912559, -5.3716984759681621)	(6.6132325893833155, 1.944887391794067)	1.0	z	0.706502
13	M	B	B	M					N	4	2	shapes	B	0	False	76	(-4.1925462071417368, 7.1488410575071999)	(6.7229354051187329, 6.5898830342381469)	(-4.6769692997801258, -8.6340000406098039)	(0.24063659285625683, -3.4432922482056272)	1.0	slash	0.751649
14	M	A	M	B					A	4	1	shapes	A	0	True	76	(-5.8496877575254391, -6.5889159001384936)	(4.3775640961218105, -0.79357453554704804)	(0.65912529624544547, 6.504898962241473)	(-1.7026743729685032, 0.85101657035533229)	1.0	slash	0.843731
15	N	B	B	N	A	A	M	M	B	8	4	shapes	A	0	False	76	(-4.662027087632354, -0.15830833923416954)	(7.1021251918070742, 1.9173740211086834)	(1.9519619917126896, 7.6128759732198326)	(6.0668329674794226, -5.0598891863034421)	1.0	z	0.79128
16	N	B	A	B					B	4	1	shapes	B	0	True	76	(0.7654710048159874, -5.18053736639758)	(-3.6492314391180649, 7.5680857766090917)	(6.8385872302880326, 4.3110647108187496)	(-8.3286433509706459, -2.2636640863397544)	1.0	z	0.63519
17	N	B	N	A					A	4	2	shapes	N	0	False	76	(-3.6708081981043144, -6.5111771804860687)	(1.2759323620280725, 3.9947093338701869)	(-4.035428491308573, 5.741515011502841)	(3.0009868835367239, -5.1688867568031158)	1.0	slash	0.622702
