TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	B	B					B	4	2	shapes	B	Practice	True	143	(-6.1033096333514845, -5.6677782655183746)	(1.1438022751222405, 2.1205619978928372)	(6.4976533694587975, -4.5072045027662835)	(-4.3141899240051078, 1.8344772071315258)	1.0	slash	1.94433
2	N	B	A	M					M	4	1	shapes	B	Practice	False	143	(6.3615258242292985, 3.6149924142847123)	(8.3701029469934163, -1.2637102326997089)	(-4.5680929497294285, -1.3953037537916453)	(-8.0377894546167248, 5.104287575001436)	1.0	slash	1.90908
3	M	A	B	B	M	A	N	N	A	8	5	shapes	A	Practice	True	143	(5.4924550110824981, -7.926956677027496)	(-1.8736827789135209, 4.228183831813654)	(1.6729479765991524, 6.2892782550466571)	(-6.6254248324377532, -7.4926861340229962)	1.0	slash	1.39406
4	M	A	M	A	B	B	N	N	B	8	4	shapes	B	Practice	True	143	(0.7991504983395572, -8.4899271776530991)	(5.2744664344614698, 0.75152957062031689)	(3.7892862969123744, -3.7000743158468969)	(-0.89344652497995813, 1.9082663442277781)	1.0	z	0.98969
5	N	B	M	N	M	A	B	A	A	8	4	shapes	M	Practice	False	143	(0.11078434377806978, 1.6285482498452755)	(-3.8985040311076595, 4.9935122858491479)	(3.8883236080060257, -6.497087999745454)	(-8.371083768613266, 2.3166256499933819)	1.0	slash	1.17977
6	M	B	N	N	B	A	A	M	A	8	2	shapes	N	Practice	False	143	(-2.4875026065922734, -2.4161839095633848)	(4.7196980208150325, -0.79923833532693767)	(1.3499987502784911, -5.9598859083179363)	(6.4811865447264978, 3.3187780875453683)	1.0	slash	1.00292
7	M	B	A	M					A	4	2	shapes	A	Practice	True	143	(-0.69882916362283609, 3.7714530072551895)	(5.9550535890435921, -1.0786451352279531)	(5.5763961286050208, 5.5057509788985204)	(-5.4477798373647879, -7.1548615193721821)	1.0	z	0.964982
8	M	A	N	B					A	4	2	shapes	N	Practice	False	143	(-3.6957755709935425, 1.9483643587044526)	(-2.0113978004243185, -8.2358967938976448)	(3.4078973247719961, -2.6238392002657793)	(4.7464110124891086, 2.1147778309648348)	1.0	slash	0.990714
1	N	A	M	N					N	4	0	shapes	N	0	True	143	(-0.5384491332205954, -6.4145457904341541)	(0.27749649347190442, 5.5593846288182434)	(4.58215604934942, -7.0732447878431941)	(-8.4598224985585624, 6.7554933072450627)	1.0	z	1.23242
2	N	B	M	B					A	4	3	shapes	B	0	False	143	(-3.870253897201037, -5.0240536563211791)	(-5.4963519490002959, 0.69840798009135341)	(7.531936367915943, -5.8580028200731924)	(4.7583318449442764, 6.9067572507053363)	1.0	z	1.09794
3	N	A	B	N	M	A	M	B	N	8	4	shapes	M	0	False	143	(5.6345497128298572, -8.6940499260757953)	(-3.1696252375456764, 3.9440893735032638)	(7.9664290983363664, -4.8472301545466339)	(-7.3629541654143313, 4.7816676004966947)	1.0	slash	0.889164
4	N	A	N	M					A	4	1	shapes	A	0	True	143	(-7.1671397503005005, 5.4370120731130633)	(0.84067677815912134, -5.0660611916860905)	(2.2008560261137635, 2.9389908492771237)	(-6.2259208046888936, -4.5420423108957637)	1.0	z	1.0412
5	M	B	A	N	N	B	A	M	N	8	4	shapes	N	0	True	143	(5.2147686038304393, -8.3123848945556595)	(-0.85582833622258647, 2.2980223794994856)	(-1.3560027997529227, 7.1731789309557286)	(5.2560764991946396, 8.2784115306758821)	1.0	z	0.924208
6	N	A	A	B					A	4	0	shapes	N	0	False	143	(8.1361070670740645, -8.0014477875595436)	(-8.6010306685992912, -2.7010183622934516)	(-5.6666140248260364, 2.1860070268691505)	(1.1573239326683336, 7.4017059931309142)	1.0	slash	0.828415
7	N	A	N	M					N	4	1	shapes	A	0	False	143	(4.6938227362628346, 4.4739553534054082)	(-8.0674711210426189, 8.4469246294731875)	(2.6163946372551621, -6.9765764187628836)	(-2.8439741006451484, -6.8717359396378441)	1.0	slash	1.19155
8	M	A	A	M					N	4	1	shapes	A	0	False	143	(-7.1923904151496245, -6.4745989633387087)	(1.2156123332304265, -5.3559961693200862)	(7.4704860172709004, 2.9745175404285984)	(-2.8874065486269291, 3.2942447144294675)	1.0	slash	0.931679
9	M	A	N	B	A	N	B	M	A	8	6	shapes	B	0	False	143	(8.6603707343877616, 1.9293389382662056)	(7.7283048183401633, -4.8121140637189148)	(0.83607316494068584, 6.6815033546013076)	(2.156584211762997, -1.8388553035505906)	1.0	z	1.08688
10	N	A	A	M	N	M	B	B	M	8	3	shapes	M	0	True	143	(6.2057132610008825, 4.0801517293019227)	(0.55129879584364971, 8.2329891976987213)	(-5.9439852424321415, -0.56868891411453149)	(0.3435926683508157, -2.9539042035468812)	1.0	slash	1.22435
11	M	B	B	N					M	4	0	shapes	M	0	True	143	(-5.5417734144598754, 7.8710888605270313)	(8.440249885641979, 6.7353328608094998)	(-2.2295262070456774, -1.9302365240844024)	(6.4521548348156497, -5.048672933860602)	1.0	z	0.93455
12	N	A	N	M	M	B	A	B	A	8	6	shapes	A	0	True	143	(-3.4912655477608805, 1.0638717127721602)	(1.7336663978542859, 4.3646191618407197)	(-6.9596904174776988, 3.4982466879535234)	(6.7979140721098918, 5.4015261838509119)	1.0	slash	1.19782
13	M	B	B	M					M	4	3	shapes	M	0	True	143	(4.5036544099688616, -4.6881426326398481)	(-1.679427705767421, 4.568257518005522)	(-2.8651977414565346, -3.2096567840742187)	(7.0049806625109543, 8.4753911589933786)	1.0	z	0.919925
14	N	B	M	B					B	4	1	shapes	B	0	True	143	(-7.314689915006654, -4.4967335024374968)	(-0.82012233757488318, 6.0491162612184848)	(7.0542516258663213, 6.854802695264075)	(6.0161470740218927, -0.6744871689078451)	1.0	z	0.769692
15	M	B	M	N					N	4	3	shapes	N	0	True	143	(8.1072507767854525, 2.12187032233183)	(-1.3893916173981333, 1.3198537556312946)	(-6.0364342815358594, -3.2804443994567105)	(1.9536233975585873, -4.367902711023028)	1.0	z	0.78489
16	M	A	A	N					N	4	3	shapes	N	0	True	143	(-7.2592825890940711, 7.2225082149020068)	(-1.8588294001055932, -3.7157652766820792)	(3.5933234918423373, 2.2907267748329598)	(3.9603753080179622, -2.5694092610485848)	1.0	z	0.670248
17	N	A	B	M	N	M	A	B	B	8	2	shapes	B	0	True	143	(-8.1024184722190711, -6.3044626150870524)	(0.061027000659455766, 2.3101106053608884)	(1.0619470598220353, -3.1526761995521548)	(7.5989313346724501, -6.1630012909699001)	1.0	z	1.12413
18	M	A	B	N	A	N	B	M	A	8	1	shapes	A	0	True	143	(-7.295575074268287, 2.8315511406297613)	(-2.8743555162636998, 0.65908990168317061)	(-0.024563859270664068, -5.2048502483871273)	(8.45252205791639, 6.8068384647966802)	1.0	z	0.965487
19	N	B	N	M	B	M	A	A	A	8	5	shapes	M	0	False	143	(-8.3963919708472243, 0.17629050280702074)	(5.5102670218800274, -6.2083867003784441)	(-1.6173692654673539, 6.2199599671213335)	(-5.771229329157622, -8.7140836104773687)	1.0	slash	0.543569
20	N	B	M	N					B	4	1	shapes	B	0	True	143	(2.3387615550748393, 0.30036166725099278)	(8.3170354178713986, -5.706107507573333)	(-6.7367719155074086, -4.5040328793626783)	(-1.5238383717192931, 8.2636155458515255)	1.0	slash	1.14149
21	N	A	A	M					B	4	0	shapes	N	0	False	143	(7.5744341233790777, -3.1445227952647103)	(-6.0171936098141661, 0.015858622844891812)	(4.4177573890902124, 3.1637177935307736)	(-0.69147234429605575, -0.45368014850090255)	1.0	slash	1.05119
22	M	A	N	M	B	N	B	A	B	8	4	shapes	B	0	True	143	(4.2157404597601555, -0.89708548228103879)	(3.5613812152709752, 5.9673528532530806)	(-5.102660874723826, 4.3138392168950208)	(-1.8033252819419481, -7.1652598490755608)	1.0	slash	0.972225
23	M	B	M	B	N	A	A	N	N	8	7	shapes	N	0	True	143	(-1.1635323447134462, -7.8064962687568515)	(0.99702046336672367, -2.0952536339463457)	(-3.4156705554315998, 3.5669804316184361)	(3.9119846001168312, 1.6153525973715812)	1.0	z	0.910026
24	N	B	A	B	N	M	M	A	B	8	6	shapes	M	0	False	143	(3.2813713932361299, -5.5605482731445655)	(4.494278503060448, -1.2104092529444417)	(-8.2963526599275514, -2.2505592376625421)	(6.0692357889130086, 3.2777727524914244)	1.0	slash	1.2676
25	N	A	A	N	M	B	B	M	B	8	4	shapes	M	0	False	143	(7.8767519447893584, -2.6096368243913268)	(-8.1081087676554997, -3.2620170504558494)	(6.3485791703451113, 6.4407415322642638)	(-4.4615572779417283, -0.30400317367493379)	1.0	slash	0.9533
26	N	A	A	M					A	4	3	shapes	M	0	False	143	(7.6239598414007048, -1.2853962019338763)	(-2.6489944652253463, -5.0286532759860085)	(4.4672126624769124, 3.6639103346486088)	(-3.2982517289728364, 8.5986726290260833)	1.0	slash	0.891252
27	N	A	N	M	A	B	M	B	A	8	0	shapes	N	0	False	143	(5.1375636055370002, 6.2248307373478795)	(0.31894155478130948, 7.8855028474171398)	(-6.720339935745125, -6.2492306864452045)	(-3.5051992744973388, 3.0760485976666985)	1.0	slash	0.878261
28	N	A	M	M					M	4	0	shapes	N	0	False	143	(3.9838249163515442, -6.2756288729357976)	(-3.9712006344594206, 0.75083255174510199)	(-7.1598285462625135, -7.919858831343471)	(7.9714172007790829, 5.6349135529627787)	1.0	slash	0.974411
29	N	A	A	M					B	4	1	shapes	A	0	False	143	(-8.7194932509889149, 6.751643646743485)	(6.8889667118459172, -3.9862908370412438)	(6.0458862329633938, 2.5409807482199973)	(-2.293450134850155, -4.2975848131102623)	1.0	z	1.02226
30	M	B	A	N	A	M	B	N	N	8	0	shapes	M	0	False	143	(1.0025479747645054, 1.0706021043199367)	(2.1014780319017916, -8.5526834493480468)	(2.6041135466462038, -4.2505139485577299)	(1.4059194328346702, 7.8214764191557471)	1.0	slash	1.37926
31	M	B	M	N	N	B	A	A	M	8	4	shapes	N	0	False	143	(-0.25899115626437919, 6.0238877908184172)	(-7.0424213575393635, 6.2269370223236411)	(7.5946187257832953, -0.94525032415888255)	(-5.3789371240391359, -1.4424353378920287)	1.0	z	0.882967
32	N	A	B	M	A	N	B	M	M	8	7	shapes	M	0	True	143	(-8.3527981259049522, -2.7601298285970248)	(-2.1239726552119578, -8.3108357185680095)	(8.2735693915948048, -1.1293159127233059)	(-5.5158102397056146, 5.4036559579329975)	1.0	slash	1.13477
1	N	B	B	M	A	M	N	A	A	8	7	shapes	A	1	True	143	(-0.61667412474177752, 4.160381614155332)	(-6.3527435706547966, -2.1441095055850594)	(-6.114886280275261, 4.7018843170367255)	(-3.7415421446259218, -6.8524253669321089)	1.0	z	0.800236
2	N	A	N	M	B	A	M	B	B	8	0	shapes	N	1	False	143	(-2.1745036693517541, 7.9393257258254692)	(-8.3582988890680987, -1.525352137879195)	(8.2435071724584539, 2.9419154352905039)	(6.6432018093929326, -2.0169400632751131)	1.0	slash	1.04375
3	N	B	M	M					M	4	3	shapes	M	1	True	143	(-3.1954855216221638, -7.3884802342443052)	(4.3935909376593738, -8.3227941772599809)	(-2.9740878546239671, 0.69832800309923115)	(7.8862355796184502, 1.4890665795250975)	1.0	z	0.854028
4	M	A	B	N	M	N	B	A	N	8	6	shapes	B	1	False	143	(4.9737466140866218, -3.0033011129063292)	(4.6294860839797281, 2.6343423850727348)	(-3.9912882325347638, 8.133053065082624)	(2.294461658496779, -6.9880412346489651)	1.0	slash	1.05525
5	M	B	A	M					N	4	1	shapes	B	1	False	143	(3.8923421144261461, -5.8311555565239894)	(-6.3859479100157381, -2.0535899408938736)	(-0.69413893826864381, 6.3892319990152604)	(5.7897663937546557, 0.40951014941300556)	1.0	slash	0.965328
6	N	B	M	M	A	N	A	B	M	8	4	shapes	A	1	False	143	(-0.97859296427716114, 6.0971890574762266)	(0.60005620354117184, -0.94717290302045942)	(-7.2167318045839863, -4.6628873042052259)	(-0.31416445224373923, -7.6005994250308646)	1.0	slash	0.782282
7	M	B	A	M					M	4	2	shapes	A	1	False	143	(6.5041774472851177, 7.041457866197435)	(-5.10596803514977, 8.2460822546382317)	(6.1532929453750178, -8.2948488591284359)	(-2.9465651889174191, -5.3746123005670441)	1.0	slash	0.756429
8	M	A	N	M	A	N	B	B	N	8	2	shapes	N	1	True	143	(-7.5656293353420967, 3.602548268614056)	(1.4703230985008435, -1.3666778248803171)	(6.3740751353538023, -4.3177162708103465)	(-3.3095862798791238, -3.9821063722257559)	1.0	z	0.911725
9	N	A	B	M	M	B	N	A	A	8	5	shapes	B	1	False	143	(-0.53874032418512918, -2.4171796149141747)	(-3.0825549867213171, 4.4744188817624675)	(-7.5904841142802821, -3.5128956847212134)	(1.6683129323988126, 1.7662687661811844)	1.0	z	0.707536
10	N	A	B	N					N	4	3	shapes	N	1	True	143	(8.2059512316285854, -2.2430603173638088)	(4.3261455739827603, 0.66522449266530792)	(-8.4720570587575654, -7.4303253710115564)	(-1.4661454836099619, 2.367121460457124)	1.0	z	0.927497
11	N	B	N	B	A	M	M	A	B	8	1	shapes	B	1	True	143	(-6.011216215978255, -1.0314372797552629)	(-1.2296645618048609, 6.2430518191910576)	(-7.6954831216759745, -5.5494842748497613)	(2.3574757530786918, 3.671121070670452)	1.0	slash	0.7285
12	N	B	B	M					M	4	2	shapes	B	1	False	143	(4.6399140927779392, -1.0731415507836788)	(-1.6068816923949649, 0.27190685941595838)	(-1.2087670283709437, -7.3352322004439214)	(8.2618052732226879, 3.2855663040419483)	1.0	slash	0.9362
13	N	A	M	B					M	4	2	shapes	M	1	True	143	(7.3793823843836108, 8.7303504891871242)	(-1.9006037585405595, -5.9825778686159019)	(8.2525167823597556, -6.6373518891681229)	(-6.0673815962704563, 2.0525249849873308)	1.0	z	1.10247
14	M	B	N	M	A	A	B	N	A	8	4	shapes	A	1	True	143	(7.648940928668079, 5.0882146395966501)	(-2.8314362455209103, -4.9950443833832567)	(-0.30403030531514119, 3.5775093104440483)	(-3.6627085554679981, 7.8562636591886097)	1.0	z	1.29951
15	N	B	M	A					B	4	1	shapes	B	1	True	143	(2.6593851787154481, 3.7261357930108865)	(-1.8991334951978036, -5.4339720973067882)	(-7.1537139903913021, 1.8788882209863544)	(3.0816196655717984, -3.3634675004079604)	1.0	z	0.873638
16	M	B	N	B	A	M	N	A	M	8	5	shapes	M	1	True	143	(-0.33426341851633978, -6.5683120358475175)	(-3.5891795901437131, -2.150100577823042)	(-5.5353736965365856, 6.7026857657048868)	(2.3093321493119632, 4.5857045275989243)	1.0	z	1.01277
