TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	A	A	N					N	4	3	shapes	N	Practice	True	55	(0.32421600307229248, 4.1779556199858963)	(-7.8361253664570452, -8.1589305048838749)	(4.0413782674081276, -8.21182957440063)	(-0.0080777321525840051, 8.4028230893549782)	1.0	z	2.73477
2	N	A	B	M	M	A	B	N	M	8	3	shapes	M	Practice	True	55	(-8.6371297563384086, -3.6456619278982272)	(3.5095422122744608, -4.894402307056315)	(8.3767005797676717, -3.6182673328263215)	(-1.7065134947074849, 1.7292324076712706)	1.0	z	3.40352
3	M	B	A	B	A	M	N	N	N	8	6	shapes	N	Practice	True	55	(-0.5975632239783728, -5.9354566817544061)	(-6.447380955459268, 6.9094035821267035)	(-4.9103691451965421, -7.0204096024970513)	(4.3085185569203865, -1.9243023232108296)	1.0	z	3.10904
4	N	A	B	N					M	4	0	shapes	N	Practice	False	55	(-4.1451095705969792, -7.5935381418311056)	(-5.4375634708733074, 6.9741076675015226)	(2.9748467229833278, 2.651230570043964)	(7.2620036820455276, -5.7959577611420636)	1.0	slash	3.31241
5	M	A	N	A					N	4	2	shapes	N	Practice	True	55	(-3.3030604177629934, 7.3069260295023426)	(0.50665625899368116, -5.4945736436068398)	(-7.8448615730070204, -7.0724688168051255)	(5.29458467165421, 7.5038966581258784)	1.0	z	2.31582
6	N	B	M	B	N	M	A	A	N	8	3	shapes	B	Practice	False	55	(-0.014836098858379998, 5.1637218878549653)	(-5.2259691913880877, 6.2621715327213021)	(0.97307572177582635, -3.9347707540438392)	(7.6053666125368622, -5.3406245009371478)	1.0	slash	2.46336
7	N	A	A	B	N	B	M	M	B	8	1	shapes	A	Practice	False	55	(7.2309255865770687, -5.9799654491854461)	(-5.5796900217063961, 7.5324484017336744)	(-7.7037446976059041, -0.76729057880720219)	(-6.894773670022964, -6.2467982357396359)	1.0	z	6.61217
8	M	B	N	N					N	4	1	shapes	B	Practice	False	55	(4.307602515876761, 5.1120894007101789)	(-3.6114663662683508, 1.692862781661173)	(4.5352849221778939, -0.1515970797669528)	(-8.5001680770022983, -6.2014707811312162)	1.0	slash	2.41215
1	M	A	M	B	N	N	A	B	N	8	4	shapes	N	0	True	55	(-3.9615738357363037, 1.6360292336162718)	(7.3518457610422878, -7.5359475608761048)	(-5.6102246894496517, -6.1969497101713333)	(1.5858045713702129, -0.45462119361454256)	1.0	z	2.0843
2	N	A	M	M	A	B	B	N	M	8	6	shapes	B	0	False	55	(-4.6827841529482859, -1.1624861031725526)	(5.8599761371443186, -1.3272580416957167)	(-7.1625072798146769, 2.2312516244637628)	(5.1360588408591479, -7.8337344477458331)	1.0	slash	1.5908
3	N	A	A	N	M	M	B	B	A	8	1	shapes	A	0	True	55	(1.1400378489731455, 2.6870462157289623)	(4.3789091267276099, -3.9925021698290548)	(-0.9480511916708716, -4.7411330895534505)	(-5.4572044653918601, -7.6412533060041659)	1.0	z	1.43622
4	M	A	A	M					M	4	3	shapes	M	0	True	55	(-6.7119516459807089, 7.4540637422279019)	(3.9111625903123155, 3.794290643969525)	(-0.80167316298254931, -0.23984732695629063)	(6.0419982173442204, -3.7296963084326737)	1.0	z	1.9439
5	N	B	M	M	B	A	N	A	M	8	2	shapes	M	0	True	55	(-1.5461643124791058, 6.8669051682662676)	(5.6919490453638044, -8.4182296443735645)	(-6.8682524116043409, 4.1876730549402641)	(6.8945323998058949, 6.5297982170920843)	1.0	z	1.22962
6	N	A	N	M					N	4	1	shapes	A	0	False	55	(-3.2058836715599872, -0.16329286410496735)	(4.8214643524046235, 7.4052720717151992)	(-4.4181908690388836, 7.9122031071328927)	(2.6933415554215667, -8.1444730236469649)	1.0	slash	1.70502
7	N	A	N	M	A	B	B	M	B	8	6	shapes	B	0	True	55	(4.7250014171889543, -8.5095915243962885)	(0.37450504582423072, 0.93604780830942147)	(-6.9727788652695022, -7.1890767573705947)	(-8.6828094171299668, 7.7098959381856211)	1.0	z	0.878624
8	M	A	N	A	B	B	N	M	M	8	5	shapes	B	0	False	55	(-7.815018984170317, -5.7113665621475969)	(-3.706937739966909, -6.7112540183634151)	(5.6057869216045972, -1.0664099152526525)	(0.090240175301374848, 2.9345808360628016)	1.0	z	1.73016
9	N	A	N	B					A	4	2	shapes	N	0	False	55	(-7.1225076292811211, 4.1972420265594064)	(5.8565947904878009, 3.8177344244446818)	(-4.2246047519705687, -6.3889816434905669)	(5.9248941877692509, -2.5639134512057407)	1.0	z	0.927974
10	M	A	N	M					B	4	2	shapes	N	0	False	55	(4.4808705639178577, 3.969637507203144)	(-1.159266167817516, -5.4183077010806873)	(4.6845271461437328, -1.0851793144077764)	(-2.1179658190101218, 4.7773758606170507)	1.0	slash	1.20549
11	M	B	B	N	N	A	A	M	N	8	1	shapes	B	0	False	55	(-5.3571667493877184, 5.5028840183985253)	(0.60841624437049902, 6.9505749837814044)	(-5.8959164258585659, -2.3221000330844683)	(4.6462561168531664, 7.4598539715860852)	1.0	slash	1.75917
12	N	A	N	M					A	4	1	shapes	A	0	True	55	(-8.5115700043747697, -2.362680748174002)	(-2.2769179422583079, 0.98156476719243635)	(3.0031813055608634, 8.7352618107949205)	(1.5617458555204493, -0.92691469914386904)	1.0	slash	1.02273
13	N	B	N	A	M	A	B	M	A	8	2	shapes	N	0	False	55	(-4.0660489148329981, 0.68239155702531384)	(0.55504824816892295, 2.6297602545798213)	(5.1977952002684376, -3.6325219063405676)	(5.1896750845666624, -8.5246028681116179)	1.0	z	0.788328
14	N	B	A	B	M	N	A	M	B	8	1	shapes	B	0	True	55	(-0.016893014691451214, 2.2166861669482181)	(-6.3167025785117747, 6.0783724870488332)	(-1.7201590182721587, -2.6631193276722742)	(6.8294668613500846, 2.3781149713959344)	1.0	slash	0.898003
15	M	B	N	B					M	4	0	shapes	M	0	True	55	(2.2128986171711151, -3.4641326673005031)	(7.3128800683608652, 7.6924595560224134)	(-8.0623707473603954, 3.7899651673136905)	(-8.1349076839412167, -4.8990410092093253)	1.0	z	0.727644
16	M	A	B	M					M	4	1	shapes	A	0	False	55	(3.7225332270204365, -2.290017188901837)	(5.3957468246959479, 5.0968032738331033)	(-0.18716063301992669, 7.6368990078985952)	(-3.1433516158562957, -4.4108488599065332)	1.0	slash	0.773134
17	M	B	M	N					M	4	2	shapes	M	0	True	55	(-7.6784066147570202, -3.5316691351936971)	(-0.57317165710890983, 7.768161600781383)	(0.21557715466988547, -5.1619238747732101)	(8.1993754204408553, 0.86957138977860637)	1.0	z	0.517062
18	M	A	M	A	B	B	N	N	M	8	0	shapes	M	0	True	55	(-1.0824677342095317, -3.0019424351637154)	(-6.2992934580972912, -2.6926909481192833)	(-7.7445776493665299, 6.6015436064848281)	(2.822492363210479, -7.1818338611523007)	1.0	slash	0.984303
19	M	A	N	B	B	A	N	M	N	8	0	shapes	M	0	False	55	(-8.1163878131210865, 5.7015391455279136)	(4.7496632831354528, 2.4908609858530681)	(2.041608794078515, -4.1595134354821823)	(-3.0440395949217054, -7.1406421079033731)	1.0	slash	0.870415
20	N	A	B	N					N	4	3	shapes	N	0	True	55	(5.0283205767988548, -3.8293197139149813)	(-5.994842158268944, -7.2602728728176356)	(7.403160921632022, 8.6021896133799203)	(-5.9381139676804668, 6.7492997337943414)	1.0	slash	1.22583
21	M	A	B	N					B	4	0	shapes	M	0	False	55	(-5.1424347795273064, 8.1901116381487498)	(3.5288155395881518, -7.750363978641821)	(6.9098771833230099, 0.30554949486692884)	(-6.9081914706913121, -8.1329097872971126)	1.0	slash	0.71762
22	N	A	B	B	M	A	M	N	N	8	4	shapes	M	0	False	55	(2.4176135572787079, -1.6619024501949937)	(-6.9389031476022236, -2.4269934437635108)	(7.2609476346554302, -4.5655949583861117)	(-2.9182658743000269, -7.853142974518347)	1.0	slash	0.89723
23	N	A	A	M					A	4	2	shapes	A	0	True	55	(-2.6989733616189984, 3.379225190642396)	(4.2430335509463681, -6.3306421616007693)	(2.5240736120797003, 3.7012764414751)	(-0.058778698560356446, -7.9620416234806619)	1.0	slash	1.06487
24	M	B	N	A	N	M	A	B	A	8	0	shapes	M	0	False	55	(-5.6194144223640174, -4.250751029933566)	(6.3909818712815163, 5.2159517166891938)	(4.1323533560606798, 1.2605409722842928)	(-4.7652006585187685, 0.79273116614239569)	1.0	slash	0.992075
25	M	A	B	B					A	4	1	shapes	A	0	True	55	(6.437096556289756, 2.4655639887107448)	(2.1178046080037944, -3.1663817386217126)	(-6.0068597112743332, -3.9593654307234978)	(-1.5735354950043208, 3.364391702765209)	1.0	z	0.868168
26	M	A	B	B					N	4	2	shapes	B	0	False	55	(-3.3057328421784273, 7.678769728429927)	(4.7194415396772182, 3.6513658265502222)	(3.4975744615004789, -5.9492654105886356)	(-1.2227475274208182, -4.8424305877300764)	1.0	z	0.992011
