TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	B	M	N	M	A	A	N	8	4	shapes	N	Practice	True	77	(6.5996110375121084, 0.82012108263056582)	(4.3041887562424481, -4.5760181787438095)	(-3.3699285501423688, 5.7995236966856787)	(-6.2854154763742907, -1.161653217493928)	1.0	slash	2.97299
2	M	A	A	N					B	4	1	shapes	A	Practice	False	77	(2.1681321117736285, 7.5981297412985711)	(-3.5124845302195702, 7.4900930068214819)	(2.1340471309840812, -5.1601444643990266)	(-2.7829147338796254, -6.866118435063929)	1.0	z	3.2043
3	N	B	B	M					A	4	3	shapes	M	Practice	False	77	(-1.0490986399378111, -3.2772653050152716)	(5.1744694013253127, -1.4365452565081718)	(2.2266565574830359, 2.8802291109237164)	(-4.833279468087329, 5.7448120391530164)	1.0	slash	3.5019
4	N	A	M	B					N	4	0	shapes	N	Practice	True	77	(3.3400074140070597, -0.71807518433870499)	(-0.62638418562328546, -7.8452500620905097)	(2.2357607784880429, 7.902082830897978)	(-5.2779525712838637, 2.7061989911804858)	1.0	slash	2.61946
5	N	A	A	B	M	M	N	B	A	8	5	shapes	M	Practice	False	77	(-1.6615698152638823, 2.8222029922879255)	(-8.3272410036498847, -2.9170644103071046)	(5.9899382707550632, -0.53798837244004005)	(-3.2062798467836897, -3.5931332833352112)	1.0	slash	2.53278
6	M	A	B	M	B	A	N	N	B	8	7	shapes	N	Practice	False	77	(7.6501917273363809, -3.5839148079848613)	(-2.196492036381561, 6.0021355429131411)	(3.3901252529069801, 5.4651189740003794)	(2.9357539894062015, -7.9838837194663821)	1.0	z	1.68041
7	N	A	B	N					B	4	2	shapes	B	Practice	True	77	(-5.1499572941014362, 7.2303733382599322)	(-5.084885599951698, -5.2152327537919572)	(6.9668142421711572, -1.4469006836717551)	(5.9211362353475163, 5.261930661610565)	1.0	z	1.99395
8	N	A	N	A	M	M	B	B	B	8	6	shapes	B	Practice	True	77	(-6.8739078399671332, 5.6482462746618758)	(-7.545401215180803, -7.4691564377872099)	(6.7817928001656469, 3.6696251994495324)	(7.3347431652334016, -2.8891133652867236)	1.0	slash	2.1597
1	N	A	N	A	M	B	M	B	M	8	4	shapes	M	0	True	77	(0.3803967245949611, -2.0793706345649987)	(-5.9516882588902096, -1.6690256515801041)	(-3.8716992974784858, 3.2313460401807408)	(7.7827352223509365, 7.4895415542807591)	1.0	z	1.10868
2	N	B	M	B	A	N	M	A	M	8	2	shapes	M	0	True	77	(-6.07504875841631, 2.2252033359931627)	(-1.5653320681317187, 6.6966417923534678)	(1.6052747971552161, 4.207735631064196)	(6.0088016437093188, 6.9991092406726771)	1.0	z	1.02835
3	M	A	M	A					N	4	2	shapes	M	0	False	77	(-3.6034663985257644, -6.3460912660613822)	(1.4484554199714914, -5.4386278022214221)	(5.9722786419853424, 3.2415369834017849)	(-5.9296815704702324, 1.5855882783115476)	1.0	slash	0.992027
4	M	B	N	M					N	4	2	shapes	N	0	True	77	(5.9112687037071243, -5.0216572199426039)	(7.0258483706333479, 3.7091773571656557)	(-6.7331984950699244, 6.3708758397730207)	(-5.8287810876460169, -0.65232703147713167)	1.0	z	0.779813
5	M	B	B	A					N	4	0	shapes	M	0	False	77	(-7.4321529892984435, -4.4633074036280531)	(8.3803465365318139, -6.9759120168093913)	(-4.8579009921516221, 0.42804105734987274)	(3.5168886069502392, 1.9373119325855566)	1.0	z	0.889413
