TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	B	N	A	N	A	M	M	8	2	shapes	B	Practice	False	134	(7.9694132084883904, -1.0878568032663569)	(-8.0281086210426764, -3.9373783283867727)	(-6.372050998960006, 1.0217484153173295)	(-6.4612382925412017, 8.6016254145865361)	1.0	slash	3.45412
2	N	A	B	M					A	4	1	shapes	A	Practice	True	134	(-3.6885438834423754, 4.3766765059421076)	(-2.1533011257476895, -3.8153288307021151)	(2.8756657008476623, 0.30659110734202777)	(8.3771718901129191, -4.8474433441381244)	1.0	z	5.62881
3	M	A	M	B	A	N	B	N	B	8	6	shapes	B	Practice	True	134	(0.85951567930447759, -3.6710251242527798)	(-7.5408603101702782, -4.6718742947266652)	(-5.9088975144431721, 5.4118614208821789)	(8.5932063769055063, 7.1494933935357583)	1.0	z	7.0509
4	M	A	M	A					B	4	3	shapes	A	Practice	False	134	(-2.6803652284682471, 6.1057748506602767)	(-2.259114464998623, -4.0289216785041679)	(5.5979352347916134, -5.3874377168522543)	(7.8257976506677451, 1.9615535036007099)	1.0	z	5.93558
5	N	A	B	M	M	B	A	N	B	8	4	shapes	M	Practice	False	134	(-2.3472369633567105, -0.88704308180578817)	(4.0242061469135901, 3.6491927256529042)	(-2.3646739832659582, -5.9879644195061301)	(4.0409537849675079, -0.66042304556941467)	1.0	slash	4.28672
6	N	B	M	B					A	4	2	shapes	M	Practice	False	134	(-7.7688615014927986, 0.80621089998837014)	(6.6977311735901441, -3.92715014816861)	(1.0892335783261906, 3.6326770476046555)	(-4.7347730023589731, -8.1254912164123816)	1.0	slash	1.52809
7	N	A	M	N					A	4	1	shapes	A	Practice	True	134	(-3.7621845688826596, -7.5507597262618882)	(-7.7387824291261458, 2.4929395341444422)	(0.91099399178720653, -7.3256051029052882)	(7.5157625210063941, 1.8994871588027653)	1.0	z	6.04008
8	N	B	N	M	A	A	B	M	B	8	6	shapes	B	Practice	True	134	(6.2574345392636506, 0.60914290914179325)	(-2.1625027238672807, -4.2827435737995794)	(-8.4909223896486186, 0.73489703654231775)	(2.6483218729452052, -1.8834104705886068)	1.0	z	6.20346
1	M	B	M	B					N	4	1	shapes	B	0	False	134	(1.4230343920924824, 4.0231220193555259)	(7.5687702314132252, -3.8709148497366268)	(-2.3384493136937348, 2.5360367377157065)	(-6.5785772737873174, -1.8509164514775103)	1.0	slash	2.04588
2	N	A	N	M					A	4	0	shapes	N	0	False	134	(4.708432361298625, 7.1245782701019049)	(-8.2717075145758958, 7.2628796281663703)	(-2.0321474106162212, -7.2378228590970606)	(7.6479433632492722, -7.3118115835038324)	1.0	slash	0.742993
3	N	A	A	N					A	4	2	shapes	A	0	True	134	(3.8242351957407834, -1.2989960750771532)	(-4.465381727596875, -1.2980987923921861)	(-1.9279909726027924, 7.2411680918969594)	(2.7942626289242227, 4.0741500871597136)	1.0	z	0.89078
4	M	A	N	M					B	4	1	shapes	A	0	False	134	(-1.6042270309731546, 4.7729774540869698)	(8.3964500314542896, -5.0710982606829145)	(4.7708647584185382, 7.3544381867563686)	(-7.465049230288809, -5.2040544702678559)	1.0	slash	2.11227
5	M	A	B	B					B	4	0	shapes	M	0	False	134	(-3.482717875886463, 4.718677686229988)	(7.76586222735164, -4.1086314658924152)	(-6.5354598420188026, -6.2322960595133985)	(3.5990827322963916, 4.6321936491852931)	1.0	slash	1.12445
6	M	B	B	M	N	N	A	A	N	8	4	shapes	N	0	True	134	(-6.5901480023553969, -5.4471083763295436)	(-3.4506462023400779, 7.1761567654618332)	(5.2934108764426888, -1.2183860682826566)	(-0.8004760326693896, -6.0747386642871728)	1.0	z	1.59212
7	N	B	N	B	A	M	M	A	M	8	6	shapes	M	0	True	134	(-6.2443994019231273, 0.8948837908224565)	(-1.6217230810324414, 0.74691311987244902)	(-0.42877428717707744, -6.5864280019197885)	(3.8148727217776894, -5.5693632044794761)	1.0	z	2.98152
8	N	A	A	B	B	M	M	N	A	8	1	shapes	A	0	True	134	(5.9065602335269141, 5.1126194679406716)	(-1.4427531095779855, 8.1568152405178047)	(-0.33966694908967909, 3.0829716463670067)	(3.1712103309834472, -4.8445395484958498)	1.0	z	1.48459
9	M	B	B	N	A	A	N	M	N	8	4	shapes	A	0	False	134	(7.7369859815424, -0.87334592328352834)	(-2.1516899532744898, 3.7058536171268681)	(6.5181486556664137, 7.4705164362600662)	(-2.1762291402162752, -1.5073436981664745)	1.0	slash	1.27221
10	M	B	M	A					N	4	0	shapes	M	0	False	134	(5.9397058079888509, -7.6737975957882565)	(0.94619374544882184, 6.1743091756029091)	(-3.6420239935629333, -7.0197302120339362)	(-3.6639328850289052, 1.2379773567994423)	1.0	z	2.44184
11	M	B	M	A	B	N	A	N	B	8	1	shapes	B	0	True	134	(-7.8237720584723789, 2.1129841893398247)	(7.0907161752049941, 0.41263105133296918)	(1.778257606316453, -0.096092160932549575)	(4.8550166775025385, -5.5388591758326378)	1.0	z	3.33179
12	M	A	M	N	B	N	B	A	M	8	0	shapes	M	0	True	134	(0.33294016813393768, 5.993413941399254)	(-8.546975323857346, -1.5830549857189098)	(7.7856587489044387, -2.3524444188320981)	(-0.093463588207441717, -6.8278384658653435)	1.0	slash	1.27936
