TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	M	A					M	4	3	shapes	A	Practice	False	141	(-7.9609923841840375, 6.2026792015922982)	(-1.3214738223643216, -2.5374691155936429)	(3.2693864491015372, -1.8623121018723481)	(6.9592984412408949, 7.0789513037901042)	1.0	slash	1.33976
2	M	A	N	B	N	A	B	M	N	8	5	shapes	A	Practice	False	141	(5.8537326318736351, 0.65703311210005921)	(0.074406641923703276, 4.7038898567221672)	(-6.8040778597199427, 1.0639828112749594)	(2.274846149007919, -8.2300322335338425)	1.0	slash	1.39494
3	N	A	M	M	B	B	A	N	N	8	0	shapes	N	Practice	True	141	(8.4840196449748824, -6.3224317505758219)	(-6.62199674409145, -3.8471946757241566)	(7.750396805704483, 6.7312952517296072)	(-8.3733732459519636, 2.7203798158209249)	1.0	z	1.01445
4	N	B	M	N					N	4	3	shapes	N	Practice	True	141	(0.20788835450337118, 5.2104017557631082)	(-2.1934248253632962, 1.0907513879161801)	(-1.8593818490944862, -3.8113090379796386)	(2.6925360606796591, -0.6830443208474879)	1.0	z	1.02281
5	M	A	N	N	M	B	B	A	M	8	6	shapes	B	Practice	False	141	(-4.0971907988107246, 8.1156593760337152)	(6.804815454454225, -1.954036396685912)	(2.7612057985376595, -3.7894062979601193)	(1.2458804552031708, 0.51038030794435585)	1.0	slash	1.01942
6	N	B	A	M					N	4	1	shapes	B	Practice	False	141	(-2.5268426449173935, 8.4588451334450063)	(-7.171903696057905, -7.0111917582267322)	(2.3950450173494531, 0.95202011900946637)	(0.94482610896813668, -6.4855074215665143)	1.0	slash	1.42594
7	N	A	A	N	M	M	B	B	A	8	1	shapes	A	Practice	True	141	(6.3962155856498839, -4.9069275530435643)	(-2.8116049414101756, -4.3622263892250874)	(3.9892632367025609, 1.5729804242472998)	(-7.2155719913237899, 6.3882101716800896)	1.0	slash	1.05676
8	N	A	A	B					A	4	2	shapes	A	Practice	True	141	(-1.8133137554752095, 3.1445372941842553)	(-1.0277993625125745, -8.6062743671193864)	(0.93760245785464491, 7.7404959938173512)	(0.41650176318071175, -2.2750502060135123)	1.0	z	0.798749
1	M	B	B	A	A	M	N	N	M	8	5	shapes	M	0	True	141	(4.3903890776508323, 7.154678736825236)	(1.0611176274284357, -1.139284526165504)	(-3.0727407360306112, 7.065727727283539)	(5.9462688450410308, -4.2231271573565801)	1.0	slash	0.646444
2	M	A	A	B	M	N	B	N	M	8	0	shapes	M	0	True	141	(-7.289226375552432, 2.9921580055610306)	(1.327212586842661, 1.1885644218974178)	(5.4915179982367679, 5.7214956624270137)	(0.93991117780048761, -4.4594852385900152)	1.0	z	1.01082
