TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	A	A	N					A	4	2	shapes	A	Practice	True	91	(-2.0617153036540108, 7.8937170240675449)	(3.8142172450579466, -6.2942809472682812)	(5.9959139224976337, 2.4768657286883702)	(-4.6175348209888751, -1.6424383924188977)	1.0	slash	2.48248
2	N	B	A	M	M	B	N	A	B	8	1	shapes	B	Practice	True	91	(-2.9431845791373403, -8.4794816949085448)	(-4.3653593451922106, 6.6642966901363199)	(7.4455381388464659, 2.1746074348201105)	(1.7810165768351354, -7.2275343643830068)	1.0	z	1.46613
3	N	B	A	M					B	4	1	shapes	B	Practice	True	91	(8.034062723327196, 5.4397107623472998)	(0.94591533626089053, -0.84544239128355692)	(-5.4486266732730257, 6.3153223333302773)	(-7.7317583860668417, -7.4011213401723239)	1.0	slash	2.71953
4	M	A	M	B	N	A	N	B	A	8	2	shapes	M	Practice	False	91	(-0.39017158425605025, -8.1079282519365954)	(8.6728820612857618, 6.0919772361503401)	(-4.1561753897145595, 5.0248084308532643)	(2.5681696800042495, -2.5044979935162877)	1.0	slash	2.64506
5	M	A	M	B					N	4	3	shapes	B	Practice	False	91	(5.5573401868780934, 8.4601564356850254)	(5.7722112443670586, -4.1417213992050534)	(-1.4469500305290071, 3.4106346102903782)	(-1.317771108117789, -6.6534015112884655)	1.0	slash	1.67672
6	M	A	A	B					M	4	2	shapes	A	Practice	False	91	(8.315647374768826, -2.0824962635460489)	(3.6990126129907441, 2.8131069954086154)	(-8.2685646126632406, 4.3661114863340647)	(-0.41666525794847153, -0.394043793480785)	1.0	slash	1.53615
7	M	A	B	B	N	N	A	M	N	8	2	shapes	B	Practice	False	91	(-0.20190437314272813, -1.5481437665840225)	(6.315486632372858, -1.3597015511240711)	(-6.5600329169866125, -6.0504906525440791)	(2.4412362858890297, -7.3906023019770011)	1.0	z	2.65743
8	N	A	M	B	N	M	A	B	N	8	0	shapes	N	Practice	True	91	(-8.5276157650225795, 8.4246780412236255)	(3.2837457442720606, 7.4255409480584831)	(-4.937779932774335, -2.1593724926666482)	(-7.4250712246276844, 2.4104959289424173)	1.0	slash	1.59502
1	N	B	N	M	M	A	A	B	A	8	6	shapes	A	0	True	91	(5.5220624126595776, -0.84048804069922145)	(2.2527607912832277, 2.7221907825588119)	(1.5050891787800253, -8.7457641377297044)	(-5.2074691271542211, -3.8620560385209686)	1.0	slash	1.70759
2	M	A	A	N	M	N	B	B	M	8	5	shapes	N	0	False	91	(7.2357999354437172, 4.4785769482139628)	(-3.314779478375006, 3.7954359077709103)	(-7.1593796580462818, 2.3479947083093293)	(4.8590255870871726, -0.077632876090829583)	1.0	z	1.523
3	N	A	N	B	A	M	M	B	B	8	1	shapes	A	0	False	91	(7.9617908279637213, -0.51972121736175225)	(-6.674346382541577, 2.7575047549263392)	(-0.41221501783445724, -6.7318889306353853)	(1.6940966467316283, 1.5148847095040647)	1.0	z	1.74068
4	M	B	A	M					B	4	1	shapes	B	0	True	91	(-3.3304705119535498, 8.5317176129996639)	(0.99184278564856854, -2.323366106234972)	(-3.4905324215261473, -0.19318373628480678)	(3.405545716235082, 1.4118993581954129)	1.0	z	1.64991
