TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
5	M	B	N	N	N	4	1	shapes	B	3	False	4	(-2.5058671467974678, 7.4278967132082414)	(-8.4278426842711873, -3.7298601860363139)	(6.5142108957222007, 5.7275767316057706)	(2.8341100818244005, -7.1811714311939792)	1.0	z	0.988239
6	N	A	N	N	B	8	6	shapes	A	3	False	4	(6.0253941658203392, -5.4655703566372225)	(5.8695791712154257, 3.5950652651310584)	(-2.7978801133732256, 6.7248412419137207)	(-5.4238155491040425, -4.1660978205927961)	1.0	z	0.819988
7	M	A	B	A	B	8	1	shapes	A	3	False	4	(8.555410926760679, -6.6484934530635016)	(8.5406131848822966, -0.49696501234330093)	(-2.0092742141381015, -5.7477286365563689)	(-1.4070284868504128, 3.6476464304794156)	1.0	slash	2.32558
8	N	B	M	N	A	8	6	shapes	N	3	False	4	(4.043064781778094, -3.9253197105062059)	(-1.206705515387184, 2.5158314067915644)	(7.2459690508172621, 0.1683429601005475)	(-1.8008658908628421, -5.6142131148405401)	1.0	slash	1.10517
9	N	B	M	B	B	4	3	shapes	B	3	True	4	(-5.2808156466525631, -7.1783146817799404)	(-2.8345743286138658, 6.9922482644252018)	(8.161874037770076, 2.9539972374967256)	(1.0995368631457101, -2.0987439262799912)	1.0	z	0.982841
10	M	A	B	A	M	4	1	shapes	A	3	False	4	(-4.362079827248885, 8.119721520822889)	(3.4827621881414128, -1.1353151036569304)	(-2.1399885766369762, -1.4831104291204964)	(4.2141211502750284, 6.2002979783416148)	1.0	slash	1.36451
11	M	B	N	N	B	4	1	shapes	B	3	True	4	(-1.0115946800741566, -8.1967859646508003)	(6.4033674738445594, 8.5066267421371045)	(-5.2986175901536328, 4.1319683458585921)	(3.5678378964229385, -4.7356669574549777)	1.0	z	0.926106
12	N	B	B	B	N	4	2	shapes	B	3	False	4	(4.7154465486426247, -8.2752392377451187)	(1.1680354755808811, 4.5920178563068923)	(-1.3109883157414242, -8.1099043913075342)	(-6.8969467522301713, 5.2452099599788102)	1.0	slash	0.895759
13	M	B	B	B	M	4	0	shapes	M	3	True	4	(-4.7411277103552356, 4.2965112250237016)	(7.6931842881340629, -0.44082786850119682)	(0.12556705595525486, 4.5165998844093362)	(-3.4911831625211764, -0.74207928213517604)	1.0	z	1.06336
14	N	A	N	A	M	8	5	shapes	M	3	True	4	(8.5324323418886827, 8.5565517150469006)	(-2.6732845398910081, -3.0166783545696392)	(4.3932734029592027, -4.9181402252030466)	(7.8422126149307978, -7.7932011476989729)	1.0	z	1.27903
15	N	A	M	N	N	4	2	shapes	M	3	False	4	(-1.9876225574757962, 2.713925119075256)	(-3.3970277216525897, -1.1131943665081074)	(0.058007041572695428, 7.8411369376797246)	(7.7840853754436701, -6.6059429947672168)	1.0	slash	1.64869
16	M	B	A	A	M	4	0	shapes	M	3	True	4	(-7.5198846826415711, 1.8665413076028692)	(-3.5956602671990243, -7.584431533479564)	(7.3508827728149981, -6.8016265346889426)	(6.5064515473629285, 8.4012252857694527)	1.0	z	0.832296
17	N	B	M	B	M	8	2	shapes	M	3	True	4	(-0.37222234926398379, -3.8655206417893355)	(-0.73995467097737411, 1.8993878471875281)	(6.0019396632490274, -6.914833834465778)	(4.0662264470462333, -0.70981825291663725)	1.0	z	0.997823
18	N	A	N	M	A	4	2	shapes	N	3	False	4	(-4.8065924967398024, -1.2657062309792702)	(8.558029833772963, -6.742905058303184)	(-5.8933163110684381, 6.4994472639728027)	(1.1849678383453561, 1.1286319855653808)	1.0	slash	0.871472
19	N	A	B	B	M	4	2	shapes	B	3	False	4	(-7.678895506657784, 8.6310111805228118)	(-4.9249504530312196, -0.93978402216363843)	(3.9810901289009006, 6.2828716540392371)	(8.0222634629269471, -0.81875957075872563)	1.0	z	0.939135
20	M	B	B	B	B	4	2	shapes	B	3	True	4	(4.3299295678288399, -2.5808502792200398)	(-5.638566855500585, -7.2768787940465485)	(6.3055516587222051, 3.8043779070805641)	(-0.076650607195455578, 1.0588455622520758)	1.0	z	0.760907
21	M	B	A	N	A	4	2	shapes	A	3	True	4	(-0.36292657744089496, 2.286918595979067)	(1.6715743612361891, -1.9368613705995461)	(6.7292198376647043, 3.551990353083287)	(-6.3060356174717143, -4.2026195552377059)	1.0	z	0.754459
22	N	B	A	M	M	8	3	shapes	M	3	True	4	(0.38273361126991823, 0.049789309407946902)	(7.4284332554518322, -5.6225095827693572)	(-6.0155400584626477, -2.1177122680800053)	(-8.5507394841542528, 7.5996476978213288)	1.0	z	1.05577
23	M	B	N	N	M	4	0	shapes	M	3	True	4	(-0.30739369109807413, -4.7247804514646434)	(-8.6535671545871988, 5.080846225298556)	(3.527848659974401, -6.0417599990383071)	(8.357794481750414, 1.6006666042592101)	1.0	z	0.871846
24	M	A	A	A	N	8	3	shapes	A	3	False	4	(-3.9278238388787718, 8.7018219762383886)	(-4.8401351813862235, 3.8526227087724525)	(8.4956621917237243, 7.9306829306323117)	(4.891316759940981, 4.2674622764988523)	1.0	slash	0.933553
25	N	A	N	A	A	8	1	shapes	A	3	True	4	(-8.6531267840665436, -5.5124701521724111)	(8.408991110832126, 6.2457639761300889)	(3.8560983430995659, -1.7430471730487218)	(3.0873624379760791, 5.0521494752054181)	1.0	z	0.582997
26	M	B	B	A	M	8	2	shapes	B	3	False	4	(0.56772126327029326, 2.3368002207141032)	(-6.3440140365973097, 1.9970085166681777)	(-6.1528548774784717, 6.4171615012521137)	(5.4259219281068525, 6.343048077826916)	1.0	slash	1.16663
27	N	A	N	B	B	8	3	shapes	B	3	True	4	(6.2168153936184094, 7.2160596712860379)	(-6.4486058316882016, 0.48637664633111299)	(0.2324621740356374, -6.4372837516531352)	(6.5091566756949621, 0.097290575271159696)	1.0	z	0.786122
28	M	B	N	B	M	8	3	shapes	B	3	False	4	(5.5765470369721903, 5.8413444920646675)	(-0.29146842760348513, 3.523816508288208)	(0.33873898563731153, -1.9301769168198994)	(-6.4270750082197292, 7.460454954636127)	1.0	slash	0.842026
29	M	A	M	M	M	8	3	shapes	M	3	True	4	(1.8287305023571445, -3.9338382255491817)	(-6.3187683184074341, -2.1383999838719836)	(-3.0454396601201781, -5.1909010728394289)	(-5.49603830171014, 3.7694943933787251)	1.0	z	1.37361
30	N	B	M	M	N	8	1	shapes	B	3	False	4	(8.0708940490253411, -2.3389837036039971)	(1.2673267411923081, -7.9715691815343623)	(-7.3633583769061364, 1.9815081016519294)	(1.7499683324580779, 4.0587410943860061)	1.0	slash	1.08733
31	M	A	N	B	A	4	2	shapes	N	3	False	4	(-8.53855886014105, 1.9934261472293908)	(4.8042271426095571, -2.5735929332304668)	(8.6633133929849713, 3.1972158289451968)	(-6.9219919568645745, -5.3159936614942751)	1.0	slash	0.75897
32	N	B	N	B	N	4	3	shapes	B	3	False	4	(-2.4573813499326116, -3.491640058073596)	(2.7428126803883313, -0.92891897048410055)	(3.4069984960601261, 3.9795415954340729)	(-1.7840540946205232, 0.79675421471313257)	1.0	z	1.20864
1	P	D	C	D	P	4	3	shapes	D	4	False	4	(3.7376333779567634, -6.8162530133636245)	(6.0022391829632795, 4.4949281426404806)	(-6.0526156510406466, -7.9143257465967514)	(-3.0255070364144023, 7.0698304864145847)	1.0	slash	0.90006
2	P	D	P	D	O	8	5	shapes	O	4	True	4	(1.1440502288896823, 4.6706083386741373)	(-6.6229558639475954, 2.1762570008871371)	(2.7609670852239194, -4.5649785936071199)	(-8.408457754083182, -1.9257861927855702)	1.0	z	0.677855
3	O	D	P	D	P	8	6	shapes	O	4	False	4	(2.5591826348167839, -7.9469117165351708)	(-8.0697628551557781, 0.86403379515323664)	(-2.8229197944774373, 6.38680212215381)	(-1.1057826923616281, -1.3991423517646382)	1.0	slash	1.56348
4	O	D	P	D	O	4	0	shapes	O	4	True	4	(6.2972908064918904, 1.9261303882671168)	(0.7285402569379329, -2.6882678087781615)	(-3.8732301042937047, -6.3936464284494079)	(-5.3062715399860512, 7.9380347156679179)	1.0	slash	1.34913
5	O	C	C	O	O	4	3	shapes	O	4	True	4	(3.483501349023177, -4.9474380296578273)	(-4.4472073704218769, 7.4402393789469947)	(-5.5140098879335113, -3.9232091040287802)	(1.3794424853007374, 6.3218669876584048)	1.0	z	0.784603
6	O	C	C	P	D	8	4	shapes	D	4	True	4	(3.5517524199061619, 8.104118992671026)	(7.2501821830666096, -8.6285663600054381)	(4.1442739898804213, -1.394366495470198)	(-7.4583030209533749, -7.9096262534883248)	1.0	z	1.22442
7	P	C	C	P	P	4	0	shapes	P	4	True	4	(1.0765038738824977, -3.3240262274615269)	(5.2897840493030319, 8.3453401660458439)	(-5.8055208113730021, 4.0713281393458143)	(-7.6619912866678952, -6.5229332420452426)	1.0	z	1.06187
8	P	D	O	P	D	4	2	shapes	O	4	False	4	(4.0617247148793254, 8.3388308696824822)	(5.7769401031777363, -8.145564031189279)	(-0.18429327998548395, 5.7654815084581568)	(-5.8777010461455417, -0.58580670358134235)	1.0	slash	0.883546
9	P	C	C	D	C	4	1	shapes	C	4	True	4	(-8.5788974410732486, 5.7889301469241534)	(0.10349400038732703, -6.0872145460937128)	(5.9678166393195546, 3.1591799365689432)	(-4.0010135269407909, -7.7312995707996297)	1.0	z	0.901286
10	P	C	D	C	C	8	5	shapes	O	4	False	4	(-7.9271847525839494, -7.3564494036603589)	(6.7493983203043975, 8.2473651734927991)	(-2.5669673502085404, -5.0011612678021251)	(3.7126206901294712, 3.2372621009867562)	1.0	slash	1.39694
