TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	B	M	M					M	4	3	shapes	M	Practice	True	130	(4.7196078293167023, -2.4605252191174474)	(-1.2772556256111596, 8.618958731906794)	(3.9239953116289925, 6.9301433484252239)	(-6.9613417438018912, -0.6184245102411019)	1.0	z	2.03283
2	N	B	N	A					B	4	2	shapes	N	Practice	False	130	(-1.3752356618165607, -0.63339635650321213)	(3.7064738283140599, -8.0683595573734959)	(-1.3188266204696228, 8.4082830511059825)	(7.9028434193392663, 5.4851179768383034)	1.0	slash	1.54504
3	M	A	M	B	A	B	N	N	A	8	7	shapes	N	Practice	False	130	(-6.6287890144568591, -5.8087698312406131)	(5.0720773380009287, -2.8925315815082859)	(-0.13265975238251571, -2.4844916023748507)	(7.9375840424860016, 4.0290405504515299)	1.0	slash	1.17802
4	N	A	M	M					A	4	2	shapes	M	Practice	False	130	(2.0991749628631897, 2.9444582380687638)	(-2.7125000720601751, -6.8586293359715302)	(7.2537674033959156, -8.5007403801818757)	(-3.4804755324655101, 0.12585541145708667)	1.0	slash	1.85162
5	N	A	A	B					A	4	2	shapes	A	Practice	True	130	(-0.1309019502683757, 7.9961220764535668)	(2.3957924426026871, -8.1564289879210357)	(7.7552250940487077, 0.3300151695152902)	(-0.86875232416258985, -1.4475613202865407)	1.0	z	0.8153
6	N	A	A	B	M	B	M	N	N	8	7	shapes	N	Practice	True	130	(2.7450225157575385, -2.5939778395180477)	(-5.9493629061686093, 0.39022850288831101)	(5.6516168071894057, 0.63347509763920407)	(-8.1893969948275771, -7.0646810986835717)	1.0	slash	1.83899
7	M	B	A	A	N	N	M	B	N	8	1	shapes	B	Practice	False	130	(2.4039510299561773, -6.8975875929420667)	(3.3904214772650274, 1.2420917519720618)	(-0.58390357039253793, -2.7567052222964774)	(-4.7653619778103229, -5.0749516492182574)	1.0	slash	1.14722
8	M	A	A	B	B	N	N	M	A	8	2	shapes	A	Practice	True	130	(-3.6101062160054065, -5.1078051197600196)	(1.1817332600907573, -6.8299759765979662)	(-1.0809719177767345, 6.0149065641989417)	(3.3373795397083974, 3.2204386138764374)	1.0	z	1.06224
1	N	B	B	N	A	A	M	M	B	8	2	shapes	B	0	True	130	(-6.3827544362222763, -0.54292946838573997)	(0.66090992656859626, -2.6572333618295687)	(-8.4506043922710425, 5.4346188217067848)	(7.4094027428934908, 2.7086087926361806)	1.0	slash	1.0698
2	M	A	N	N					B	4	2	shapes	N	0	False	130	(-2.5380014634261752, 7.7997922748463004)	(1.7854375005621588, 6.4650346783305306)	(-8.2309253921076575, -5.8140641320061928)	(8.6227424792921035, -4.2962185978879406)	1.0	slash	0.977319
3	M	B	N	M	A	N	B	A	B	8	5	shapes	N	0	False	130	(3.1156860111189122, 0.49545675457047267)	(-8.2198306090235214, -2.1011905180486341)	(-7.9802810440930703, 8.4701589492062119)	(-4.1207212126153259, -1.3933763719260375)	1.0	slash	0.98331
4	M	B	N	N					N	4	1	shapes	B	0	False	130	(1.697125770810473, 4.5470271733541665)	(0.045668108719967293, -2.076210272688515)	(-5.3281656087051665, 8.5820168110477262)	(-5.5801427835141855, -1.8516584720797145)	1.0	slash	0.928808
5	N	B	B	N					B	4	2	shapes	B	0	True	130	(5.6353281102781363, -1.3469854488998907)	(-2.0818667751355706, -6.8368028619486889)	(-6.3010424608289117, 6.1495956330974462)	(8.5178353005617886, 6.5770422243571538)	1.0	z	0.752374
6	M	B	M	N	B	N	A	A	A	8	4	shapes	B	0	False	130	(2.3684019609398277, 7.0772840592015527)	(3.1011655496130626, -8.5216715386478654)	(8.492218129607906, 5.193079728795146)	(-5.3059942060986529, 3.3574192716000795)	1.0	slash	1.12476
7	N	B	N	B					A	4	0	shapes	N	0	False	130	(8.6740495515527734, 8.7010369351899435)	(-4.8400599624363201, -1.7829558291849334)	(7.4564864145860454, -4.1797994429904453)	(-5.5608095762895537, 7.8492067651844941)	1.0	slash	0.795756
8	M	B	A	B					B	4	2	shapes	A	0	False	130	(6.3476001046937007, -0.11062931355617422)	(1.6691435805758879, 7.3020830101992367)	(-1.4410640712049592, 2.8838005667584259)	(-3.8897474734609672, -1.6064134375355748)	1.0	z	0.827505
9	N	B	A	A					N	4	0	shapes	N	0	True	130	(4.4746979663382351, 2.8086645462655291)	(-7.5661918535467674, -5.7762746172163784)	(3.804755166896868, -4.9891966049095977)	(-2.6917135478885053, 7.0020242383471842)	1.0	slash	1.13507
10	M	B	M	B					M	4	2	shapes	M	0	True	130	(3.0263503894525581, 3.7472290039292346)	(-3.0548311065293898, 7.4160060870512616)	(-1.1923540634229584, -1.0388364617496615)	(3.8330404011040571, -7.6092908623086561)	1.0	slash	0.766812
11	M	B	A	A	B	M	N	N	N	8	7	shapes	N	0	True	130	(4.0359799421316875, -1.0431962100603025)	(0.88716987365539346, -4.8417720429818569)	(-0.79568862690083186, 8.4822656179343632)	(-4.9650665608734723, -5.3870690317211825)	1.0	z	0.870459
12	M	B	A	N	B	N	M	A	A	8	7	shapes	A	0	True	130	(1.6524008870691791, -7.6058904170464245)	(-1.74397612392218, -2.6243175816911561)	(3.7656286955007641, -3.8480259813582682)	(-1.488559144158125, 4.0276914764683927)	1.0	z	0.442628
13	M	A	B	N	A	M	N	B	M	8	6	shapes	N	0	False	130	(2.2879889157773299, 8.6728443856031241)	(-4.3238136705944719, -3.8163933964981993)	(3.7612510829753933, -8.2565355355238026)	(-8.4887548717687178, 5.5859344719447055)	1.0	slash	0.683712
14	M	A	N	N	B	A	M	B	A	8	1	shapes	A	0	True	130	(-4.7841670237129001, -7.6198052481274567)	(-0.66047814087183632, 3.855277035647374)	(8.6704908975028765, 5.0967997401141538)	(1.6161154298930782, 0.22624504410675783)	1.0	z	0.709247
15	M	B	N	A					A	4	3	shapes	A	0	True	130	(-1.726616114014524, 6.9224701235071606)	(4.288155027090772, -0.047619521453762914)	(7.3707836045702066, 5.68317791770097)	(-2.8045855944099394, -4.5620573699827345)	1.0	z	0.68277
16	M	B	M	B					M	4	2	shapes	M	0	True	130	(-6.840499699891752, 0.42447736892942523)	(0.82370890143316622, -5.6202372940546352)	(0.53593706945015285, 4.892975752859515)	(-7.1961456467685858, -8.1806970221008513)	1.0	z	0.824558
17	N	A	A	N	B	B	M	M	A	8	2	shapes	A	0	True	130	(8.2147597994275898, -2.8056295319894931)	(-0.12146775484140626, 5.5689998787893309)	(4.9345571160453225, 6.462379880795428)	(-6.2566057592944642, -8.5408923966948542)	1.0	z	1.3804
18	M	B	N	N					N	4	2	shapes	N	0	True	130	(6.8253684174427587, -6.6976634056422863)	(-1.9567808815678855, -5.9409092296833661)	(-7.3166428836625297, 4.1110999242577098)	(4.2636573456278644, 5.6829215072620105)	1.0	slash	1.30649
19	N	A	B	B	N	M	A	M	A	8	7	shapes	M	0	False	130	(-1.548296967735153, -2.8939151543808785)	(-3.4275841483371421, 2.8303598174927469)	(3.0140648771865255, -6.1065489732240312)	(4.350051674504396, 4.5408548862234746)	1.0	slash	0.79762
20	M	A	N	N	M	A	B	B	M	8	4	shapes	M	0	True	130	(-6.9848486210742049, -0.16017812552889588)	(-7.5719251586592229, 5.0997392877562611)	(4.8223797820908434, -2.653511216255751)	(1.1092057572381329, -8.6464631051942256)	1.0	slash	0.953067
21	N	A	N	B					M	4	2	shapes	N	0	False	130	(4.5268699783746076, -0.094145572698462132)	(4.0715359528839148, 5.0408874869300266)	(-4.4018143730334964, -4.9000489197127415)	(-0.95886752542205222, 6.039061366576119)	1.0	slash	1.29876
22	N	B	N	B					B	4	3	shapes	B	0	True	130	(4.7061035482881692, 4.7798237465188667)	(8.1092210082749112, -7.6898631820967163)	(-1.0786243377330296, -5.3249664878633549)	(-6.03514832590891, 0.78153059829946869)	1.0	z	0.576587
23	N	B	A	M	A	N	B	M	M	8	6	shapes	B	0	False	130	(3.6845629789311563, 7.4222392154684123)	(1.8672507632761146, -2.3980466604800359)	(-4.0634839582524265, -6.3597740627342478)	(-6.8427195598658752, 5.3907678281856004)	1.0	slash	1.0147
24	N	A	B	N					N	4	3	shapes	N	0	True	130	(2.783553724248172, 1.7085151040046096)	(-7.68991061101854, 5.9313238451576655)	(-6.1461983498422388, -4.4116500671591075)	(2.0583710529741914, -5.6603744704536094)	1.0	z	0.739703
25	N	A	A	N	M	B	B	M	B	8	6	shapes	B	0	True	130	(-0.28556421580099034, -0.53874120956721328)	(7.8690725173602232, -4.5442256146360593)	(3.6881461173899996, 2.825219267978186)	(7.7032476799096088, 1.6534217165613097)	1.0	z	1.18589
26	N	A	B	A	N	B	M	M	M	8	5	shapes	B	0	False	130	(0.91135009390105459, 5.1622330862624288)	(1.4683521011821856, -6.8368523006949911)	(-3.4444359359445613, 5.4430163837055723)	(-6.8052155772575809, 2.6176494904215897)	1.0	slash	0.743472
27	N	A	M	A					B	4	2	shapes	M	0	False	130	(2.7713415929328882, -6.5591557431677412)	(5.8926305539961792, 3.4466008211559114)	(-2.1203214032826541, -8.027455365772985)	(-7.669501234001169, 2.9720390498193758)	1.0	slash	0.850682
28	M	B	B	A	N	N	M	A	M	8	6	shapes	M	0	True	130	(6.2970901564260124, -6.5982346183083056)	(1.5804177635343919, 4.9834216149075985)	(0.77988557667338121, -5.8916034134025104)	(-8.18536177104742, 5.6700128584733545)	1.0	slash	1.60233
29	N	A	M	B					B	4	2	shapes	M	0	False	130	(-6.0580111530286072, -0.20638479246642305)	(-7.0526691171024813, 4.3773292680822689)	(2.6354373963043347, 3.2578286555786651)	(4.4209102345979812, -1.5815074068081785)	1.0	slash	0.752285
30	N	A	M	M	B	B	A	N	B	8	1	shapes	A	0	False	130	(-5.9537069438975827, 3.2260568662680456)	(4.733049762839098, -2.541800971259411)	(-6.5349271730537257, -6.3177281638694076)	(-3.1229828667448931, 6.8562939345808633)	1.0	z	0.841553
31	N	B	A	B	N	M	M	A	M	8	7	shapes	A	0	False	130	(-0.5071887069499077, -0.13046285549030401)	(7.371942809817142, -0.11858360221506103)	(7.5898245640525914, 6.1845185253962711)	(-2.4441351494738557, 5.6563011124905831)	1.0	slash	0.717088
32	N	A	N	B					N	4	1	shapes	A	0	False	130	(1.4783312477174331, -3.9332325049157726)	(-6.3573382537057785, -5.9540697606107074)	(0.58968119716243805, 0.049436519560709158)	(-3.4870305477070342, 8.385112170827675)	1.0	slash	0.926995
1	N	A	M	N					B	4	3	shapes	N	1	False	130	(7.5758404110108906, 8.6468828825930366)	(-7.2352444066627521, -5.1878907638615619)	(-1.4573204000032032, 2.7699759991194508)	(4.6154825137421618, -2.3449906155812901)	1.0	slash	0.755066
2	M	B	B	N	M	N	A	A	M	8	1	shapes	B	1	False	130	(0.80257293951160946, -1.6877357150401435)	(4.3275647037637537, 5.3063548359999011)	(5.6070819022945546, -2.0132264267891546)	(-6.0469086582225362, -4.0743010652233487)	1.0	slash	1.60833
3	N	B	A	A					B	4	1	shapes	B	1	True	130	(4.1938535859520716, 0.17713124113126)	(-6.8275539577910678, -4.9649249362585044)	(-8.3145406262438613, 6.6257962729134245)	(0.22738010208407111, -5.6106358387299906)	1.0	z	0.759628
