TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	B	M	N	A	A	N	A	8	5	shapes	A	Practice	True	122	(-5.021851884824768, 4.1324430901256761)	(8.4098655754305334, 6.3055005109297149)	(2.5368387067855753, -1.7419533016047959)	(4.0455250937998688, 2.4280656552841844)	1.0	slash	3.20908
2	N	A	N	B	A	M	B	M	B	8	7	shapes	M	Practice	False	122	(3.6102760234574749, 3.116460797722544)	(-2.5408737027778363, 6.0896592141195782)	(5.2829421057444588, -6.6783675319440032)	(-6.1502804964519076, 4.2209873873729755)	1.0	slash	2.34381
3	N	B	M	B					M	4	0	shapes	N	Practice	False	122	(-5.7646145720756561, 3.2709996305661306)	(8.4150264765985519, 5.7366713644469982)	(2.4566426414154279, -1.8287287072988292)	(-1.4112993224272321, -5.2429085995391125)	1.0	z	1.42724
4	M	B	B	A					A	4	2	shapes	B	Practice	False	122	(7.3082348523902425, 5.6432343830752192)	(-3.2843256765065005, -0.26424776013366902)	(8.3910675068199652, -0.24272737651780041)	(-0.37525249537192451, 6.0250098560594374)	1.0	slash	1.35689
5	M	B	M	N					B	4	1	shapes	B	Practice	True	122	(1.9999611885458535, 5.4907760090809248)	(-4.4720115922804489, -6.7320362572210453)	(-1.9150756236072253, 3.7896276547369467)	(0.31364607969019431, -7.2274388236672209)	1.0	z	0.380469
6	M	B	A	M	A	B	N	N	B	8	0	shapes	M	Practice	False	122	(-7.5258839829974526, -3.4617915264628127)	(-0.467765814775154, 7.4923556517626722)	(7.7709748135322769, 5.5155047107065052)	(-3.9758342184667672, 2.595075222138453)	1.0	slash	0.964155
7	M	B	B	A	M	A	N	N	B	8	2	shapes	B	Practice	True	122	(-8.6635537688084341, -5.5418142033741127)	(0.54176485496843618, -3.2530571381055768)	(-2.9313989406640149, 2.732401821428974)	(6.1481483691019267, 1.0776708469250575)	1.0	slash	1.07602
8	N	A	B	A					A	4	1	shapes	A	Practice	True	122	(-4.6687618749975082, 5.0868429004030755)	(-8.4613182239263551, -3.0814893247794206)	(5.212591175147482, -6.2822843188326924)	(2.5762684856674962, 0.32800572125188054)	1.0	z	0.421426
1	N	B	M	A	B	A	M	N	N	8	7	shapes	N	0	True	122	(-7.0357422204968678, -0.17711285576210045)	(-0.37968507162853626, 4.9686817689947986)	(-8.2841161359138287, 5.8395696839617077)	(2.6447171452123932, -7.091079023774248)	1.0	slash	0.971472
2	N	A	A	B	M	M	B	N	B	8	0	shapes	N	0	False	122	(3.6125456670054099, -3.2813909230179279)	(5.4724836763194791, 0.93904806684004072)	(6.9165424917325531, 4.9249333966295197)	(-5.1649024018233334, -5.7155570731107357)	1.0	z	0.971729
3	N	A	B	B	A	N	M	M	M	8	6	shapes	M	0	True	122	(3.8832869376722989, -3.8662927434807326)	(0.27001753444104359, -7.6850500337576779)	(3.2318370615250611, 8.7363582962120887)	(-6.1474942344379242, 0.50235843958661164)	1.0	z	1.86685
4	M	A	B	M					N	4	0	shapes	M	0	False	122	(5.7719280454412818, 3.9963159752067554)	(-2.6306481580148695, 1.8395695594989547)	(0.4285959302236293, -0.90776459277315702)	(-2.879027661490789, -5.9866978215466391)	1.0	slash	0.692856
5	M	A	B	N	A	N	M	B	B	8	7	shapes	B	0	True	122	(6.3285781303263242, 2.9860779218894393)	(-7.5536341858465139, -7.6966898178999212)	(-2.610540721090965, -5.0909805602959448)	(-4.4376918657744309, 4.4095535780740729)	1.0	z	1.28262
6	N	A	B	N					A	4	0	shapes	N	0	False	122	(8.7167592872143445, 3.4815031617672165)	(-7.498217936916225, -5.2202635483110482)	(0.35459288194024374, -0.046137782605807587)	(-2.6571477057217399, 7.9619887529917186)	1.0	slash	1.20406
7	M	A	M	A	B	B	N	N	M	8	0	shapes	M	0	True	122	(5.6113465577240937, -4.8244760209317938)	(-0.62115824962646116, 6.6409273810276748)	(-1.9317933118632675, -6.0820398326933454)	(5.169658928691323, 0.95972619312072815)	1.0	z	1.79195
8	M	B	N	B					M	4	2	shapes	N	0	False	122	(6.7786955878735604, 7.9210735197942519)	(7.243248595224907, -8.6338016211290913)	(-5.4931180830724484, -7.1658962487756073)	(-3.544929090323123, 1.3573665479985113)	1.0	slash	0.945676
9	N	B	N	A					A	4	0	shapes	N	0	False	122	(-3.6828286858369728, -3.8250555088411211)	(1.8673040506183032, -8.3137357782141272)	(7.8890230380494621, 1.0564734003368699)	(-5.9886713269553304, 2.0922048235768749)	1.0	slash	0.861071
10	M	B	B	A	M	N	A	N	B	8	1	shapes	B	0	True	122	(-1.3301639752412715, 3.7435064376428233)	(4.6632241002620436, -8.1916877745181829)	(-3.551623084048539, -3.7436722659455324)	(7.5871400208215434, 1.5595340181542152)	1.0	slash	1.17027
11	N	B	A	B					N	4	1	shapes	B	0	False	122	(-0.096534214711700983, -6.0735897968481662)	(-3.9788855777628838, 5.3780354675020092)	(0.68885135336047298, 8.3746088359187887)	(7.3676366875480603, -4.4931322985817337)	1.0	slash	0.65564
12	M	B	M	A					N	4	1	shapes	B	0	False	122	(1.2265711421962138, -5.0604570615316735)	(4.9326467324341614, 1.9374687080915596)	(-5.8802171560103833, 4.7733577029406948)	(-4.5874889241235302, -0.98723690783543727)	1.0	slash	0.685399
