TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	A	A					B	4	1	shapes	B	Practice	True	150	(-3.8505622618963313, -5.3123172751075138)	(-1.5966664715739025, 3.0102663420387969)	(5.8914975478295393, 1.2785333488569055)	(5.7460807821505782, -8.5138584915905309)	1.0	z	2.49213
2	N	B	N	M					N	4	1	shapes	B	Practice	False	150	(8.3904162823975419, 5.2069605466628008)	(-1.0193709608549071, -1.2223842690105311)	(4.6317952986537421, -7.3012445382650473)	(-5.7172656414812026, 4.5528003254095211)	1.0	slash	2.32686
3	M	B	N	A	A	M	B	N	N	8	7	shapes	N	Practice	True	150	(-3.5033975305137099, -4.6530444300422635)	(4.5171237298206393, -6.6197624855810702)	(8.1187944495061011, 5.9736607719468111)	(-2.382738929624109, -8.6417117023201975)	1.0	z	1.64154
4	N	B	N	A					A	4	3	shapes	A	Practice	True	150	(-3.7180723145820309, -6.5433615648405716)	(1.8502522173301763, -3.5905979427014927)	(-1.1025137071427213, 1.3545329254646727)	(2.4647510638966139, 3.6855858019463117)	1.0	slash	3.94631
5	N	B	M	A	M	B	N	A	M	8	4	shapes	M	Practice	True	150	(0.32437283952139495, -5.0539602471772431)	(-0.55657720824428303, 0.35311576908717157)	(5.8187008240338383, 8.2990373264704651)	(-5.9772216210596039, -5.9429816987229422)	1.0	z	1.89224
6	M	A	A	N	N	M	B	B	B	8	5	shapes	M	Practice	False	150	(6.0923751008418066, 8.4702257829494982)	(-6.3777870694510232, 5.9276380573688598)	(8.2870873077049119, -3.4943030673893594)	(1.2225957040698798, 1.9150711943637386)	1.0	z	2.42382
7	N	B	A	M	B	A	M	N	B	8	3	shapes	M	Practice	False	150	(-8.3368677128007906, 5.1562102158553955)	(7.7461446264195928, -2.8075514107337973)	(-2.1334396185201676, 7.2410373581740828)	(1.720552518013335, -8.6658242136824786)	1.0	slash	2.18675
8	M	A	N	M					N	4	1	shapes	A	Practice	False	150	(-1.5632601517803462, 0.24607755604218262)	(3.1272862963920272, -2.7691725911343852)	(8.3540372556628633, 0.12338837318855411)	(-7.4290707022980174, -6.0718377967019501)	1.0	slash	1.7844
1	N	A	A	N	B	M	B	M	N	8	2	shapes	A	0	False	150	(0.19539475759355973, -7.0372161218139402)	(2.370358098584564, 4.0848506542957406)	(6.5867685053346747, 8.4527824482680813)	(6.5854667304391477, -5.2641842931664495)	1.0	slash	1.8907
2	M	B	A	M					A	4	3	shapes	M	0	False	150	(-6.3371509711206908, -7.2911395106396606)	(2.4562767342216461, -7.9889867784343185)	(-3.268653087873628, 1.7417026941084401)	(1.5605650178618227, 6.4692849626062241)	1.0	slash	1.06614
3	M	A	M	A					B	4	3	shapes	A	0	False	150	(7.6683671607466053, -0.29435545107612704)	(-1.9685414222596513, 4.6587882127992444)	(-7.5594954889687038, -1.8763703525905031)	(2.9782624062076302, 8.2986468943576561)	1.0	z	1.31929
4	N	A	N	B	B	M	A	M	N	8	2	shapes	N	0	True	150	(8.1372886779437401, 7.8367144342560273)	(-6.1563454267983788, 4.4745807337528465)	(1.3459589149662641, 2.6673865257718958)	(-3.4375186924537706, -1.0904283207992256)	1.0	slash	6.40323
5	N	A	A	N					N	4	0	shapes	N	0	True	150	(5.0650979617431346, -3.9118784595139982)	(6.4926085896609091, 3.8607221460418621)	(-0.062545761316815884, -0.1111097638320846)	(-2.4148327357654322, 3.761257988049211)	1.0	z	1.42869
6	N	B	N	A					M	4	3	shapes	A	0	False	150	(7.1557931415593146, -6.2593308445548939)	(1.4687069402527406, 4.8715568964117946)	(-1.0187312043753005, -5.3635312570854259)	(-4.1952310228803151, 3.3088072306878331)	1.0	slash	0.929475
7	N	A	B	B					A	4	3	shapes	B	0	False	150	(8.6353622847125777, 6.4824810449758186)	(-4.6065050183439427, -5.6091771319883934)	(-8.4990074765407844, 6.6008709824691127)	(8.3751029587728709, -5.2027058453062978)	1.0	z	1.06331
8	N	A	M	M	B	B	N	A	B	8	7	shapes	A	0	False	150	(-6.9085337853144901, -7.3563284510281175)	(7.6514863934301509, -2.0071950825447438)	(0.27507548987720121, 3.7265391801144805)	(-7.2287494976647428, -1.249198010723962)	1.0	z	2.10899
9	M	B	M	N					N	4	3	shapes	N	0	True	150	(6.3047341338340832, 8.0957733137534511)	(-6.9560846736428523, -1.3585964130622177)	(-8.0524684637973145, 6.8384310888303226)	(7.9288046624541586, -1.4084574497555735)	1.0	z	1.34309
