TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	M	N	B	4	2	shapes	M	Practice	False	24	(-3.3738111933582857, 0.24260757055806259)	(-0.71130497233950862, -8.0923140675589451)	(1.288373541436421, 7.8674039087777281)	(4.520398249978042, -2.8806707993844114)	1.0	slash	2.46443
2	N	B	N	A	M	8	5	shapes	M	Practice	True	24	(-4.6082301350556776, 8.6438574601937042)	(1.6802479757488378, 5.982575141630754)	(-4.3252416762779937, -7.2089242917290397)	(-2.9970158516091736, 1.4342155051164305)	1.0	z	1.59975
3	N	A	B	B	N	8	2	shapes	B	Practice	False	24	(-4.3550427398572937, 5.8183720842455422)	(-0.48980744062506609, 1.3530864285766455)	(7.4739321594039865, 0.12689817439790296)	(2.9461619154524463, -2.0921203527928416)	1.0	slash	1.51956
4	M	A	N	M	N	8	7	shapes	B	Practice	False	24	(-5.0205972256308238, 6.1256583304682426)	(5.2270430601496152, 7.3506093473084597)	(7.0619090663866579, -7.5926360421387198)	(3.7598842496968388, -1.8135156449253405)	1.0	z	2.64501
5	M	B	N	N	N	8	3	shapes	N	Practice	True	24	(5.5856314695870335, 5.2544210939055525)	(2.0388420661621041, -7.2279427821389968)	(7.9301684158205425, -1.2758956045914172)	(8.0643510219512216, 8.4632451254538736)	1.0	z	4.29628
6	N	A	M	N	A	4	1	shapes	A	Practice	True	24	(8.4137056579172089, 1.8338704683812637)	(-6.7315474934436992, -4.2351654987878327)	(-1.2024633336719459, 4.7840345821353729)	(6.4403006256105026, -2.6579833344394688)	1.0	z	2.18401
7	N	A	A	B	A	4	2	shapes	A	Practice	True	24	(1.8430987080853125, 3.5013191630330489)	(-5.2391801152521973, -8.5238744747965232)	(-7.7743871223359271, 1.716048813459949)	(3.9383404431356368, -2.7561234289206524)	1.0	z	0.66136
8	N	A	N	B	B	4	1	shapes	A	Practice	False	24	(-5.4289250883388425, 3.4949874924504503)	(8.4852793545622944, -7.135955913255291)	(4.2953981218154631, 4.0897290510318047)	(-4.56340621128449, -6.7277447782127506)	1.0	slash	2.27513
1	M	B	A	A	A	4	2	shapes	A	0	True	24	(3.6091117297387907, -6.1119135085817948)	(-6.2781895415977313, -1.2395474994528115)	(8.1808417843350334, 2.9458675442259921)	(-2.42105853924929, 7.8202517226343673)	1.0	z	1.79144
2	N	B	B	N	A	8	2	shapes	B	0	False	24	(-2.3125392525876682, 1.8572207158568261)	(1.6970746039959295, 1.7416941595592146)	(1.8777929919822096, 7.7325217809931672)	(-6.8223505110241192, 7.7883739862307024)	1.0	slash	1.05497
3	N	A	M	N	M	4	2	shapes	M	0	True	24	(-3.0518061872978448, 6.9753992681003414)	(-1.8860312810238762, -3.2091286290093972)	(0.40070622292906322, 3.2823680488902482)	(6.2836367986273594, -3.7592447156864814)	1.0	z	1.00654
4	M	B	A	N	M	4	0	shapes	M	0	True	24	(6.0981382081854054, 5.5384425977739244)	(-3.4898500252013225, 6.3886591244465389)	(0.3667287097995402, -3.9268712040492364)	(-7.4631818484949219, -4.6855494369284809)	1.0	z	1.17609
5	M	A	N	A	M	8	7	shapes	B	0	False	24	(2.7303434645181088, 6.1294574830852575)	(0.65475378597016842, -6.5209732606779545)	(-6.6362051933367461, -4.4186058960014476)	(-7.7162197749484083, 6.5911986674515912)	1.0	z	1.32185
6	M	A	B	M	N	8	0	shapes	M	0	False	24	(-8.1166827286308205, -8.6407609983121549)	(-3.3541635976445674, -1.4275430797847566)	(1.9447804448867174, -4.6574582702168348)	(-4.3423812070779704, 8.5627522247710672)	1.0	slash	2.65335
7	M	B	M	M	N	8	0	shapes	M	0	False	24	(5.168988637084853, 5.3675799878652057)	(1.6349812840673223, -1.8085360048887891)	(-1.8219073198906619, 3.0048211227094423)	(-0.43393763938182595, 8.720493877675402)	1.0	slash	0.982861
