TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	A	B					N	4	0	shapes	N	Practice	True	140	(-0.2781723548426065, -1.887299465556727)	(1.1456817152689034, -6.3483535736415639)	(-2.9821326082861335, 7.9814759137134423)	(2.8527982344902227, 6.972340820644602)	1.0	z	2.05071
2	N	B	A	A	B	N	M	M	A	8	4	shapes	B	Practice	False	140	(-1.9665605549097434, -1.1416209409270133)	(4.5793484247713465, -8.0928874395262529)	(2.4461494382187894, 5.8663582829001122)	(-8.1659388217735724, 6.0619931380582379)	1.0	z	2.00992
3	N	B	A	B					B	4	3	shapes	B	Practice	True	140	(-1.065850794898445, -5.6596852908379116)	(-6.4737928539464615, 5.2502283125768674)	(0.028141059130646795, -1.7640912323632465)	(7.1170642141913589, 0.44924155989218306)	1.0	z	1.65756
4	N	A	B	A					N	4	2	shapes	B	Practice	False	140	(5.0523645972190536, -1.3406857413935436)	(1.6166415161620034, 5.4972680094358228)	(-5.1180310752293234, 2.8697210195961009)	(-3.6799326471280649, -7.5277019781296524)	1.0	slash	1.25515
5	M	B	B	N	M	A	N	A	N	8	3	shapes	N	Practice	True	140	(0.27607786185683558, -3.0813823155061195)	(1.9569510420514096, -8.6836980714112055)	(-6.5591242965054581, -8.3446953797468932)	(-5.3466089043566321, -2.1804030055872854)	1.0	slash	2.65686
6	M	A	N	N	A	M	B	B	B	8	7	shapes	B	Practice	True	140	(2.4801672096530645, 7.5687380284445211)	(-4.1728685447043556, -1.9856618064766964)	(3.4518876981726674, 2.555753642625465)	(5.6237342923699583, -1.8376409312357938)	1.0	z	2.0422
7	N	A	B	B					N	4	1	shapes	A	Practice	False	140	(0.1301830779645794, -0.045765584384632518)	(-8.5227362574673435, 0.66567821174728259)	(6.5299604384066701, 4.3222493746250645)	(-2.6641112119594021, -8.3078035468621696)	1.0	slash	1.50792
8	N	A	A	B	M	B	N	M	B	8	1	shapes	A	Practice	False	140	(8.6613929092040394, -3.617159875021092)	(-8.3212548038126393, -4.7126918525706882)	(2.561162040556157, 2.1830392522418034)	(-7.0528334546442455, 3.6972916082496514)	1.0	z	1.64152
1	N	A	M	M					M	4	2	shapes	M	0	True	140	(-4.1750131035013105, 0.21666768158111793)	(-8.6899541254615507, -0.72761677197813412)	(4.031343520231502, 4.2024513587468579)	(6.2611321969284397, -1.1785473406007716)	1.0	z	1.51136
2	M	A	N	A	B	N	M	B	B	8	2	shapes	N	0	False	140	(-8.0466413115275586, 3.6654877571797098)	(3.0241228083449325, -5.9095670693032494)	(6.6899614286454963, -1.9553887534936916)	(-4.3464829674586349, 0.19188177639446735)	1.0	z	0.984874
3	N	A	B	A					N	4	0	shapes	N	0	True	140	(0.49633075829903994, 4.4632342797444231)	(-6.7476251069866588, -5.2469666062418092)	(2.3154562639073433, -5.0357195631160829)	(-8.4904042628233203, 7.7253661374480487)	1.0	z	1.12444
4	N	A	N	M					M	4	1	shapes	A	0	False	140	(-0.74998111692943503, 5.3677878236626153)	(1.7858867766183515, -3.3652560095603041)	(-6.4623115781442548, -8.4085317498884518)	(8.1248973400101541, 7.4336162250929476)	1.0	slash	0.854281
5	N	A	N	A	B	M	B	M	N	8	0	shapes	N	0	True	140	(-2.0421075418046728, 0.095504044451768522)	(-1.3964163202397826, -7.5431538289034705)	(-4.3602688609255535, -4.3990710126040513)	(1.7816925485943358, 7.0409380084182569)	1.0	z	0.52598
6	N	A	M	M	A	N	B	B	M	8	2	shapes	M	0	True	140	(7.1597461629806958, -6.0234099452060139)	(6.416996037186582, -0.85477088327476647)	(-3.8690725330137798, -2.5994591822127431)	(-4.0032030547152253, 2.4805187966710527)	1.0	slash	0.9758
7	N	A	N	B					M	4	2	shapes	N	0	False	140	(7.8379245629164593, -2.6789760758978387)	(-3.4164440595926111, 2.6293775867060685)	(4.5657599157818023, 7.403759933934225)	(-6.9034518751845475, -4.1607449317341203)	1.0	slash	0.503182
8	N	B	A	B	A	M	N	M	N	8	0	shapes	N	0	True	140	(-1.5640756618288609, -7.7941481228333318)	(7.75949990039258, 3.4024360274209187)	(-2.2155199310638878, 1.143255390095721)	(-7.1671429640731095, 7.2004265360935094)	1.0	z	0.454291
9	M	A	B	A	B	N	N	M	B	8	0	shapes	M	0	False	140	(7.0608361444334875, 3.8767812089290636)	(-5.4276920810457767, -8.2986236829232585)	(6.3071668754157493, -2.9182659405997571)	(-6.1934362600753792, 0.0026384346971770611)	1.0	slash	0.958508
10	M	A	N	M	B	A	B	N	A	8	6	shapes	B	0	False	140	(6.6779266559374477, -6.0155832137189007)	(0.20204826456148872, -0.17637172690596969)	(-7.680587191142652, -0.027287902503086769)	(-4.0772177857553098, -2.323689998929872)	1.0	slash	1.0342
11	N	A	N	M	M	B	B	A	B	8	1	shapes	A	0	False	140	(-1.594022321387393, 4.5708040814693476)	(2.0187340297620597, -8.0172552751138149)	(2.0184384669523769, -0.20321082853800654)	(-4.1035392566162576, -0.10549850093479662)	1.0	slash	0.679793
12	N	B	A	N	A	B	M	M	B	8	5	shapes	B	0	True	140	(2.8950190110394303, -8.1980111316443853)	(-5.0714628433381623, 1.7654907903039359)	(-4.108025748402012, 7.784685129440426)	(6.2247201184942949, -3.5578081761267422)	1.0	slash	0.89095
13	N	A	N	M					M	4	3	shapes	M	0	True	140	(6.745096906593421, 7.2919128592092193)	(-1.6435609928013228, -3.7232319833989775)	(-2.5523833551111306, 5.1906441475220166)	(3.4041487467224893, -4.1675542360235953)	1.0	z	0.419098
14	N	A	M	B	M	B	N	A	B	8	0	shapes	N	0	False	140	(1.0160324679676478, 5.8674419488907947)	(-3.6114690211342086, -1.0857769138528308)	(4.7898098437117067, -0.40209140199281279)	(0.42244246093515336, -5.1839022833150903)	1.0	slash	0.700736
15	N	A	B	B					B	4	0	shapes	N	0	False	140	(6.6551302170257749, -2.5101594716014661)	(-0.40164424441503144, 7.5658366602089018)	(7.5716245676691827, 2.5680625251946303)	(-5.0203706177619285, -7.4307809387137382)	1.0	slash	1.03429
16	M	A	B	M					B	4	0	shapes	M	0	False	140	(2.3488982774432188, -2.5487402262959087)	(-7.8803320947856825, 3.349191837936921)	(6.345165434867404, 1.4156335175921075)	(-1.299142932506113, -4.3231619995001731)	1.0	slash	1.30216
17	N	B	A	A	M	N	B	M	M	8	0	shapes	N	0	False	140	(5.0957933749760187, -0.70774562380078798)	(-8.5136902059042523, 1.9795347430754084)	(7.5169470713766238, -7.9254365679869334)	(-2.6425281555910374, 7.9352540722171234)	1.0	slash	0.836936
18	N	A	A	M	N	M	B	B	N	8	4	shapes	N	0	True	140	(-0.53149230846579698, -1.8529228603062631)	(-3.3943601939339834, 3.5359842508593875)	(-7.339552999295857, -1.3770940972132619)	(6.4812676430187555, 5.2618673338563653)	1.0	slash	1.12268
19	N	B	B	N					M	4	2	shapes	B	0	False	140	(1.2908287058616192, 6.785242727296998)	(6.9309093893592095, -1.6124097515277098)	(-0.048583474603029586, -2.1345719610629379)	(-4.0113896630823236, 8.4739077572911725)	1.0	slash	0.716955
20	M	A	M	B					N	4	0	shapes	M	0	False	140	(-0.97523867761510452, -7.3696135013870174)	(5.2629544750047952, 8.3217485988211166)	(-7.3012466760890788, 3.3808152377108556)	(7.755261152073615, -7.2897415423967207)	1.0	z	1.1345
21	N	A	A	N					N	4	0	shapes	N	0	True	140	(3.5011537536870474, 7.3302541005302082)	(3.4928124499970288, -5.8205566381031151)	(-5.8599779492039472, -5.6179496672378484)	(-4.0329400181550934, 5.2542072465655547)	1.0	z	0.53233
22	N	A	B	A					B	4	2	shapes	B	0	True	140	(-2.4641124391739, 0.5456044871141863)	(8.4913353333909214, -4.0251702555195781)	(-1.6523576076674562, -6.5479457543512893)	(3.2137515572820234, 1.5840937346862951)	1.0	z	0.755934
23	M	A	A	B					B	4	0	shapes	M	0	False	140	(6.585305556840142, 4.1230491163375671)	(-3.0051888619514502, -4.5110213449233854)	(2.3985833288651524, -3.2953350193383004)	(-0.9005146461844511, 0.29925932925638499)	1.0	slash	0.69359
24	M	A	A	N	M	N	B	B	N	8	5	shapes	N	0	True	140	(-3.7623784720537952, -7.9393152393231805)	(5.7011603128716217, 6.1369557774217078)	(2.3738668645956285, -2.4002864134180415)	(-5.6848790179655833, 2.9051366746435772)	1.0	z	0.357298
25	N	A	A	M	N	M	B	B	N	8	4	shapes	N	0	True	140	(-2.7151290428508208, -7.3707296513865721)	(5.4425376828997027, -2.5887709614914423)	(-0.21333246734086586, -1.0041748087812294)	(1.9446799969422806, 3.6706053721629708)	1.0	z	0.617015
26	M	A	A	N	N	B	M	B	N	8	1	shapes	A	0	False	140	(7.6623046623361262, -5.2531153454356545)	(-0.8376555332475224, 6.3390966769321491)	(-7.5962694633705503, 0.90114166399750317)	(1.6459553586877629, 2.4202733978897175)	1.0	slash	0.626433
27	N	A	M	A					A	4	3	shapes	A	0	True	140	(8.6366705338086938, 4.283399076150431)	(-7.8781547365399218, 7.3179242309746861)	(-2.6538071157662824, -1.9087399990290406)	(2.6267537629814051, -1.2549125997747934)	1.0	z	0.848293
28	N	A	N	B					A	4	1	shapes	A	0	True	140	(-6.0228973259178691, 6.7826594914870668)	(2.8066596132605941, 7.0456796440826768)	(2.396126522709519, -7.6109288797444714)	(-6.6661206493677287, -7.2565233112937459)	1.0	z	0.453949
29	M	A	M	N					M	4	2	shapes	M	0	True	140	(7.9216770907908334, -8.0945825195946917)	(-0.45829127636245737, -6.4084277203779259)	(3.6823363853176438, 7.5980428728309946)	(-7.3577831095841608, 4.3128801700728889)	1.0	z	0.381699
30	M	B	M	N					A	4	1	shapes	B	0	False	140	(-3.980564896578481, 3.4662727433782266)	(3.5417802003083612, 2.6653212292865245)	(-5.0122548003816334, -2.2319116421453753)	(6.4202693982786432, -0.32984995400184047)	1.0	z	1.17136
