TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	N	N	M	B	A	A	A	8	4	shapes	M	Practice	False	23	(3.4009427551554232, 1.9389236016012408)	(-5.7701019795870625, -4.3266932503202664)	(4.5010291121239074, 6.9807233908594171)	(-6.8595932782961597, 5.8480691374803246)	1.0	slash	5.04408
2	N	A	A	N					A	4	0	shapes	N	Practice	False	23	(-1.7021456074234891, -2.1762022356769712)	(4.4417868343199132, 7.2759056864215061)	(-0.58029009916734253, 2.7109731181159482)	(1.9402370379157325, -3.8302331148752362)	1.0	slash	1.94151
3	N	A	M	N					M	4	2	shapes	M	Practice	True	23	(-5.6430910690149787, 2.8127692177823107)	(7.9445903111180947, -6.0655446313815862)	(4.1978605589613824, 2.8518436151825401)	(-7.8827683045633323, -3.5011632706666065)	1.0	z	2.697
4	N	A	B	M					N	4	1	shapes	A	Practice	False	23	(7.3505672331342105, 4.0133628242373387)	(-0.59385115892863283, 4.3310530087184311)	(-1.9820319684508441, -6.3873881914398218)	(1.6783494969036958, -8.1760529944799654)	1.0	slash	1.61651
5	N	A	M	M	B	N	A	B	B	8	4	shapes	B	Practice	True	23	(-7.3097957580291677, 8.196064573224433)	(-2.1574052794459462, -8.0560270694278735)	(-4.0727242626715805, 0.6791501003910323)	(3.5423085190019723, -4.7330561929603929)	1.0	z	2.80818
6	M	A	M	N	B	B	N	A	B	8	2	shapes	M	Practice	False	23	(-8.6744906000854858, 1.9852569165456035)	(2.7551819474170713, -2.7765065856739453)	(8.2864415076421949, -1.1265319479686404)	(-8.0834006416574393, -5.001210169995514)	1.0	slash	1.39344
7	N	B	A	A					B	4	1	shapes	B	Practice	True	23	(6.100431724472184, 7.5568400466807084)	(-3.3685241822782999, -3.4761205430504889)	(2.8110792212380105, -6.0987848664677031)	(-1.7633236887269392, 8.7391329658606942)	1.0	z	1.50921
8	M	A	M	N	B	A	B	N	A	8	1	shapes	A	Practice	True	23	(3.9873486330280201, -5.9759120779071022)	(-5.3722185953891612, -3.9282436188091214)	(7.2977177179935637, 5.2043042621812052)	(1.4419886200553886, 0.29163355056087958)	1.0	z	2.90669
1	M	B	B	A					A	4	1	shapes	B	0	False	23	(-0.84813447567616684, -4.896967471295639)	(-7.3764506862868968, 1.942606861275527)	(3.2612338412435893, -4.2597157726627275)	(0.19052079460394111, 3.0084534998315497)	1.0	slash	1.89452
2	N	B	B	A	A	N	M	M	A	8	4	shapes	A	0	True	23	(0.039791685614250838, 4.5260379547304019)	(0.77090200443000967, -7.8700037139410384)	(3.1644769670940569, -3.6002627088144523)	(-7.4940418844678689, -4.4395481188595758)	1.0	z	2.35167
3	N	B	A	A	M	M	N	B	N	8	3	shapes	A	0	False	23	(7.7407582089168869, -7.7641584095757317)	(-7.8526105336968151, 6.3039621648045561)	(-5.1771124100733843, 0.80060834134675929)	(-0.067525745998246123, -7.9616432262981345)	1.0	slash	1.92378
4	N	A	M	N					N	4	0	shapes	N	0	True	23	(-2.1087234035547544, 4.8015235771019977)	(-5.213578685114479, -0.0093983772132677501)	(7.5686357806458453, 0.6721846489703367)	(5.9033820755153155, -7.23427575579875)	1.0	slash	1.43743
5	M	A	B	N	A	M	N	B	A	8	6	shapes	N	0	False	23	(-3.0062546128124366, 1.4849541921702212)	(-6.5058284104958233, -6.4440370179566822)	(5.0102122218388185, 5.2707838258968867)	(-3.1397837335140943, -3.1435628902691048)	1.0	slash	1.25113
6	N	A	A	N	M	B	B	M	M	8	7	shapes	M	0	True	23	(-7.6863741958327587, 1.3851397971616581)	(1.638914557096669, 5.6800314203707956)	(2.6120802573000237, 1.1795902784001058)	(-4.5661618064207019, 5.0976625584566602)	1.0	z	1.50647
7	N	B	B	A					B	4	1	shapes	B	0	True	23	(8.1361769366402186, 7.8932304892206702)	(-5.3126279723099907, -3.985135441815121)	(8.1498702090553472, -4.5759814259042288)	(-7.1438822956196519, 6.4262519799371098)	1.0	z	1.24026
8	M	A	N	N	A	M	B	B	A	8	4	shapes	A	0	True	23	(-8.155081187538384, -0.46956122772157372)	(0.57600619475349468, -7.099962323383334)	(1.4430791536245984, 3.8397138684967143)	(-1.9727281995636243, 0.035803882226606021)	1.0	z	1.85379
9	N	B	N	M					A	4	3	shapes	M	0	False	23	(-3.1601678288427166, -5.3910214639308514)	(8.1479169577499242, 1.1191916229188852)	(-1.7554291829305333, 2.9231683398401884)	(8.328293619131717, -8.4230946197997643)	1.0	slash	1.3093
